Institute,City,Degree,Duration,Fee,Deadline,Subject
Gomal University,D.i. Khan,BS,4 Years,0,31-07-2025,Anaesthesiology
Khyber Medical University,Peshawar,B.Sc.,4 Years,80000,30-10-2025,Anaesthesiology
The University Of Faisalabad,Faisalabad,BS,4 Years,198000,07-10-2023,Anaesthesiology
Shifa Tameer-e-millat University,Islamabad,B.Sc.,4 Years,188000,18-11-2025,Anaesthesiology
Shifa Tameer-e-millat University,Islamabad,AD,2.5 Years,14000,18-11-2025,Anaesthesiology
Green International University,Lahore,BS,4 Years,0,02-09-2025,Anaesthesiology
Northern University,Nowshera,BS,4 Years,30250,16-02-2026,Anaesthesiology
Abasyn University,Peshawar,BS,4 Years,0,01-02-2026,Anaesthesiology
City University Of Science & Information Technology,Peshawar,BS,4 Years,0,10-11-2025,Anaesthesiology
Gandhara University,Peshawar,BS,4 Years,0,25-10-2025,Anaesthesiology
Iqra National University,Peshawar,BS,4 Years,73134,07-02-2026,Anaesthesiology
Amanullah Khan Medical Institute,Abbottabad,BS,4 Years,0,05-11-2022,Anaesthesiology
Hafeez Institute Of Medical Sciences,Peshawar,BS,4 Years,0,13-12-2021,Anaesthesiology
Institute Of Health Care Management And Development,Peshawar,BS,4 Years,0,28-02-2024,Anaesthesiology
Nisa Institute Of Science & Arts,Quetta,BS,4 Years,0,19-09-2024,Anaesthesiology
Kings Institute Of Nursing And Allied Health Sciences,Saidu Sharif,BS,4 Years,0,26-11-2022,Anaesthesiology
Bashir Institute Of Health Sciences,Islamabad,BS,4 Years,0,08-03-2023,Anaesthesiology
National Institute Of Health And Management Sciences,Peshawar,BS (HONS),4 Years,0,20-12-2025,Anaesthesiology
Premier Institute Of Health And Management Sciences,Peshawar,BS,4 Years,0,17-09-2024,Anaesthesiology
