Institute,City,Degree,Duration,Fee,Deadline,Subject
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,49665,30-06-2025,Archaeology
University Of Malakand,Chakdara,BS,4 Years,0,15-09-2025,Archaeology
Quaid-e-azam University,Islamabad,BS,4 Years,54565,29-07-2025,Archaeology
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Archaeology
Shah Abdul Latif University,Khair Pur,B.Sc. [Hons],4 Years,13000,22-09-2025,Archaeology
University Of Education,Lahore,BS,4 Years,20214,09-01-2026,Archaeology
University Of The Punjab,Lahore,BS,4 Years,32940,25-09-2025,Archaeology
Hazara University,Mansehra,BA [HONS],4 Years,38980,01-09-2025,Archaeology
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,35000,18-08-2025,Archaeology
University Of Peshawar,Peshawar,BS,4 Hours,71000,23-09-2025,Archaeology
University Of Balochistan,Quetta,BS,4 Years,32000,11-08-2025,Archaeology
"Aror University Of Art, Architecture, Design And Heritage",Sukkur,BS,4 Years,54000,14-01-2026,Archaeology
University Of Swat,Swat,BS,4 Years,19730,12-10-2023,Archaeology
