Institute,City,Degree,Duration,Fee,Deadline,Subject
Government College University,Faisalabad,BA [PASS],2 Years,24300,18-09-2024,Arts
University Of Karachi,Karachi,AD,2 Years,0,31-01-2025,Arts
Forman Christian College,Lahore,BA [PASS],2 Years,358200,30-11-2025,Arts
Imperial College Of Business Studies,Lahore,AD,2 Years,0,21-08-2023,Arts
Minhaj University,Lahore,AD,2 Years,99800,31-10-2025,Arts
Sarhad University Of Science & Information Technology,Peshawar,AD,2 Years,0,05-12-2025,Arts
Government Boys Degree College,Abbaspur [ajk],BA [PASS],2 Years,0,02-05-2013,Arts
Government Girls Degree College,Abbaspur [ajk],BA [PASS],2 Years,0,01-01-1970,Arts
Government Degree College ( Havellian),Abbottabad,BA [PASS],2 Years,0,01-01-1970,Arts
Government Degree College For Women No.1,Abbottabad,BA [PASS],2 Years,0,01-01-1970,Arts
Government Degree College For Women No.2,Abbottabad,BA [PASS],2 Years,0,01-01-1970,Arts
Government Postgraduate College,Abbottabad,BA [PASS],2 Years,0,01-01-1970,Arts
Government Postgraduate College ( Mandian),Abbottabad,BA [PASS],2 Years,0,01-01-1970,Arts
Government Degree College,Abdul Hakeem,BA [PASS],2 Years,0,02-01-1970,Arts
Government Degree College,Ahmadabad,BA [PASS],2 Years,0,02-07-2014,Arts
Government Postgraduate College,Ahmadabad,BA [PASS],2 Years,0,01-01-1970,Arts
Government Khushal Khan Khattak College,Akhorakhatak,BA [PASS],2 Years,0,21-08-2012,Arts
Government Degree College,Ali Pur,AD,2 Years,0,31-10-2022,Arts
Government Degree College,Alpuri,BA [PASS],2 Years,0,02-01-1970,Arts
Government Degree College For Women,Arif Wala,BA [PASS],2 Years,0,30-11--0001,Arts
Government Post Graduate College,Arif Wala,BA [PASS],2 Years,0,01-01-1970,Arts
Government Commercial Training Institute,Attock,BA [PASS],2 Years,0,01-01-1970,Arts
Government Degree College For Women (jand),Attock,BA [PASS],2 Years,0,01-01-1970,Arts
Government Postgraduate College,Attock,BA [PASS],2 Years,0,01-01-1970,Arts
Army Public School & College,Badin,BA [PASS],2 Years,0,24-05-2006,Arts
Government Girls College,Badin,BA [PASS],2 Years,0,01-01-1970,Arts
Government Islamia College,Badin,BA [PASS],2 Years,0,30-11--0001,Arts
