Institute,City,Degree,Duration,Fee,Deadline,Subject
Liaquat University Of Medical And Health Sciences,Jamshoro,BDS,4 Years,31900,17-05-2025,Dentistry
Jinnah Sindh Medical University,Karachi,BDS,4 Years,175000,15-01-2025,Dentistry
Shaheed Mohtarma Benazir Bhutto Medical University,Larkana,BDS,4 Years,27000,18-12-2025,Dentistry
Nishtar Medical College / Nishter Hospital,Multan,BDS,4 Years,15650,21-11-2025,Dentistry
Peoples University Of Medical And Health Sciences For Women,Nawab Shah,BDS,4 Years,16000,15-01-2025,Dentistry
Bolan Medical College / Bolan Hospital,Quetta,BDS,4 Years,70000,31-12-2025,Dentistry
Isra University/hospital,Hyderabad,BDS,4 Years,1250000,10-12-2025,Dentistry
Bahria University Medical & Dental College,Karachi,BDS,4 Years,1500000,10-12-2025,Dentistry
Baqai Medical University,Karachi,BDS,4 Years,806000,10-12-2025,Dentistry
Hamdard University,Karachi,BDS,4 Years,1280000,10-12-2025,Dentistry
Zia-ud-din Medical University,Karachi,BDS,4 Years,1660000,10-12-2025,Dentistry
University College Of Medicine And Dentistry,Lahore,BDS,4 Years,1640000,21-11-2025,Dentistry
Ayub Medical College / Ayub Hospital,Abbottabad,BDS,4 Years,600000,21-11-2025,Dentistry
Punjab Medical College / Allied Hospital,Faisalabad,BDS,4 Years,15650,21-11-2025,Dentistry
Federal Medical And Dental College,Islamabad,BDS,4 Years,24000,10-12-2025,Dentistry
Dow Medical College (dmc Campus),Karachi,BDS,4 Years,160000,30-11--0001,Dentistry
Dr Ishrat Ul Ebad Institute Of Oral Health Sciences (smc Campus),Karachi,BDS,4 Years,160000,15-01-2025,Dentistry
Karachi Medical & Dental College / Abbasi Shaheed Hospital,Karachi,BDS,4 Years,32000,15-01-2025,Dentistry
De'montmorency College Of Dentistry / Dental Hospital,Lahore,BDS,4 Years,15650,21-11-2025,Dentistry
Bacha Khan Medical College,Mardan,BDS,4 Years,0,21-11-2025,Dentistry
Bhitai Dental And Medical College,Mir Pur Khas,BDS,4 Years,1000000,10-12-2025,Dentistry
Khyber College Of Dentistry / Khyber Hospital,Peshawar,BDS,4 Years,110000,21-11-2025,Dentistry
Army Medical College / Cmh,Rawalpindi,BDS,4 Years,220000,28-07-2025,Dentistry
Abbottabad International Medical College,Abbottabad,BDS,4 Years,1500000,08-12-2025,Dentistry
Frontier Medical College,Abbottabad,BDS,4 Years,1400000,08-12-2025,Dentistry
Women Medical And Dental College,Abbottabad,BDS,4 Years,1300000,08-12-2025,Dentistry
University Medical & Dental College,Faisalabad,BDS,4 Years,1700000,21-11-2025,Dentistry
Hbs Medical And Dental College,Islamabad,BDS,4 Years,1640000,10-02-2022,Dentistry
Islamabad Medical & Dental College,Islamabad,BDS,4 Years,1317000,21-02-2022,Dentistry
Islamic International Dental College/hospital,Islamabad,BDS,4 Years,1261000,10-12-2025,Dentistry
Shifa College Of Medicine/hospital,Islamabad,BDS,4 Years,1450000,01-09-2025,Dentistry
Altamash  Institute Of Dental Medicine,Karachi,BDS,4 Years,1175000,10-12-2025,Dentistry
Fatima Jinnah Dental College,Karachi,BDS,4 Years,1150000,10-12-2025,Dentistry
Jinnah Medical & Dental College,Karachi,BDS,4 Years,1470000,12-12-2025,Dentistry
Liaquat College Of Medicine & Dentistry,Karachi,BDS,4 Years,1300000,10-12-2025,Dentistry
Mohammad Bin Qasim Medical And Dental College,Karachi,BDS,4 Years,0,12-11-2022,Dentistry
Sir Syed College Of Medical Sciences For Girls,Karachi,BDS,4 Years,1320000,10-12-2025,Dentistry
Akhtar Saeed Medical And Dental College,Lahore,BDS,4 Years,1750000,21-11-2025,Dentistry
Avicenna Medical College,Lahore,BDS,4 Years,1300000,21-11-2025,Dentistry
Azra Naheed Medical College,Lahore,BDS,4 Years,1390000,21-11-2025,Dentistry
Cmh Lahore Medical College,Lahore,BDS,4 Years,1600000,10-12-2025,Dentistry
Fmh College Of Medicine & Dentistry,Lahore,BDS,4 Years,1520000,21-11-2025,Dentistry
Lahore Medical & Dental College,Lahore,BDS,4 Years,1750000,15-01-2026,Dentistry
Rahbar Medical And Dental College,Lahore,BDS,4 Years,1608000,21-11-2025,Dentistry
Rashid Latif Medical College,Lahore,BDS,4 Years,1500000,21-11-2025,Dentistry
Shalamar Medical & Dental College,Lahore,BDS,4 Years,1640000,21-11-2025,Dentistry
Sharif Medical & Dental College,Lahore,BDS,4 Years,1500000,21-11-2025,Dentistry
Shahida Islam Medical College,Lodhran,BDS,4 Years,1500000,21-11-2025,Dentistry
Muhammad Medical College,Mir Pur Khas,BDS,4 Years,1400000,10-12-2025,Dentistry
Bakhtawar Amin Medical And Dental College,Multan,BDS,4 Years,1875000,21-11-2025,Dentistry
Cmh Multan Institute Of Medical Sciences,Multan,BDS,4 Years,0,10-12-2025,Dentistry
Multan Medical And Dental College,Multan,BDS,4 Years,1717000,21-11-2025,Dentistry
Peshawar Medical And Dental College,Peshawar,BDS,4 Years,1500000,08-12-2025,Dentistry
Rehman Medical College,Peshawar,BDS,4 Years,1300000,08-12-2025,Dentistry
Sardar Begum Dental College,Peshawar,BDS,4 Years,1250000,08-12-2025,Dentistry
Quetta Institute Of Medical Sciences,Quetta,BDS,4 Years,0,10-12-2025,Dentistry
Watim Dental College,Rawalpindi,BDS,4 Years,1260000,21-11-2025,Dentistry
Niazi Medical And Dental College,Sargodha,BDS,4 Years,0,21-11-2025,Dentistry
Amna Inayat Medical College,Sheikhupura,BDS,4 Years,1427000,28-02-2025,Dentistry
Faryal Dental College,Sheikhupura,BDS,4 Years,1400000,21-11-2025,Dentistry
Islam Medical College,Sialkot,BDS,4 Years,1217000,21-11-2025,Dentistry
Kmu Institute Of Medical Sciences,Kohat,BDS,4 Years,110000,21-11-2025,Dentistry
School Of Allied Health Sciences,Lahore,B.Sc.,2 Years,0,30-11--0001,Dentistry
Nishtar Institute Of Dentistry,Multan,MBBS,4 Years,15650,21-11-2025,Dentistry
Hitech Institute Of Medical Sciences,Taxila,BDS,4 Years,1340000,10-12-2025,Dentistry
Rawal Institute Of Health Sciences,Islamabad,BDS,4 Years,1200000,12-11-2022,Dentistry
Margalla Institute Of Health Sciences,Rawalpindi,BDS,4 Years,1300000,21-11-2025,Dentistry
Foundation University Madical College,Islamabad,BDS,4 Years,1300000,10-12-2025,Dentistry
