Institute,City,Degree,Duration,Fee,Deadline,Subject
Women University Azad Jammu & Kashmir,Bagh,BS,4 Years,36260,01-09-2025,Bioinformatics
Cholistan University Of  Veterinary & Animal Sciences,Bahawal Pur,BS,4 Years,37500,15-08-2024,Bioinformatics
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,47115,30-06-2025,Bioinformatics
University Of Malakand,Chakdara,BS,4 Years,20000,31-07-2025,Bioinformatics
Gomal University,D.i. Khan,BS,4 Years,0,31-07-2025,Bioinformatics
Government College University,Faisalabad,BS,4 Years,28200,24-06-2025,Bioinformatics
University Of Agriculture,Faisalabad,BS,4 Years,83600,28-07-2025,Bioinformatics
Air University,Islamabad,BS,4 Years,0,25-07-2025,Bioinformatics
Comsats University Islamabad,Islamabad,BS,4 Years,112200,17-12-2025,Bioinformatics
International Islamic University,Islamabad,BS,4 Years,89685,31-12-2025,Bioinformatics
Quaid-e-azam University,Islamabad,BS,4 Years,54565,29-07-2025,Bioinformatics
Khushal Khan Khattak University,Karak,BS,4 Years,34000,19-01-2026,Bioinformatics
Virtual University Of Pakistan,Lahore,BS,4 Years,21800,30-09-2025,Bioinformatics
Hazara University,Mansehra,BS,4 Years,38980,01-09-2025,Bioinformatics
Baba Guru Nanak University,Nankana Sahib,BS,4 Years,30150,19-09-2025,Bioinformatics
University Of Okara,Okara,CERT,4 Years,46000,18-07-2025,Bioinformatics
Shaheed Benazir Bhutto Women University,Peshawar,BS,4 Years,29513,28-09-2025,Bioinformatics
The University Of Agriculture,Peshawar,BS,4 Years,33000,15-08-2025,Bioinformatics
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,BS,4 Years,40250,05-01-2026,Bioinformatics
Fatima Jinnah Women University,Rawalpindi,BS,4 Years,52050,18-08-2025,Bioinformatics
Pir Mahar Ali Shah Arid Agriculture University,Rawalpindi,BS,4 Years,0,14-07-2023,Bioinformatics
Al-khair University,Bhimber,BS,4 Years,0,10-01-2013,Bioinformatics
Baqai Medical University,Karachi,BS,4 Years,67300,13-10-2023,Bioinformatics
Muhammad Ali Jinnah University,Karachi,BS,4 Years,153000,22-07-2024,Bioinformatics
Minhaj University,Lahore,BS,4 Years,0,31-10-2025,Bioinformatics
The University Of Lahore ( Main Campus ),Lahore,BS,4 Years,167000,31-01-2026,Bioinformatics
Comsats University Islamabad ( Sahiwal Campus ),Sahiwal,BS,4 Years,112200,16-01-2026,Bioinformatics
"Shaheed Benazir Bhutto Women University Peshawar, Sub Campus",Swabi,BS,4 Years,0,10-10-2013,Bioinformatics
"Riphah International University, Faisalabad Campus",Faisalabad,BS,4 Years,80000,18-10-2025,Bioinformatics
Government Postgraduate College ( Mandian),Abbottabad,BS,4 Years,0,30-11--0001,Bioinformatics
Emerson University Multan,Multan,BS,4 Years,0,15-08-2025,Bioinformatics
Royal Gorup Of Colleges,Gujranwala,BS,4 Years,0,27-10-2018,Bioinformatics
Baqai Institute Of Information Technology,Karachi,BS,4 Years,67300,14-02-2020,Bioinformatics
Central Park College Of Allied Health Sciences,Lahore,BS,4 Years,0,30-09-2019,Bioinformatics
Federal Institute Of Health Sciences,Lahore,BS,4 Years,0,01-10-2017,Bioinformatics
Gulab Devi Post Graduate Medical Institute,Lahore,BS,4 Years,0,30-11--0001,Bioinformatics
Federal Institute Of Health Sciences,Multan,BS,4 Years,0,01-10-2017,Bioinformatics
Fedral Institute Of Health Sciences,Muzaffarabad,BS,4 Years,0,01-10-2017,Bioinformatics
The Limit Institution Of Health Sciences,Sahiwal,BS,4 Years,0,18-11-2016,Bioinformatics
