Institute,City,Degree,Duration,Fee,Deadline,Subject
Abbottabad University Of Science And Technology,Abbottabad,B.Sc.,4 Years,28500,26-08-2025,Botany
Women University Azad Jammu & Kashmir,Bagh,BS,4 Years,43110,01-09-2025,Botany
The Government Sadiq College Women University,Bahawal Pur,BS,4 Years,31340,28-01-2026,Botany
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,47115,30-06-2025,Botany
Kalam Bibi International Women Institute,Bannu,BS,4 Years,0,18-09-2025,Botany
University Of Science & Technology,Bannu,BS,4 Years,16400,20-09-2025,Botany
Thal University,Bhakkar,BS,4 Years,30000,10-01-2025,Botany
Azad Jammu & Kashmir University Of Bhimber,Bhimber,BS,4 Years,0,08-09-2024,Botany
The University Of Buner,Buner,BS,4 Years,0,15-08-2025,Botany
University Of Malakand,Chakdara,BS (HONS),4 Years,20000,15-09-2025,Botany
Bacha Khan University,Charsadda,BS,4 Years,37000,22-09-2025,Botany
University Of Chitral,Chitral,B.Sc.,4 Years,0,30-10-2023,Botany
Ghazi University,D.g.khan,BS,4 Years,21300,04-07-2025,Botany
University Of Education [ D.g. Khan Campus ],D.g.khan,BS,4 Years,20214,02-09-2025,Botany
Gomal University,D.i. Khan,BS,4 Years,0,31-07-2025,Botany
Gomal University,D.i. Khan,AD,2 Years,0,31-07-2025,Botany
Government College University,Faisalabad,BS,4 Years,28200,24-06-2025,Botany
Government College Women University,Faisalabad,BS,4 Years,33100,31-07-2025,Botany
University Of Agriculture,Faisalabad,BS,4 Years,60000,28-07-2025,Botany
University Of Education [ Faisalabad Campus ],Faisalabad,BS,4 Years,20214,02-09-2025,Botany
Karakuram International University,Gilgit,BS,4 Years,0,10-08-2025,Botany
University Of Gujrat,Gujrat,BS,4 Years,68010,15-08-2025,Botany
University Of Haripur,Haripur,BS,4 Years,20113,26-01-2026,Botany
Government College University Hyderabad,Hyderabad,BS,4 Years,11000,15-09-2025,Botany
Allama Iqbal Open University,Islamabad,BS,4 Years,45100,10-02-2026,Botany
Quaid-e-azam University,Islamabad,BS,4 Years,54565,29-07-2025,Botany
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Botany
University Of Karachi,Karachi,BS,4 Years,18500,28-11-2025,Botany
Khushal Khan Khattak University,Karak,BS,4 Years,34000,19-01-2026,Botany
Shah Abdul Latif University,Khair Pur,B.Sc. [Hons],4 Years,12150,22-09-2025,Botany
Kohat University Of Science & Technology,Kohat,BS,4 Years,27900,15-09-2025,Botany
The University Of Management Sciences & Information Technology,Kotli,BS,4 Years,0,10-09-2016,Botany
University Of Kotli,Kotli,BS,4 Years,0,15-08-2025,Botany
Government College University Lahore,Lahore,B.Sc. [Hons],4 Years,52000,11-12-2025,Botany
Kinnaird College For Women,Lahore,BS,4 Years,90200,01-12-2025,Botany
Lahore College For Women University,Lahore,BS,4 Years,58190,25-09-2025,Botany
University Of Education,Lahore,BS (HONS),4 Years,20214,09-01-2026,Botany
University Of The Punjab,Lahore,B.Sc. [Hons],4 Years,41940,25-09-2025,Botany
The University Of Lakki Marwat,Lakki Marwat,BS,4 Years,17100,25-09-2024,Botany
University Of Layyah,Layyah,BS,4 Years,0,17-07-2023,Botany
Hazara University,Mansehra,B.Sc. [Hons],4 Years,38980,01-09-2025,Botany
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,45000,18-08-2025,Botany
Women University Mardan,Mardan,BS,4 Years,41400,28-01-2026,Botany
University Of Mianwali,Mianwali,BS,4 Years,0,03-10-2025,Botany
Mirpur University Of Science And Technology,Mir Pur (ajk),BS,4 Years,51300,22-07-2020,Botany
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,27150,02-01-2026,Botany
The Women University,Multan,BS,4 Years,25750,07-01-2025,Botany
Kohsar University,Murree,BS,4 Years,0,26-02-2026,Botany
University Of Azad Jammu & Kashmir,Muzaffarabad,BS,4 Years,0,08-08-2025,Botany
Baba Guru Nanak University,Nankana Sahib,BS,4 Years,21350,19-09-2025,Botany
University Of Narowal,Narowal,BS,4 Years,30000,19-02-2026,Botany
University Of Okara,Okara,BS (HONS),4 Years,46000,18-07-2025,Botany
Islamia College University,Peshawar,BS,4 Years,62000,16-09-2025,Botany
Shaheed Benazir Bhutto Women University,Peshawar,BS,4 Years,29513,28-09-2025,Botany
The University Of Agriculture,Peshawar,BS,4 Years,47000,20-10-2023,Botany
University Of Peshawar,Peshawar,BS,4 Years,71000,23-09-2025,Botany
Balochistan University Of It & Management Sciences,Quetta,BS,4 Years,39410,16-08-2024,Botany
Sardar Bahadur Khan Women University,Quetta,BS,4 Years,8040,15-09-2025,Botany
University Of Balochistan,Quetta,BS,4 Years,36000,11-08-2025,Botany
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,BS,4 Years,40250,05-01-2026,Botany
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,BS,4 Years,46000,20-08-2025,Botany
Pir Mahar Ali Shah Arid Agriculture University,Rawalpindi,BS,4 Years,45650,08-08-2025,Botany
Rawalpindi Women University,Rawalpindi,BS,4 Years,33065,03-09-2025,Botany
University Of Sargodha,Sargodha,BS,4 Years,30000,15-12-2025,Botany
Government College Women University,Sialkot,BS,4 Years,25000,22-01-2026,Botany
Mir Chakar Khan Rind University,Sibi,BS,4 Years,0,31-07-2025,Botany
Women University Swabi,Swabi,BS,4 Years,45760,12-09-2025,Botany
University Of Swat,Swat,BS,4 Years,30900,12-10-2023,Botany
University Of Turbat,Turbat,BS,4 Years,24000,21-10-2024,Botany
"Shaheed Benazir Bhutto University, Sheringal",Upper Dir,BS,4 Years,30010,10-10-2025,Botany
University Of Chakwal,Chakwal,BS,4 Years,0,11-08-2025,Botany
Shaheed Benazir Bhutto University [chitral],Chitral,BS,4 Years,0,10-09-2016,Botany
Qurtuba University Of Science & Technology [di Khan],D.i. Khan,BS,4 Years,0,31-10-2024,Botany
Muslim Youth University,Islamabad,BS,4 Years,0,29-10-2025,Botany
Lahore Garrison University,Lahore,BS,4 Years,174635,30-11--0001,Botany
Minhaj University,Lahore,BS,4 Years,147500,31-10-2025,Botany
The University Of Lahore ( Main Campus ),Lahore,BS,4 Years,167000,31-01-2026,Botany
Mohi-ud-din Islamic University,Mir Pur (ajk),BS,4 Years,60000,15-02-2024,Botany
Grand Asian University Sialkot,Sialkot,BS,4 Years,0,21-09-2024,Botany
"The Islamia University Of Bahawalpur, Ahmadpur East Campus",Ahmadpur East,BS,4 Years,47115,30-06-2024,Botany
The Islamia University Of Bahawalpur[sub Campus],Bahawal Nagar,BS,4 Years,47115,30-06-2025,Botany
University Of Sargodha ( Bhakkar Campus ),Bhakkar,BS,4 Years,0,03-11-2021,Botany
"Mirpur University Of Science & Technology, Bhimber Campus",Bhimber,BS,4 Years,0,31-07-2023,Botany
"University Of Agriculture Faisalabad, Sub Campu",Burewala,BS,4 Years,0,28-07-2025,Botany
University College Of Education,Faisalabad,BS,4 Years,0,14-07-2023,Botany
University Of Sargodha ( Women Campus Faisalabad ),Faisalabad,BS,4 Years,0,14-10-2017,Botany
University Of Sargodha (lyallpur Campus),Faisalabad,BS,4 Years,0,30-09-2017,Botany
"University Of The Poonch Rawalakot, Kahuta-haveli Campus",Haveli (ajk),BS,4 Years,0,20-08-2025,Botany
University Of Education [ Jauharabad Campus ],Joharabad,BS,4 Years,20214,02-09-2025,Botany
"Federal Urdu University Of Arts  Science & Technology, Karachi",Karachi,B.Sc. [Hons],4 Years,34400,10-01-2025,Botany
Government College University Faisalabad (layyah Campus),Layyah,BS,4 Years,0,04-09-2023,Botany
"The Islamia University Of Bahawalpur, Liaqatpur Campus",Liaqatpur,BS,4 Years,47115,30-06-2025,Botany
University Of Sargodha ( Mandi Baha-ud-din Campus ),Mandi Baha-ud-din,BS,4 Years,0,30-09-2016,Botany
University Of Gujrat (narowal Campus,Narowal,BS,4 Years,0,17-10-2017,Botany
University Of Education,Okara,BS (HONS),4 Years,9400,21-09-2015,Botany
University Of Makran,Panjgur,AD,2 Years,0,25-10-2024,Botany
University Of Makran,Panjgur,BS,4 Years,8053,25-10-2024,Botany
University Of Veterinary And Animal Sciences [ Ravi Campus],Pattoki,B.Sc. [Hons],4 Years,22750,12-09-2025,Botany
The Islamic University Of Bahawalpur[rahimyar Khan Campus],Rahim Yar Khan,BS,4 Years,47115,30-06-2025,Botany
University Of Gujrat (rawalpindi Campus),Rawalpindi,BS,4 Years,0,26-07-2018,Botany
"Shaheed Benazir Bhutto Women University Peshawar, Sub Campus",Swabi,BS,4 Years,0,02-09-2014,Botany
University Of Swat ( Women Campus ),Swat,BS,4 Years,30900,12-10-2023,Botany
University Of Agriculture Faisal Abad[toba Tek Singh Campus],Toba Tek Singh,BS,4 Years,0,28-07-2025,Botany
University Of Education [ Vehari Campus ],Vehari,BS,4 Years,20214,02-09-2025,Botany
Shaheed Benazir Bhutto University (sub Campus),Wari,BS,4 Years,0,10-10-2025,Botany
"Riphah International University, Faisalabad Campus",Faisalabad,BS,4 Years,80000,18-10-2025,Botany
Qurtuba University Of Science & Information Technology,Peshawar,BS,4 Years,44000,31-10-2024,Botany
Government Degree College,Ali Pur,BS,2 Years,0,31-10-2022,Botany
Government Degree College For Women,Ali Pur,BS,4,3500,18-10-2025,Botany
Government Degree College For Women[dmr],Bahawal Pur,BS,4 Years,3500,07-10-2025,Botany
Government S E College,Bahawal Pur,BS,4 Years,0,26-09-2014,Botany
Government Postgraduate College,Bannu,BS,4 Years,0,31-08-2013,Botany
Government Postgraduate College,Chakwal,BS,4 Years,0,30-11--0001,Botany
Government Abdul Ali Khan Degree College,Charsadda,BS,4 Years,0,27-08-2018,Botany
Government Girls Degree College No1 Charsadda,Charsadda,BS,4 Years,0,27-08-2018,Botany
Government Postgraduate College,Charsadda,BS,4 Years,0,27-08-2018,Botany
Government Degree College For Women[company Bagh],D.g.khan,BS,4 Years,0,30-11--0001,Botany
Government Degree College[block-17],D.g.khan,BS,4 Years,0,05-10-2024,Botany
Government Post Graduate College,D.g.khan,BS,4 Years,0,30-11--0001,Botany
Government College For Women [madina Town],Faisalabad,BS,4 Years,0,30-11--0001,Botany
Government Post Graduate College Of Science,Faisalabad,BS,4 Years,0,23-09-2024,Botany
Government Post Graduate College [samanabad],Faisalabad,BS,4 Years,0,23-09-2023,Botany
Government Postgraduate Islamia College,Faisalabad,BS,4 Years,0,04-10-2014,Botany
"Uaf Community Collge, Jhang Road",Faisalabad,BS,4 Years,0,28-07-2025,Botany
Government Post Graduate College For Women [satellite Town],Gujranwala,BS,4 Years,0,10-09-2024,Botany
Government Post Graduate College[satellite Town],Gujranwala,BS (HONS),4 Months,0,02-10-2025,Botany
"F. G. Degree College, Hyderabad Cantt",Hyderabad,BS,4 Years,0,04-10-2019,Botany
Government Boys College [qasimabad],Hyderabad,BS,4 Years,0,30-01-2026,Botany
Government Post Graduate College,Jhang,BS,4 Years,0,30-09-2025,Botany
