Institute,City,Degree,Duration,Fee,Deadline,Subject
Abbottabad University Of Science And Technology,Abbottabad,BS,2 Hours,0,26-08-2025,Business Analytics
Gomal University,D.i. Khan,BS,4 Years,0,31-07-2025,Business Analytics
Government College University,Faisalabad,BBA,4 Years,39300,12-01-2026,Business Analytics
University Of Gujrat,Gujrat,BS,4 Years,0,15-08-2025,Business Analytics
University Of Haripur,Haripur,BS,4 Years,0,26-01-2026,Business Analytics
Comsats University Islamabad,Islamabad,BS,4 Years,112200,17-12-2025,Business Analytics
International Islamic University,Islamabad,BS,4 Years,62100,31-12-2025,Business Analytics
National Skills University,Islamabad,BS,4 Years,40600,13-09-2025,Business Analytics
"National University Of Computer And Emerging Sciences, Islamabad",Islamabad,BS,4 Years,160000,04-07-2025,Business Analytics
Institute Of Business Administration [khi],Karachi,BS,4 Years,237500,11-06-2025,Business Analytics
University Of Education,Lahore,BS,4 Years,0,09-01-2026,Business Analytics
Virtual University Of Pakistan,Lahore,AD,2 Years,0,30-09-2025,Business Analytics
Hazara University,Mansehra,BS,4 Years,38980,01-09-2025,Business Analytics
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,55000,18-08-2025,Business Analytics
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,0,18-08-2025,Business Analytics
Islamia College University,Peshawar,BS,4 Years,0,16-09-2025,Business Analytics
University Of Peshawar,Peshawar,BS,4 Years,0,23-09-2025,Business Analytics
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,BS,4 Years,0,20-08-2025,Business Analytics
University Of Sargodha,Sargodha,BS,4 Years,31000,15-12-2025,Business Analytics
The University Of Faisalabad,Faisalabad,BS,4 Years,0,07-10-2023,Business Analytics
Capital University Of Science And Technology,Islamabad,BS,4 Years,0,02-09-2025,Business Analytics
Ibadat International University Islamabad,Islamabad,BS,4 Years,92100,10-09-2023,Business Analytics
Riphah International University,Islamabad,BS,4 Years,102000,30-07-2025,Business Analytics
Dha Suffa University(main Campus),Karachi,BS,4 Years,0,30-12-2025,Business Analytics
Jinnah University For Women,Karachi,B.Sc. [Hons],4 Years,67000,30-05-2025,Business Analytics
Shaheed Benazir Bhutto Dewan University,Karachi,BS,4 Years,224000,15-02-2026,Business Analytics
Shaheed Zulfiqar Ali Bhutto Institute Of Science & Technology,Karachi,BS,4 Hours,0,12-02-2026,Business Analytics
Zia-ud-din Medical University,Karachi,BS,4 Years,0,26-08-2025,Business Analytics
Beaconhouse National University,Lahore,BS,4 Years,0,30-12-2025,Business Analytics
Green International University,Lahore,BS,4 Years,0,02-09-2025,Business Analytics
Minhaj University,Lahore,BS,4 Years,0,31-10-2025,Business Analytics
"National College Of Business Administration And Economics, Lahore",Lahore,BS,4 Years,156000,26-02-2023,Business Analytics
University Of Central Punjab,Lahore,BS,4 Years,0,10-10-2024,Business Analytics
Abasyn University,Peshawar,BS,4 Years,0,01-02-2026,Business Analytics
Cecos University Of Information Tech. & Emerging Sciences,Peshawar,BS,4 Years,0,28-07-2025,Business Analytics
City University Of Science & Information Technology,Peshawar,BS,4 Years,160000,10-11-2025,Business Analytics
Iqra National University,Peshawar,BS,4 Years,82824,30-09-2025,Business Analytics
Sarhad University Of Science & Information Technology,Peshawar,BS,4 Years,36500,05-12-2025,Business Analytics
Sarhad University Of Science & Information Technology,Peshawar,AD,2 Years,36500,05-12-2025,Business Analytics
Hitec University,Taxila,BS,4 Years,150000,30-08-2025,Business Analytics
University Of Wah,Wah Cantt,BS,4 Years,0,20-09-2023,Business Analytics
Comsats University Islamabad ( Abbotabad Campus ),Abbottabad,BS,4 Years,121150,29-01-2026,Business Analytics
Comsats University Islamabad ( Attock Campus ),Attock,BS,4 Years,112200,16-01-2026,Business Analytics
Bahria University ( Karachi Campus ),Karachi,BS,4 Years,123520,17-11-2025,Business Analytics
Comsats University Islamabad( Lahore Campus ),Lahore,BS,4 Years,112200,29-12-2025,Business Analytics
"Air University, Multan Campus",Multan,BS,4 Years,102080,18-08-2025,Business Analytics
National College Of Business Administration And Economics ( Bahwal Pur Campus ),Bahawal Pur,BS,4 Years,0,19-10-2025,Business Analytics
National University Of Computer And Emerging Sciences ( Faisalabad Campus ),Faisalabad,BS,4 Years,160000,04-07-2025,Business Analytics
"Air University, H-11 Campus",Islamabad,BS,4 Years,102080,23-12-2025,Business Analytics
"Iqra University, H-9 Campus",Islamabad,BS,4 Years,254240,10-09-2025,Business Analytics
"Iqra University, H-9 Campus",Islamabad,AD,2 Years,0,10-09-2025,Business Analytics
Shaheed Zulfiqar Ali Bhutto Institute Of Science And Technology,Islamabad,BS,4 Years,180800,19-12-2025,Business Analytics
"Air University, Aerospace & Aviation Campus Kamra",Kamra,BS,4 Years,102080,15-07-2025,Business Analytics
National University Of Computer And Emerging Sciences ( Karachi Campus ),Karachi,BS,4 Years,160000,04-07-2025,Business Analytics
National University Of Computer And Emerging Sciences ( Lahore ),Lahore,BS,4 Years,160000,04-07-2025,Business Analytics
Riphah International University Lahore,Lahore,BS,4 Years,0,25-01-2026,Business Analytics
National College Of Business Administration And Economics ( Multan Campus ),Multan,BS,4 Years,0,19-10-2025,Business Analytics
Foundation University Islamabad (sub Campus),Rawalpindi,BS,4 Years,110000,08-01-2026,Business Analytics
"Pak- Austria Fachhuochschule, Institute Of Applied Sciences And Technology",Haripur,BS,4 Years,0,31-12-2025,Business Analytics
