Institute,City,Degree,Duration,Fee,Deadline,Subject
Khyber Medical University,Peshawar,BS,4 Years,0,30-10-2025,Cardiology
University Of Peshawar,Peshawar,BS,4 Years,0,11-08-2025,Cardiology
Shifa Tameer-e-millat University,Islamabad,AD,2.5 Years,14000,22-11-2024,Cardiology
Abasyn University,Peshawar,BS,4 Years,0,01-02-2026,Cardiology
City University Of Science & Information Technology,Peshawar,BS,4 Years,0,10-11-2025,Cardiology
Gandhara University,Peshawar,BS,4 Years,0,25-10-2025,Cardiology
Iqra National University,Peshawar,BS,4 Years,81054,07-02-2026,Cardiology
Sarhad University Of Science & Information Technology,Peshawar,BS,4 Years,56500,05-12-2025,Cardiology
"Kmu Institute Of Health Sciences, G. I. Khan Campus",D.i. Khan,BS,4 Years,0,11-09-2025,Cardiology
"Kmu Institute Of Health Sciences, Kohat",Kohat,BS,4 Years,0,11-09-2025,Cardiology
"Kmu Institute Of Health Sciences, Hazara",Mansehra,BS,4 Years,0,11-09-2025,Cardiology
"Institute Of Health Sciences, Kurram",Para Chinar,BS,4 Years,0,11-09-2025,Cardiology
Kmu Institute Of Health Sciences,Swabi,BS,4 Years,0,11-09-2025,Cardiology
"Riphah International University, Faisalabad Campus",Faisalabad,BS,4 Years,0,18-10-2025,Cardiology
Institute Of Health Sciences,Islamabad,BS,4 Years,0,11-09-2025,Cardiology
Bacha Khan Medical College,Mardan,BS,4 Years,0,28-11-2025,Cardiology
Ghazali Institute Of Medical Sciences,Peshawar,BS,4 Years,0,08-09-2025,Cardiology
Hafeez Institute Of Medical Sciences,Peshawar,BS,4 Years,0,13-12-2021,Cardiology
Kmu Institute Of Medical Sciences,Kohat,BS,4 Years,0,18-10-2024,Cardiology
Vertex Institute Of Science & Technology,Abbottabad,BS,4 Years,0,18-04-2025,Cardiology
Kmu Institute Of Health Sciences,Mardan,BS,4 Years,0,11-09-2025,Cardiology
Northwest Institute Of Healths Ciences,Peshawar,BS,4 Years,0,27-09-2025,Cardiology
Rehman Medical Institute,Peshawar,BS,4 Years,0,13-09-2025,Cardiology
School Of Health Sciences,Peshawar,BS,4 Years,0,30-11-2020,Cardiology
