Institute,City,Degree,Duration,Fee,Deadline,Subject
"Shaheed Zulfiqar Ali Bhutto Medical University, Pims",Islamabad,BS,4 Years,0,24-07-2025,Cardiovascular Sciences
Dow University Of Health Sciences,Karachi,BS,4 Years,100000,20-12-2025,Cardiovascular Sciences
Jinnah Sindh Medical University,Karachi,BS,4 Years,0,17-12-2025,Cardiovascular Sciences
University Of Azad Jammu & Kashmir,Muzaffarabad,BS,4 Years,0,08-08-2025,Cardiovascular Sciences
Peoples University Of Medical And Health Sciences For Women,Nawab Shah,BS,4 Years,0,16-12-2024,Cardiovascular Sciences
Shifa Tameer-e-millat University,Islamabad,B.Sc.,4 Years,188000,18-11-2025,Cardiovascular Sciences
Sohail University,Karachi,BS,4 Years,0,17-10-2024,Cardiovascular Sciences
Zia-ud-din Medical University,Karachi,BS,4 Years,96500,26-08-2025,Cardiovascular Sciences
The University Of Lahore ( Main Campus ),Lahore,BS,4 Years,0,03-01-2026,Cardiovascular Sciences
College Of Medical Technology/pims,Islamabad,BS,4 Years,0,18-09-2025,Cardiovascular Sciences
