Institute,City,Degree,Duration,Fee,Deadline,Subject
University Of Chitral,Chitral,BS,4 Years,0,30-10-2023,Chemical
University Of Gujrat,Gujrat,BS,4 Years,68010,15-08-2025,Chemical
National University Of Science & Technology,Islamabad,BE,4 Years,174050,25-01-2026,Chemical
Pakistan Institute Of Engineering & Applied Sciences,Islamabad,BS,4 Years,98200,28-03-2025,Chemical
Mehran University Of Engineering & Technology,Jamshoro,B.Sc.,4 Years,38600,18-08-2025,Chemical
Dawood University Of Engineering And Technology,Karachi,BE,4 Years,32000,15-07-2025,Chemical
Ned University Of Engineering & Technology,Karachi,BE,4 Years,46670,20-05-2025,Chemical
University Of Karachi,Karachi,BE,4 Years,38500,10-10-2025,Chemical
"University Of Engineering & Technology, Lahore",Lahore,B.Sc. [Engg.],4 Years,62427,22-03-2026,Chemical
University Of The Punjab,Lahore,B.Sc. [Engg.],4 Years,47540,25-09-2025,Chemical
Muhammad Nawaz Sharif University Of Engineering And Technology,Multan,B.Sc. [Engg.],4 Years,40300,15-09-2023,Chemical
Nfc Institute Of Engineering & Technology,Multan,B.Sc. [Engg.],4 Years,79300,01-08-2025,Chemical
"Quaid-e-awam University Of Engineering, Sciences & Technology",Nawab Shah,BE,4 Years,20000,31-05-2025,Chemical
"University Of Engineering & Technology, Peshawar",Peshawar,B.Sc. [Engg.],4 Years,85000,19-08-2025,Chemical
Balochistan University Of It & Management Sciences,Quetta,BS,4 Years,48415,26-01-2026,Chemical
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,BS,4 Years,40250,05-01-2026,Chemical
Lahore University Of Management Sciences,Lahore,BS,4 Years,811100,10-03-2026,Chemical
Minhaj University,Lahore,B.Sc. [Engg.],4 Years,258000,31-10-2025,Chemical
Ghulam Ishaq Khan  Institute Of Engineering Sciences & Technology,Swabi,BS,4 Years,695000,30-05-2024,Chemical
University Of Wah,Wah Cantt,BE,4 Years,194000,20-09-2023,Chemical
University Of Engineering And Technology[fiasalabad Campus],Faisalabad,B.Sc. [Engg.],4 Years,62427,22-03-2026,Chemical
Universtiy Of Engineering And Technology (sub Campus),Kala Shah Kaku,B.Sc. [Engg.],4 Years,62427,11-07-2025,Chemical
Comsats University Islamabad( Lahore Campus ),Lahore,BS,4 Years,121150,17-07-2025,Chemical
"Pak- Austria Fachhuochschule, Institute Of Applied Sciences And Technology",Haripur,BE,4 Years,0,03-01-2025,Chemical
Grand Charter College,Lahore,B.Sc. [Engg.],4 Years,0,23-11-2016,Chemical
Sharif College Of Engineering & Technology,Lahore,B.Sc. [Engg.],4 Years,144000,04-09-2023,Chemical
Wah Engineering College,Taxila,B.Sc. [Engg.],4 Years,0,25-07-2011,Chemical
Nfc Institute Of Engineering & Fertilizer Research,Faisalabad,B.Sc. [Engg.],4 Years,45000,22-07-2025,Chemical
Nfc Institute Of Engineering & Fertilizer Research,Faisalabad,B.Sc. [Engg.],4 Years,0,02-07-2019,Chemical
