Institute,City,Degree,Duration,Fee,Deadline,Subject
Abbottabad University Of Science And Technology,Abbottabad,BS,4 Years,28500,26-08-2025,Chemistry
Women University Azad Jammu & Kashmir,Bagh,BS,4 Years,43110,01-09-2025,Chemistry
Cholistan University Of  Veterinary & Animal Sciences,Bahawal Pur,BS,4 Years,37500,15-08-2024,Chemistry
The Government Sadiq College Women University,Bahawal Pur,BS,4 Years,31340,28-01-2026,Chemistry
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,47115,30-06-2025,Chemistry
University Of Science & Technology,Bannu,BS,4 Years,16400,20-09-2025,Chemistry
Thal University,Bhakkar,BS,4 Years,30000,10-01-2025,Chemistry
The University Of Buner,Buner,BS,4 Years,0,15-08-2025,Chemistry
University Of Malakand,Chakdara,BS,4 Years,20000,15-09-2025,Chemistry
Bacha Khan University,Charsadda,BS,4 Years,37000,22-09-2025,Chemistry
Ghazi University,D.g.khan,BS,4 Years,21300,04-07-2025,Chemistry
University Of Education [ D.g. Khan Campus ],D.g.khan,BS,4 Years,20214,02-09-2025,Chemistry
Gomal University,D.i. Khan,B.Sc. [Hons],4 Years,47400,09-01-2026,Chemistry
Gomal University,D.i. Khan,AD,2 Years,0,09-01-2026,Chemistry
Fata University,Darra Adam Khail,BS,4 Years,0,16-11-2024,Chemistry
Government College University,Faisalabad,BS,4 Years,28200,12-01-2026,Chemistry
Government College Women University,Faisalabad,BS,4 Years,33100,31-07-2025,Chemistry
University Of Agriculture,Faisalabad,BS,4 Years,60000,28-07-2025,Chemistry
University Of Education [ Faisalabad Campus ],Faisalabad,BS,4 Years,20214,02-09-2025,Chemistry
Karakuram International University,Gilgit,BS,4 Years,41900,03-08-2023,Chemistry
University Of Gujrat,Gujrat,BS,4 Years,68010,15-08-2025,Chemistry
University Of Gwadar,Gwadar,BS,4 Years,0,08-08-2025,Chemistry
University Of Haripur,Haripur,BS,4 Years,20109,26-01-2026,Chemistry
Government College University Hyderabad,Hyderabad,BS,4 Years,11000,15-09-2025,Chemistry
Allama Iqbal Open University,Islamabad,BS,4 Years,43950,10-02-2026,Chemistry
Comsats University Islamabad,Islamabad,BS,4 Years,112200,17-12-2025,Chemistry
National University Of Science & Technology,Islamabad,BS,4 Years,174050,25-01-2026,Chemistry
Quaid-e-azam University,Islamabad,BS,4 Years,54565,29-07-2025,Chemistry
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Chemistry
University Of Jhang,Jhang,BS,4 Years,0,15-09-2025,Chemistry
Dawood University Of Engineering And Technology,Karachi,BS,4 Years,32000,15-07-2025,Chemistry
Ned University Of Engineering & Technology,Karachi,BS,4 Years,46670,20-05-2025,Chemistry
University Of Karachi,Karachi,BS,4 Years,21000,28-11-2025,Chemistry
Khushal Khan Khattak University,Karak,BS,4 Years,34000,19-01-2026,Chemistry
Shah Abdul Latif University,Khair Pur,B.Sc. [Hons],4 Years,24250,22-09-2025,Chemistry
Kohat University Of Science & Technology,Kohat,BS,4 Years,27900,15-09-2025,Chemistry
The University Of Management Sciences & Information Technology,Kotli,BS,4 Years,0,10-09-2016,Chemistry
University Of Kotli,Kotli,BS,4 Years,0,15-08-2025,Chemistry
Government College University Lahore,Lahore,B.Sc. [Hons],4 Years,52000,11-12-2025,Chemistry
Kinnaird College For Women,Lahore,BS,4 Years,90200,01-12-2025,Chemistry
Lahore College For Women University,Lahore,BS,4 Years,54650,25-09-2025,Chemistry
University Of Education,Lahore,BS.ED.,4 Years,20214,09-01-2026,Chemistry
"University Of Engineering & Technology, Lahore",Lahore,BS,4 Years,62427,22-03-2026,Chemistry
University Of The Punjab,Lahore,BS,4 Years,41940,25-09-2025,Chemistry
The University Of Lakki Marwat,Lakki Marwat,BS,4 Years,17100,25-09-2024,Chemistry
University Of Layyah,Layyah,BS,4 Years,0,17-07-2023,Chemistry
Punjab University Of Technology  [ Rasul],Mandi Baha-ud-din,BS,4 Years,0,25-09-2025,Chemistry
Hazara University,Mansehra,B.Sc. [Hons],4 Years,38980,01-09-2025,Chemistry
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,55000,18-08-2025,Chemistry
Women University Mardan,Mardan,BS,4 Years,41400,28-01-2026,Chemistry
