Institute,City,Degree,Duration,Fee,Deadline,Subject
The Islamia University Of Bahawalpur,Bahawal Pur,B.Sc. [Engg.],4 Years,53415,30-06-2025,Civil
Karakuram International University,Gilgit,BS,4 Years,0,10-08-2025,Civil
International Islamic University,Islamabad,BS,4 Years,130500,30-07-2025,Civil
National University Of Science & Technology,Islamabad,BE,4 Years,174050,25-01-2026,Civil
National University Of Technology,Islamabad,BS,4 Years,115000,12-07-2025,Civil
Mehran University Of Engineering & Technology,Jamshoro,BE,4 Years,38600,18-08-2025,Civil
Ned University Of Engineering & Technology,Karachi,BE,4 Years,46670,20-05-2025,Civil
Balochistan University Of Engineering & Technology,Khuzdar,BE,4 Years,16000,17-10-2025,Civil
"University Of Engineering & Technology, Lahore",Lahore,B.Sc. [Engg.],4 Years,62427,22-03-2026,Civil
The University Of Larkano,Larkana,BS,4 Years,0,27-08-2025,Civil
"Lasbela University Of Agriculture, Water And Marine Sciences, Uthal",Lasbela,BS,4 Years,33000,20-10-2025,Civil
"University Of Engineering & Technology ,mardan",Mardan,BS,4 Years,51013,15-08-2025,Civil
Mirpur University Of Science And Technology,Mir Pur (ajk),BS,4 Years,74300,15-08-2024,Civil
"Bahauddin Zakariya University, Multan",Multan,B.Sc. [Engg.],4 Years,45850,18-08-2025,Civil
Muhammad Nawaz Sharif University Of Engineering And Technology,Multan,BS,4 Years,40300,15-09-2023,Civil
Nfc Institute Of Engineering & Technology,Multan,B.Sc. [Engg.],4 Years,81800,01-08-2025,Civil
"Quaid-e-awam University Of Engineering, Sciences & Technology",Nawab Shah,BE,4 Years,20000,31-05-2025,Civil
"University Of Engineering & Technology, Peshawar",Peshawar,B.Sc. [Engg.],4 Years,85000,19-08-2025,Civil
Balochistan University Of It & Management Sciences,Quetta,BS,4 Years,48415,20-08-2025,Civil
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,BS,4 Years,40250,05-01-2026,Civil
University Of Sargodha,Sargodha,B.Sc. [Engg.],4 Years,0,30-11--0001,Civil
"Aror University Of Art, Architecture, Design And Heritage",Sukkur,BS,4 Years,54000,14-01-2026,Civil
"University Of Engineering &  Technology, Taxila",Taxila,B.Sc. [Engg.],4 Years,102400,22-03-2026,Civil
Qurtuba University Of Science & Technology [di Khan],D.i. Khan,B.Sc. [Engg.],4 Years,0,25-08-2025,Civil
The University Of Faisalabad,Faisalabad,B.Sc. [Engg.],4 Years,249750,07-10-2023,Civil
Isra University/hospital,Hyderabad,BE,4 Years,260000,13-07-2024,Civil
Capital University Of Science And Technology,Islamabad,BS,4 Years,374000,02-09-2025,Civil
Ibadat International University Islamabad,Islamabad,BS,4 Years,148000,10-09-2023,Civil
Muslim Youth University,Islamabad,BS,4 Years,299200,29-10-2025,Civil
Hamdard University,Karachi,BS(TECHNOLOGY),4 Years,76000,13-07-2024,Civil
Sir Syed University Of Engineering & Technology,Karachi,BS,4 Years,172800,19-07-2024,Civil
Zia-ud-din Medical University,Karachi,BS,4 Years,176000,26-08-2025,Civil
Imperial College Of Business Studies,Lahore,B.Sc.,4 Years,329000,21-08-2023,Civil
Lahore Leads University ( Faculty Of Engineering ),Lahore,B.Sc. [Engg.],4 Years,196000,20-11-2022,Civil
