Institute,City,Degree,Duration,Fee,Deadline,Subject
Abbottabad University Of Science And Technology,Abbottabad,BCS,4 Years,47800,26-08-2025,Computer Science
Women University Azad Jammu & Kashmir,Bagh,BS,4 Years,43110,01-09-2025,Computer Science
Cholistan University Of  Veterinary & Animal Sciences,Bahawal Pur,BS,4 Years,46500,15-08-2024,Computer Science
Cholistan University Of  Veterinary & Animal Sciences,Bahawal Pur,AD,2 Years,46500,15-08-2024,Computer Science
The Government Sadiq College Women University,Bahawal Pur,BS,4 Years,31340,28-01-2026,Computer Science
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,49665,30-06-2025,Computer Science
Kalam Bibi International Women Institute,Bannu,BS,4 Years,0,18-09-2025,Computer Science
University Of Science & Technology,Bannu,BS,4 Years,16400,20-09-2025,Computer Science
Thal University,Bhakkar,BS,4 Years,30000,10-01-2025,Computer Science
The University Of Buner,Buner,BS,4 Years,0,15-08-2025,Computer Science
University Of Malakand,Chakdara,BS (HONS),4 Years,20000,15-09-2025,Computer Science
Bacha Khan University,Charsadda,BS,4 Years,37000,22-09-2025,Computer Science
University Of Chitral,Chitral,BS,4 Years,0,30-10-2023,Computer Science
"Bahauddin Zakria University,multan[d.g.khan Campus]",D.g.khan,BS,4 Years,0,31-01-2015,Computer Science
Ghazi University,D.g.khan,BS,4 Years,21300,04-07-2025,Computer Science
Mir Chakar Khan Rind University Of Technology,D.g.khan,BS,4 Years,0,31-07-2025,Computer Science
University Of Education [ D.g. Khan Campus ],D.g.khan,BS,4 Years,26920,02-09-2025,Computer Science
Gomal University,D.i. Khan,BCS,4 Years,46600,31-07-2025,Computer Science
Gomal University,D.i. Khan,AD,2 Years,0,31-07-2025,Computer Science
Fata University,Darra Adam Khail,BS,4 Years,22000,16-08-2025,Computer Science
Government College University,Faisalabad,AD,2 Years,47400,24-06-2025,Computer Science
Government College University,Faisalabad,BS,4 Years,47400,24-06-2025,Computer Science
Government College Women University,Faisalabad,AD,2 Years,44300,31-07-2025,Computer Science
Government College Women University,Faisalabad,BS,4 Years,44000,31-07-2025,Computer Science
National Textile University,Faisalabad,BCS,4 Years,80000,31-07-2023,Computer Science
University Of Agriculture,Faisalabad,BS,4 Years,83600,28-07-2025,Computer Science
University Of Education [ Faisalabad Campus ],Faisalabad,BS,4 Years,26920,02-09-2025,Computer Science
Karakuram International University,Gilgit,BS,4 Years,44400,10-08-2025,Computer Science
University Of Gujrat,Gujrat,BS,4 Years,68010,15-08-2025,Computer Science
University Of Gwadar,Gwadar,BS,4 Years,0,08-08-2025,Computer Science
The University Of Sufism  And Modern Sciences,Hala,BS,4 Years,23000,31-07-2025,Computer Science
University Of Haripur,Haripur,BCS,4 Years,53358,26-01-2026,Computer Science
Hazara University [havellian Campus],Havelian,BCS,4 Years,0,23-02-2015,Computer Science
Government College University Hyderabad,Hyderabad,BS,4 Years,11000,15-09-2025,Computer Science
Air University,Islamabad,AD,2 Years,93150,23-12-2025,Computer Science
Air University,Islamabad,BS,4 Years,86100,25-07-2025,Computer Science
Allama Iqbal Open University,Islamabad,BS,4 Years,47300,10-02-2026,Computer Science
"Bahria University, E-8 Campus",Islamabad,BS,4 Years,122196,18-12-2025,Computer Science
Comsats University Islamabad,Islamabad,BS,4 Years,121150,17-12-2025,Computer Science
Federal Urdu University Of Arts Science & Technology Islamabad,Islamabad,BS,4 Years,75000,30-01-2026,Computer Science
Federal Urdu University Of Arts Science & Technology Islamabad,Islamabad,AD,2 Years,75000,30-01-2026,Computer Science
Institute Of Space Technology,Islamabad,BS,4 Years,126229,31-07-2025,Computer Science
International Islamic University,Islamabad,BS,4 Years,85500,15-07-2024,Computer Science
National Skills University,Islamabad,BS,4 Years,40600,13-09-2025,Computer Science
"National University Of Computer And Emerging Sciences, Islamabad",Islamabad,BS,4 Years,160000,04-07-2025,Computer Science
"National University Of Modern Languages, Islamabad",Islamabad,BS,4 Years,104000,09-12-2025,Computer Science
National University Of Science & Technology,Islamabad,BS,4 Years,174050,25-01-2026,Computer Science
National University Of Technology,Islamabad,BS,4 Years,115000,12-07-2025,Computer Science
Quaid-e-azam University,Islamabad,BS,4 Years,56355,29-07-2025,Computer Science
Mehran University Of Engineering & Technology,Jamshoro,BS,4 Years,38600,10-05-2025,Computer Science
University Of Sindh,Jamshoro,BS,4 Years,15950,14-09-2025,Computer Science
University Of Jhang,Jhang,BS,4 Years,0,15-09-2025,Computer Science
"Benazir Bhutto Shaheed University, Lyari",Karachi,BS,4 Years,28100,17-11-2025,Computer Science
Dawood University Of Engineering And Technology,Karachi,BS,4 Years,70000,15-07-2025,Computer Science
Institute Of Business Administration [khi],Karachi,BCS,4 Years,199500,11-06-2025,Computer Science
Ned University Of Engineering & Technology,Karachi,BS,4 Years,46670,20-05-2025,Computer Science
Sindh Madressatul Islam University,Karachi,BS,4 Years,58750,01-12-2025,Computer Science
Uit University,Karachi,AD,2 Years,0,09-01-2026,Computer Science
University Of Karachi,Karachi,BS,4 Years,42500,28-11-2025,Computer Science
Khushal Khan Khattak University,Karak,BS,4 Years,34000,19-01-2026,Computer Science
Shah Abdul Latif University,Khair Pur,BCS,4 Years,13000,22-09-2025,Computer Science
The Benazir Butto Shaheed University Of Technology & Skill Development,Khair Pur,BS,4 Years,23250,23-06-2025,Computer Science
Balochistan University Of Engineering & Technology,Khuzdar,BS,4 Years,16000,17-10-2025,Computer Science
Kohat University Of Science & Technology,Kohat,BCS (H),4 Years,58700,15-09-2025,Computer Science
The University Of Management Sciences & Information Technology,Kotli,BS,4 Years,0,10-09-2016,Computer Science
University Of Kotli,Kotli,BS,4 Years,0,15-08-2025,Computer Science
Government College University Lahore,Lahore,BS,4 Years,116000,08-08-2025,Computer Science
Information Technology University,Lahore,BS,4 Years,206000,18-06-2025,Computer Science
Kinnaird College For Women,Lahore,BS,4 Years,126100,04-07-2025,Computer Science
Lahore College For Women University,Lahore,BCS,4 Years,54650,25-09-2025,Computer Science
University Of Education,Lahore,BS,4 Years,26920,09-01-2026,Computer Science
"University Of Engineering & Technology, Lahore",Lahore,AD,2 Years,0,22-03-2026,Computer Science
"University Of Engineering & Technology, Lahore",Lahore,B.Sc.,2 Years,62427,22-03-2026,Computer Science
University Of The Punjab,Lahore,B.Sc. [Hons],4 Years,48650,25-09-2025,Computer Science
University Of Veterinary And Animal Sciences,Lahore,BS,4 Years,45500,01-08-2025,Computer Science
Virtual University Of Pakistan,Lahore,AD,2 Years,21800,30-09-2025,Computer Science
Virtual University Of Pakistan,Lahore,BS,4 Years,21800,30-09-2025,Computer Science
The University Of Lakki Marwat,Lakki Marwat,BS,4 Years,17100,25-09-2024,Computer Science
The University Of Larkano,Larkana,BS,4 Years,0,27-08-2025,Computer Science
"Lasbela University Of Agriculture, Water And Marine Sciences, Uthal",Lasbela,BS,4 Years,16000,20-10-2025,Computer Science
University Of Layyah,Layyah,BS,4 Years,0,17-07-2023,Computer Science
University Of Loralai,Loralai,BS,4 Years,11300,18-08-2025,Computer Science
Punjab University Of Technology  [ Rasul],Mandi Baha-ud-din,BS,4 Years,0,25-09-2025,Computer Science
Hazara University,Mansehra,BCS (H),4 Years,41300,01-09-2025,Computer Science
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,65000,18-08-2025,Computer Science
"University Of Engineering & Technology ,mardan",Mardan,BS,4 Years,51013,07-07-2025,Computer Science
Women University Mardan,Mardan,BS,4 Years,41400,10-09-2025,Computer Science
University Of Mianwali,Mianwali,BS,4 Years,0,18-08-2025,Computer Science
Mirpur University Of Science And Technology,Mir Pur (ajk),BS,4 Years,56300,15-08-2024,Computer Science
The University Of Mirpur Khas,Mir Pur Khas,BS,4 Years,0,10-10-2025,Computer Science
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,27150,18-08-2025,Computer Science
Muhammad Nawaz Sharif University Of Agriculture,Multan,BS,4 Years,35000,25-07-2025,Computer Science
Muhammad Nawaz Sharif University Of Engineering And Technology,Multan,BS,4 Years,40300,15-09-2023,Computer Science
Multan University Of Science And Technology,Multan,BS,4 Years,0,24-01-2026,Computer Science
Nfc Institute Of Engineering & Technology,Multan,BS,4 Years,54340,01-08-2025,Computer Science
The Women University,Multan,BS,4 Years,34750,23-09-2024,Computer Science
University Of Education [ Multan Campus ],Multan,BS,4 Years,26920,02-09-2025,Computer Science
Kohsar University,Murree,BS,4 Years,0,14-02-2025,Computer Science
University Of Azad Jammu & Kashmir,Muzaffarabad,BS,4 Years,0,08-08-2025,Computer Science
Baba Guru Nanak University,Nankana Sahib,BS,4 Years,30150,19-09-2025,Computer Science
"Quaid-e-awam University Of Engineering, Sciences & Technology",Nawab Shah,BS,4 Years,20000,31-05-2025,Computer Science
"Shaheed Benazir Bhutto University, Nawab Shah",Nawab Shah,BS,4 Years,18000,06-10-2025,Computer Science
"University Of Technology, Nowshera",Nowshera,BS,4 Years,30120,04-09-2025,Computer Science
University Of Okara,Okara,CERT,4 Years,48000,18-07-2025,Computer Science
Institute Of Management Sciences,Peshawar,BCS,4 Years,155700,03-08-2023,Computer Science
Islamia College University,Peshawar,BS,4 Years,62000,16-09-2025,Computer Science
