Institute,City,Degree,Duration,Fee,Deadline,Subject
"National University Of Modern Languages, Islamabad",Islamabad,AD,2 Years,104000,09-12-2025,Computing
University Of Kotli,Kotli,AD,2 Years,0,15-08-2025,Computing
"University Of Engineering & Technology, Lahore",Lahore,BS,4 Years,0,22-03-2026,Computing
Iqra University [kch],Karachi,BS,4 Years,189000,14-02-2026,Computing
Iqra University [kch],Karachi,AD,2 Years,144000,14-02-2026,Computing
National University Of Modern Languages ( Faisalabad Campus ),Faisalabad,AD,2 Years,0,09-12-2025,Computing
National University Of Modern Languages ( Hyderabad Campus ),Hyderabad,AD,2 Years,104000,09-12-2025,Computing
National University Of Modern Languages ( Karachi Campus ),Karachi,AD,2 Years,104000,09-12-2025,Computing
National University Of Modern Languages ( Lahore  Campus ),Lahore,AD,2 Years,104000,09-12-2025,Computing
"National University Of Modern Languages, Azad Jammu And Kashmir Campus",Mir Pur (ajk),AD,2 Years,0,09-12-2025,Computing
National University Of Modern Language ( Multan Campus ),Multan,AD,2 Years,64550,31-01-2026,Computing
National University Of Modern Languages ( Peshawar Campus ),Peshawar,AD,2 Years,104000,09-12-2025,Computing
"National University Of Modern Languages, Rawalpindi Campus",Rawalpindi,AD,2 Years,104000,08-07-2025,Computing
Emerson University Multan,Multan,BS,4 Years,0,15-08-2025,Computing
University College Of Advanced Technologies,Rawalpindi,B.Sc. [Hons],3 Years,0,01-01-1970,Computing
Asia Pacific Institute Of Information Technology,Karachi,B.Sc. [Hons],4 Years,0,01-01-1970,Computing
Informatics Computer Institute,Rawalpindi,B.Sc. [Hons],4 Years,0,01-01-1970,Computing
