Institute,City,Degree,Duration,Fee,Deadline,Subject
Ghazi University,D.g.khan,BS,4 Years,0,04-07-2025,Data Analytics
Government College University,Faisalabad,BS,4 Years,47400,24-06-2025,Data Analytics
University Of Gujrat,Gujrat,BS,4 Years,0,15-08-2025,Data Analytics
University Of Haripur,Haripur,BS,4 Years,41559,26-01-2026,Data Analytics
Allama Iqbal Open University,Islamabad,BS,4 Years,0,10-02-2026,Data Analytics
Lahore College For Women University,Lahore,BS,4 Years,54650,25-09-2025,Data Analytics
"University Of Engineering & Technology, Lahore",Lahore,B.Sc.,4 Years,62427,22-03-2026,Data Analytics
University Of Mianwali,Mianwali,BS,4 Years,0,19-01-2026,Data Analytics
Pir Mahar Ali Shah Arid Agriculture University,Rawalpindi,BS,4 Years,0,08-08-2025,Data Analytics
Emerson University Multan,Multan,BS,4 Years,0,15-08-2025,Data Analytics
