Institute,City,Degree,Duration,Fee,Deadline,Subject
Women University Azad Jammu & Kashmir,Bagh,BS,4 Years,43110,01-09-2025,Data Science
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,49665,30-06-2025,Data Science
University Of Science & Technology,Bannu,BS,4 Years,16400,20-09-2025,Data Science
University Of Malakand,Chakdara,BS,4 Years,20000,31-07-2025,Data Science
Bacha Khan University,Charsadda,BS,4 Years,37000,22-09-2025,Data Science
Ghazi University,D.g.khan,BS,4 Years,0,04-07-2025,Data Science
Gomal University,D.i. Khan,BS,4 Years,0,31-07-2025,Data Science
Government College University,Faisalabad,BS,4 Years,47400,24-06-2025,Data Science
University Of Agriculture,Faisalabad,BS,4 Years,0,28-07-2025,Data Science
Karakuram International University,Gilgit,BS,4 Years,0,10-08-2025,Data Science
University Of Gujrat,Gujrat,BS,4 Years,0,15-08-2025,Data Science
University Of Gwadar,Gwadar,BS,4 Years,0,08-08-2025,Data Science
University Of Haripur,Haripur,BS,4 Years,53358,26-01-2026,Data Science
Government College University Hyderabad,Hyderabad,BS,4 Years,0,15-09-2025,Data Science
Air University,Islamabad,BS,4 Years,93375,25-07-2025,Data Science
Allama Iqbal Open University,Islamabad,BS,4 Years,47300,10-02-2026,Data Science
Comsats University Islamabad,Islamabad,BS,4 Years,121150,17-12-2025,Data Science
Federal Urdu University Of Arts Science & Technology Islamabad,Islamabad,BS,4 Years,55000,30-01-2026,Data Science
Institute Of Space Technology,Islamabad,BS,4 Years,126229,31-07-2025,Data Science
"National University Of Computer And Emerging Sciences, Islamabad",Islamabad,BS,4 Years,160000,04-07-2025,Data Science
"National University Of Modern Languages, Islamabad",Islamabad,BS,4 Years,0,09-12-2025,Data Science
University Of Sindh,Jamshoro,BS,4 Years,15950,17-09-2024,Data Science
Dawood University Of Engineering And Technology,Karachi,BS,4 Years,32000,15-07-2025,Data Science
Ned University Of Engineering & Technology,Karachi,BS,4 Years,46670,20-05-2025,Data Science
Sindh Madressatul Islam University,Karachi,BS,4 Years,47050,01-12-2025,Data Science
Uit University,Karachi,BS,4 Years,0,18-07-2025,Data Science
Kohat University Of Science & Technology,Kohat,BS,4 Years,0,15-09-2025,Data Science
University Of Kotli,Kotli,BS,4 Years,0,15-08-2025,Data Science
"University Of Engineering & Technology, Lahore",Lahore,BS,4 Years,0,22-03-2026,Data Science
"University Of Engineering & Technology, Lahore",Lahore,AD,2 Years,0,22-03-2026,Data Science
University Of The Punjab,Lahore,BS,4 Years,48650,25-09-2025,Data Science
Virtual University Of Pakistan,Lahore,BS,4 Years,0,30-09-2025,Data Science
Virtual University Of Pakistan,Lahore,AD,2 Years,0,30-09-2025,Data Science
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,35000,18-08-2025,Data Science
"University Of Engineering & Technology ,mardan",Mardan,BS,4 Years,51013,07-07-2025,Data Science
The University Of Mirpur Khas,Mir Pur Khas,BS,4 Years,0,10-10-2025,Data Science
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,0,18-08-2025,Data Science
Muhammad Nawaz Sharif University Of Agriculture,Multan,BS,4 Years,35000,29-09-2025,Data Science
University Of Azad Jammu & Kashmir,Muzaffarabad,BS,4 Years,0,08-08-2025,Data Science
Baba Guru Nanak University,Nankana Sahib,BS,4 Years,30150,19-09-2025,Data Science
"Quaid-e-awam University Of Engineering, Sciences & Technology",Nawab Shah,BS,4 Years,20000,31-05-2025,Data Science
University Of Okara,Okara,BS,4 Years,48000,18-07-2025,Data Science
Institute Of Management Sciences,Peshawar,BS,4 Years,155700,03-08-2023,Data Science
Islamia College University,Peshawar,BS,4 Years,0,16-09-2025,Data Science
The University Of Agriculture,Peshawar,BS,4 Years,0,15-08-2025,Data Science
"University Of Engineering & Technology, Peshawar",Peshawar,BS,4 Years,85000,04-07-2025,Data Science
University Of Peshawar,Peshawar,BS,4 Years,0,11-08-2025,Data Science
Balochistan University Of It & Management Sciences,Quetta,BS,4 Years,48415,20-08-2025,Data Science
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,BS,4 Years,40250,20-06-2025,Data Science
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,BS,4 Years,0,20-08-2025,Data Science
University Of Sahiwal,Sahiwal,BS,4 Years,31440,31-07-2025,Data Science
University Of Sargodha,Sargodha,BS,4 Years,43000,15-12-2025,Data Science
University Of Swabi,Swabi,BS,4 Years,51270,16-09-2025,Data Science
Women University Swabi,Swabi,BS,4 Years,42460,12-09-2025,Data Science
The University Of Faisalabad,Faisalabad,BS,4 Years,0,07-10-2023,Data Science
Gift University,Gujranwala,BS,4 Years,217800,01-02-2026,Data Science
Riphah International University,Islamabad,BS,4 Years,144000,30-07-2025,Data Science
Sir Syed Case Institute Of Technology,Islamabad,BS,4 Years,0,21-08-2024,Data Science
Dha Suffa University(main Campus),Karachi,BS,4 Years,0,14-06-2025,Data Science
Greenwich University,Karachi,BS,4 Years,0,14-07-2024,Data Science
Institute Of Business Management,Karachi,BS,4 Years,155800,28-07-2022,Data Science
Jinnah University For Women,Karachi,BS,4 Years,0,15-10-2025,Data Science
Karachi Institute Of Economics & Technology,Karachi,BS,4 Years,111300,06-01-2024,Data Science
Shaheed Benazir Bhutto Dewan University,Karachi,BS,4 Years,0,15-02-2026,Data Science
Sir Syed University Of Engineering & Technology,Karachi,BS,4 Years,172800,19-07-2024,Data Science
Zia-ud-din Medical University,Karachi,BS,4 Years,114000,26-08-2025,Data Science
Beaconhouse National University,Lahore,BS,4 Years,0,22-08-2025,Data Science
Imperial College Of Business Studies,Lahore,BS,4 Years,0,21-08-2023,Data Science
Lahore Leads University,Lahore,BS,4 Years,140000,04-09-2025,Data Science
Minhaj University,Lahore,BS,4 Years,0,31-10-2025,Data Science
"National College Of Business Administration And Economics, Lahore",Lahore,BS,4 Years,0,26-02-2023,Data Science
Qarshi University (lhr),Lahore,BS,4 Years,0,12-07-2025,Data Science
The Superior University,Lahore,BS,4 Years,230000,31-01-2026,Data Science
University Of Central Punjab,Lahore,BS,4 Years,268750,10-10-2024,Data Science
University Of Management And Technology,Lahore,BS,4 Years,274750,01-10-2025,Data Science
Abasyn University,Peshawar,BS,4 Years,0,01-02-2026,Data Science
City University Of Science & Information Technology,Peshawar,BS,4 Years,160000,10-11-2025,Data Science
Grand Asian University Sialkot,Sialkot,AD,2 Years,0,21-09-2024,Data Science
Ghulam Ishaq Khan  Institute Of Engineering Sciences & Technology,Swabi,BS,4 Years,695000,30-05-2024,Data Science
University Of Engineering & Technology ( Abbotabad Campus ),Abbottabad,BS,4 Years,85000,12-07-2024,Data Science
University Of Engineering And Technology[fiasalabad Campus],Faisalabad,BS,4 Years,0,22-03-2026,Data Science
Universtiy Of Engineering And Technology (sub Campus),Kala Shah Kaku,BS,4 Years,0,22-12-2025,Data Science
"Air University, Multan Campus",Multan,BS,4 Years,86100,18-08-2025,Data Science
The Islamic University Of Bahawalpur[rahimyar Khan Campus],Rahim Yar Khan,BS,4 Years,49665,28-07-2023,Data Science
"National University Of Modern Languages, Rawalpindi Campus",Rawalpindi,BS,4 Years,0,09-12-2025,Data Science
Comsats University Islamabad ( Sahiwal Campus ),Sahiwal,BS,4 Years,112200,15-08-2025,Data Science
