Institute,City,Degree,Duration,Fee,Deadline,Subject
Abbottabad University Of Science And Technology,Abbottabad,BS,4 Hours,27500,30-09-2024,Development Studies
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,43015,30-06-2025,Development Studies
University Of Science & Technology,Bannu,BS,4 Years,0,20-09-2025,Development Studies
Ghazi University,D.g.khan,B.Sc. [Hons],4 Years,21300,04-07-2025,Development Studies
University Of Agriculture,Faisalabad,BS,4 Years,0,28-07-2025,Development Studies
Karakuram International University,Gilgit,BS,4 Years,0,10-08-2025,Development Studies
University Of Gujrat,Gujrat,BS,4 Years,0,15-08-2025,Development Studies
"Bahria University, E-8 Campus",Islamabad,BS,4 Years,124950,18-12-2025,Development Studies
Ned University Of Engineering & Technology,Karachi,BS,4 Years,46670,20-05-2025,Development Studies
Sindh Madressatul Islam University,Karachi,BS,4 Years,36500,01-12-2025,Development Studies
Kohat University Of Science & Technology,Kohat,BS,4 Years,24100,15-09-2025,Development Studies
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,35000,18-08-2025,Development Studies
The University Of Agriculture,Peshawar,BS,4 Years,38000,15-08-2025,Development Studies
University Of Peshawar,Peshawar,BS,4 Years,73800,23-09-2025,Development Studies
University Of Balochistan,Quetta,BS,4 Years,32000,03-03-2023,Development Studies
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,BS,4 Years,0,20-08-2025,Development Studies
University Of Sargodha,Sargodha,BS,4 Years,30000,15-12-2025,Development Studies
University Of Swat,Swat,BS,4 Years,19730,12-10-2023,Development Studies
Shaheed Zulfiqar Ali Bhutto Institute Of Science & Technology,Karachi,BS,4 Years,0,12-02-2026,Development Studies
Comsats University Islamabad ( Abbotabad Campus ),Abbottabad,BS,4 Years,112200,29-01-2026,Development Studies
Edwardes College,Peshawar,BS,4 Years,0,26-09-2024,Development Studies
