Institute,City,Degree,Duration,Fee,Deadline,Subject
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,48115,30-06-2025,Disaster Management
Ghazi University,D.g.khan,BS,4 Years,21300,15-08-2023,Disaster Management
Gomal University,D.i. Khan,BS,4 Years,0,30-11--0001,Disaster Management
Karakuram International University,Gilgit,BS,4 Years,41900,10-08-2025,Disaster Management
University Of Haripur,Haripur,BS,4 Years,20109,17-09-2023,Disaster Management
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Disaster Management
Kohat University Of Science & Technology,Kohat,BS,4 Years,24100,15-09-2025,Disaster Management
Lahore College For Women University,Lahore,BS,4 Years,46790,25-09-2025,Disaster Management
University Of The Punjab,Lahore,BS,4 Years,47540,25-09-2025,Disaster Management
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,0,02-01-2026,Disaster Management
University Of Balochistan,Quetta,BS,4 Years,32000,11-08-2025,Disaster Management
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,BS,4 Years,0,20-08-2025,Disaster Management
"Government College University Lahore, Kala Shah Kaku Campus",Kala Shah Kaku,BS,4 Years,0,11-12-2025,Disaster Management
