Institute,City,Degree,Duration,Fee,Deadline,Subject
Abbottabad University Of Science And Technology,Abbottabad,BBA,4 Years,27500,26-08-2025,Economics
Women University Azad Jammu & Kashmir,Bagh,BS,4 Years,36260,01-09-2025,Economics
The Government Sadiq College Women University,Bahawal Pur,BS,4 Years,25540,28-01-2026,Economics
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,43015,30-06-2025,Economics
University Of Science & Technology,Bannu,BS,4 Years,16400,20-09-2025,Economics
Thal University,Bhakkar,BS,4 Years,28000,10-01-2025,Economics
Azad Jammu & Kashmir University Of Bhimber,Bhimber,BS,4 Years,0,08-09-2024,Economics
The University Of Buner,Buner,BS,4 Years,0,15-08-2025,Economics
University Of Malakand,Chakdara,BS (HONS),4 Years,14000,15-09-2025,Economics
Bacha Khan University,Charsadda,BS,4 Years,37000,22-09-2025,Economics
University Of Chitral,Chitral,BS,4 Years,0,30-10-2023,Economics
Ghazi University,D.g.khan,BS,4 Years,21300,04-07-2025,Economics
University Of Education [ D.g. Khan Campus ],D.g.khan,BS,4 Years,20214,02-09-2025,Economics
Gomal University,D.i. Khan,AD,2 Years,0,09-01-2026,Economics
Gomal University,D.i. Khan,B.Sc. [Hons],4 Years,41000,09-01-2026,Economics
Government College University,Faisalabad,BA [HONS],4 Years,24300,12-01-2026,Economics
Government College Women University,Faisalabad,BS,4 Years,30200,31-07-2025,Economics
University Of Agriculture,Faisalabad,BS,4 Years,0,28-07-2025,Economics
University Of Education [ Faisalabad Campus ],Faisalabad,BS,4 Years,20214,02-09-2025,Economics
Karakuram International University,Gilgit,BS,4 Years,33400,10-08-2025,Economics
University Of Gujrat,Gujrat,BS,4 Years,66590,15-08-2025,Economics
University Of Gwadar,Gwadar,BS,4 Years,0,08-08-2025,Economics
University Of Haripur,Haripur,BS,4 Years,18648,26-01-2026,Economics
Hazara University [havellian Campus],Havelian,B.Sc.,2 Years,0,23-02-2015,Economics
Government College University Hyderabad,Hyderabad,BS,4 Years,0,15-09-2025,Economics
Allama Iqbal Open University,Islamabad,BS,4 Years,13750,10-02-2026,Economics
"Bahria University, E-8 Campus",Islamabad,BS,4 Years,128700,18-12-2025,Economics
Comsats University Islamabad,Islamabad,BS,4 Years,112200,17-12-2025,Economics
Federal Urdu University Of Arts Science & Technology Islamabad,Islamabad,BS,4 Years,50000,30-01-2026,Economics
Federal Urdu University Of Arts Science & Technology Islamabad,Islamabad,AD,2 Years,50000,30-01-2026,Economics
International Islamic University,Islamabad,B.Sc. [Hons],4 Years,49050,31-12-2025,Economics
National Defence University,Islamabad,BS,4 Years,88507,31-12-2025,Economics
"National University Of Modern Languages, Islamabad",Islamabad,BS,4 Years,65000,09-12-2025,Economics
National University Of Science & Technology,Islamabad,BS,4 Years,225400,25-01-2026,Economics
Quaid-e-azam University,Islamabad,BS,4 Years,54565,29-07-2025,Economics
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Economics
University Of Jhang,Jhang,BS,4 Years,0,15-09-2025,Economics
Institute Of Business Administration [khi],Karachi,BS,4 Years,199500,11-06-2025,Economics
Sindh Madressatul Islam University,Karachi,BS,4 Years,36500,01-12-2025,Economics
University Of Karachi,Karachi,BS,4 Years,16500,28-11-2025,Economics
Khushal Khan Khattak University,Karak,BS,4 Years,34000,19-01-2026,Economics
Shah Abdul Latif University,Khair Pur,BA [HONS],4 Years,14000,22-09-2025,Economics
Kohat University Of Science & Technology,Kohat,BS,4 Years,24100,15-09-2025,Economics
The University Of Management Sciences & Information Technology,Kotli,BS,4 Years,0,10-09-2016,Economics
University Of Kotli,Kotli,BS,4 Years,0,15-08-2025,Economics
Government College University Lahore,Lahore,B.Sc. [Hons],4 Years,52000,08-08-2025,Economics
Information Technology University,Lahore,BS,4 Years,206000,18-06-2025,Economics
Kinnaird College For Women,Lahore,BS,4 Years,88200,01-12-2025,Economics
Lahore College For Women University,Lahore,BS,4 Years,46790,25-09-2025,Economics
University Of Education,Lahore,BS,4 Years,20214,09-01-2026,Economics
University Of The Punjab,Lahore,BS,4 Years,41940,25-09-2025,Economics
Virtual University Of Pakistan,Lahore,BS,4 Years,21800,30-09-2025,Economics
The University Of Larkano,Larkana,BS,4 Years,0,27-08-2025,Economics
"Lasbela University Of Agriculture, Water And Marine Sciences, Uthal",Lasbela,BS,4 Years,16000,20-10-2025,Economics
University Of Layyah,Layyah,BS,4 Years,22460,17-07-2023,Economics
University Of Loralai,Loralai,BS,4 Years,11300,18-08-2025,Economics
Punjab University Of Technology  [ Rasul],Mandi Baha-ud-din,BS,4 Years,0,25-09-2025,Economics
Hazara University,Mansehra,B.Sc.,2 Years,38980,01-09-2025,Economics
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,35000,18-08-2025,Economics
Women University Mardan,Mardan,BS,4 Years,37400,28-01-2026,Economics
University Of Mianwali,Mianwali,BS,4 Years,0,03-10-2025,Economics
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,27150,02-01-2026,Economics
Institute Of Southern Punjab (girls Campus),Multan,BS,4 Years,0,31-08-2024,Economics
The Women University,Multan,BS,4 Years,24250,07-01-2025,Economics
The Women University,Multan,AD,2 Years,24150,07-01-2025,Economics
University Of Azad Jammu & Kashmir,Muzaffarabad,BS,4 Years,0,08-08-2025,Economics
University Of Narowal,Narowal,BS,4 Years,30000,19-02-2026,Economics
"Shaheed Benazir Bhutto University, Nawab Shah",Nawab Shah,BS,4 Years,18000,06-10-2025,Economics
University Of Okara,Okara,BS,4 Years,52000,18-07-2025,Economics
Institute Of Management Sciences,Peshawar,B.Sc. [Hons],4 Years,155700,03-08-2023,Economics
Islamia College University,Peshawar,BS,4 Years,62000,16-09-2025,Economics
Shaheed Benazir Bhutto Women University,Peshawar,BS,4 Years,29513,28-09-2025,Economics
The University Of Agriculture,Peshawar,BS (HONS),4 Years,38000,15-08-2025,Economics
University Of Peshawar,Peshawar,B.Sc. [Hons],4 Years,73800,23-09-2025,Economics
Balochistan University Of It & Management Sciences,Quetta,BS,4 Years,39410,20-08-2025,Economics
Sardar Bahadur Khan Women University,Quetta,B.Sc.,4 Years,6760,15-09-2025,Economics
University Of Balochistan,Quetta,BS,4 Years,32000,11-08-2025,Economics
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,BS,4 Years,40250,20-06-2025,Economics
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,BS,4 Years,41800,20-08-2025,Economics
Fatima Jinnah Women University,Rawalpindi,BA [PASS],2 Years,52050,18-08-2025,Economics
Fatima Jinnah Women University,Rawalpindi,AD,2 Years,52050,18-08-2025,Economics
Pir Mahar Ali Shah Arid Agriculture University,Rawalpindi,BS,4 Years,45650,08-08-2025,Economics
University Of Sahiwal,Sahiwal,BS,4 Years,31440,31-07-2025,Economics
University Of Sargodha,Sargodha,BS,4 Years,30000,15-12-2025,Economics
Government College Women University,Sialkot,BS,4 Years,21000,22-01-2026,Economics
University Of Sialkot,Sialkot,BS,4 Years,95000,01-11-2024,Economics
Sukkur Iba University,Sukkur,B.ED (HONS),4 Years,120000,07-02-2026,Economics
University Of Swabi,Swabi,BS,4 Years,51270,16-09-2025,Economics
Women University Swabi,Swabi,BS,4 Years,45760,12-09-2025,Economics
University Of Swat,Swat,BS,4 Years,19730,12-10-2023,Economics
University Of Turbat,Turbat,BS,4 Years,18000,21-10-2024,Economics
University Of Chakwal,Chakwal,BS,4 Years,0,11-08-2025,Economics
Qurtuba University Of Science & Technology [di Khan],D.i. Khan,BS,4 Years,0,30-10-2022,Economics
The University Of Faisalabad,Faisalabad,BS,4 Years,0,07-10-2023,Economics
Al-karam International University,Islamabad,BS,4 Years,0,25-02-2017,Economics
Muslim Youth University,Islamabad,BS,4 Years,0,29-10-2025,Economics
Shifa Tameer-e-millat University,Islamabad,BS,4 Years,179000,29-09-2022,Economics
Jinnah University For Women,Karachi,BA [HONS],4 Years,25000,15-10-2025,Economics
Shaheed Zulfiqar Ali Bhutto Institute Of Science & Technology,Karachi,BS,4 Years,0,12-02-2026,Economics
Preston University [kht],Kohat,BS,4 Years,0,30-10-2025,Economics
Beaconhouse National University,Lahore,B.Sc.,4 Years,169050,22-08-2025,Economics
Forman Christian College,Lahore,B.Sc. [Hons],4 Years,358200,30-11-2025,Economics
Hajvery University,Lahore,BS,4 Years,96000,26-10-2024,Economics
Imperial College Of Business Studies,Lahore,BS,4 Years,0,21-08-2023,Economics
Lahore Garrison University,Lahore,BS,4 Years,174635,30-11--0001,Economics
Lahore School Of Economics,Lahore,B.Sc. [Hons],3 Years,341000,28-06-2025,Economics
Lahore University Of Management Sciences,Lahore,B.Sc. [Hons],4 Years,680400,10-03-2026,Economics
Minhaj University,Lahore,B.Sc.,2 Years,123250,31-10-2025,Economics
Nur International University,Lahore,BS,4 Years,155278,30-09-2024,Economics
The Superior University,Lahore,BS,4 Years,0,31-01-2026,Economics
The University Of Lahore ( Main Campus ),Lahore,BS,4 Years,102100,31-01-2026,Economics
University Of Central Punjab,Lahore,BS,4 Years,178250,20-09-2024,Economics
University Of Management And Technology,Lahore,BS,4 Years,124750,31-07-2024,Economics
Mohi-ud-din Islamic University,Mir Pur (ajk),BS,4 Years,56000,12-07-2022,Economics
Institute Of Southern Punjab,Multan,B.Sc. [Hons],4 Years,0,31-01-2025,Economics
Qarshi University,Muridke,BS,4 Years,0,30-11--0001,Economics
City University Of Science & Information Technology,Peshawar,BS,4 Years,0,10-11-2025,Economics
Preston University [pesh],Peshawar,BS,4 Years,0,20-06-2016,Economics
University Of Wah,Wah Cantt,BS,4 Years,82000,20-09-2023,Economics
Comsats University Islamabad ( Abbotabad Campus ),Abbottabad,BS,4 Years,112200,29-01-2026,Economics
"The Islamia University Of Bahawalpur, Ahmadpur East Campus",Ahmadpur East,BS,4 Years,43015,30-06-2024,Economics
The Islamia University Of Bahawalpur[sub Campus],Bahawal Nagar,BS,4 Years,43015,30-06-2025,Economics
"University Of Malakand, Women Campus, Batkhela",Batkhela,BS,4 Years,0,15-09-2025,Economics
University Of Sargodha ( Bhakkar Campus ),Bhakkar,BS,4 Years,27900,03-11-2021,Economics
"Mirpur University Of Science & Technology, Bhimber Campus",Bhimber,BS,4 Years,0,31-07-2023,Economics
