Institute,City,Degree,Duration,Fee,Deadline,Subject
University Of Science & Technology,Bannu,B.Sc.,4 Years,44300,20-09-2025,Electrical
Gomal University,D.i. Khan,B.Sc. [Engg.],4 Years,52220,31-07-2025,Electrical
Government College University,Faisalabad,B.Sc.,4 Years,63400,24-06-2025,Electrical
University Of Gujrat,Gujrat,BS,4 Years,68010,15-08-2025,Electrical
Air University,Islamabad,BS,4 Years,112050,25-07-2025,Electrical
Comsats University Islamabad,Islamabad,BE,4` Years,0,09-07-2025,Electrical
Federal Urdu University Of Arts Science & Technology Islamabad,Islamabad,B.Sc.,4 Years,93000,15-02-2007,Electrical
Institute Of Space Technology,Islamabad,BS,4 Years,147659,31-07-2025,Electrical
International Islamic University,Islamabad,BS,4 Years,99900,30-07-2025,Electrical
"National University Of Computer And Emerging Sciences, Islamabad",Islamabad,BS,4 Years,160000,04-07-2025,Electrical
National University Of Science & Technology,Islamabad,BE,4 Years,174050,25-01-2026,Electrical
National University Of Technology,Islamabad,BS,4 Years,115000,12-07-2025,Electrical
Pakistan Institute Of Engineering & Applied Sciences,Islamabad,B.Sc. [Engg.],4 Years,112000,28-03-2025,Electrical
Mehran University Of Engineering & Technology,Jamshoro,BE,4 Years,38600,18-08-2025,Electrical
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Electrical
Ned University Of Engineering & Technology,Karachi,BE,4 Years,46670,20-05-2025,Electrical
Uit University,Karachi,BE,4 Years,0,18-07-2025,Electrical
Balochistan University Of Engineering & Technology,Khuzdar,BE,4 Years,16000,17-10-2025,Electrical
Government College University Lahore,Lahore,B.Sc. [Engg.],4 Years,150000,08-08-2025,Electrical
Information Technology University,Lahore,BS,4 Years,206000,18-06-2025,Electrical
Lahore College For Women University,Lahore,BE,4 Years,55350,25-09-2025,Electrical
"University Of Engineering & Technology, Lahore",Lahore,B.Sc. [Engg.],4 Years,62427,22-03-2026,Electrical
University Of The Punjab,Lahore,B.Sc. [Engg.],4 Years,47540,25-09-2025,Electrical
The University Of Larkano,Larkana,BS,4 Years,0,24-06-2025,Electrical
"University Of Engineering & Technology ,mardan",Mardan,B.Sc. [Engg.],4 Years,48825,15-08-2025,Electrical
Mirpur University Of Science And Technology,Mir Pur (ajk),BS,4 Years,74300,15-08-2024,Electrical
