Institute,City,Degree,Duration,Fee,Deadline,Subject
The Islamia University Of Bahawalpur,Bahawal Pur,B.Sc. [Engg.],4 Years,53415,30-06-2025,Electronics
The University Of Buner,Buner,BS,4 Years,0,15-08-2025,Electronics
Fata University,Darra Adam Khail,BS,4 Years,0,16-08-2025,Electronics
Air University,Islamabad,BE,4 Years,112050,25-07-2025,Electronics
Comsats University Islamabad,Islamabad,BS,4 Years,112200,17-12-2025,Electronics
"National University Of Modern Languages, Islamabad",Islamabad,BS,4 Years,68000,04-12-2024,Electronics
Quaid-e-azam University,Islamabad,BS,4 Years,54565,29-07-2025,Electronics
Mehran University Of Engineering & Technology,Jamshoro,BE,4 Years,38600,18-08-2025,Electronics
University Of Sindh,Jamshoro,BS,4 Years,25000,17-09-2024,Electronics
Dawood University Of Engineering And Technology,Karachi,BE,4 Years,32000,15-07-2025,Electronics
Ned University Of Engineering & Technology,Karachi,BE,4 Years,46670,20-05-2025,Electronics
Shah Abdul Latif University,Khair Pur,BS,4 Years,28000,22-09-2025,Electronics
Balochistan University Of Engineering & Technology,Khuzdar,BE,4 Years,16000,17-10-2025,Electronics
Government College University Lahore,Lahore,B.Sc. [Engg.],4 Years,90000,08-08-2025,Electronics
The University Of Larkano,Larkana,BS,4 Years,0,27-08-2025,Electronics
"Quaid-e-awam University Of Engineering, Sciences & Technology",Nawab Shah,BE,4 Years,20000,31-05-2025,Electronics
University Of Okara,Okara,BS,4 Years,46000,18-07-2025,Electronics
Islamia College University,Peshawar,BS,4 Years,62000,16-09-2025,Electronics
University Of Peshawar,Peshawar,BS,4 Years,73800,23-09-2025,Electronics
Balochistan University Of It & Management Sciences,Quetta,BS,4 Years,48415,26-01-2026,Electronics
Fatima Jinnah Women University,Rawalpindi,BS,4 Years,52050,18-08-2025,Electronics
University Of Sahiwal,Sahiwal,BS,4 Years,31440,22-07-2024,Electronics
Sukkur Iba University,Sukkur,BE,4 Years,120000,07-02-2026,Electronics
"University Of Engineering &  Technology, Taxila",Taxila,B.Sc. [Engg.],4 Years,102400,22-03-2026,Electronics
University Of Chakwal,Chakwal,BS,4 Years,0,11-08-2025,Electronics
Al-khair University [ajk],Islamabad,BE,4 Years,0,01-01-1970,Electronics
Muslim Youth University,Islamabad,BS,4 Years,0,25-02-2025,Electronics
Karachi Institute Of Economics & Technology,Karachi,B.Sc.,4 Years,111300,06-01-2024,Electronics
Sir Syed University Of Engineering & Technology,Karachi,BS,4 Years,172800,19-07-2024,Electronics
Minhaj University,Lahore,BS,4 Years,0,31-10-2025,Electronics
University Of Central Punjab,Lahore,BS,4 Years,329125,10-10-2024,Electronics
Abasyn University,Peshawar,BS,4 Years,99000,17-03-2023,Electronics
Sarhad University Of Science & Information Technology,Peshawar,BS,4 Years,79000,16-05-2023,Electronics
Ghulam Ishaq Khan  Institute Of Engineering Sciences & Technology,Swabi,BS,4 Years,695000,30-05-2024,Electronics
Comsats University Islamabad ( Abbotabad Campus ),Abbottabad,BS,4 Years,121150,04-08-2025,Electronics
University Of Engineering & Technology ( Abbotabad Campus ),Abbottabad,B.Sc. [Engg.],4 Years,60000,19-08-2025,Electronics
"University Of Engineering & Technology,taxila, ( Chakwal Campus )",Chakwal,B.Sc. [Engg.],4 Years,10430,27-06-2021,Electronics
"Federal Urdu University Of Arts  Science & Technology, Karachi",Karachi,BS,4 Years,23150,10-01-2025,Electronics
"Mehran University Of Engineering And Technology ( Szab Campus, Khair Pur )",Khair Pur,BE,4 Years,120000,10-05-2025,Electronics
Comsats University Islamabad( Lahore Campus ),Lahore,BS,4 Years,121150,29-12-2025,Electronics
"Quaid-e-awam University Of Engineering, Science And Technology, Larkana Campus",Larkana,BE,4 Years,0,10-06-2023,Electronics
"National University Of Modern Languages, Rawalpindi Campus",Rawalpindi,BS,4 Years,68000,28-07-2023,Electronics
"Riphah International University, Faisalabad Campus",Faisalabad,BS,4 Years,84000,18-10-2025,Electronics
"Bahria University, H-11 Campus",Islamabad,BS,4 Years,121550,24-07-2025,Electronics
Isra University [isb]],Islamabad,AD,2 Years,76000,28-09-2021,Electronics
Isra University [isb]],Islamabad,BE,4 Years,168000,05-09-2022,Electronics
Isra University [khi],Karachi,BS,4 Years,260000,09-11-2018,Electronics
Preston University [lhr],Lahore,BIS,4 Years,0,20-06-2016,Electronics
Government Postgraduate College,Bannu,BS,4 Years,0,31-08-2013,Electronics
Government Postgraduate College,Charsadda,BS,4 Years,0,27-08-2018,Electronics
The Limit College Of Engineering & Technology,Lahore,BE,4 Years,0,30-11--0001,Electronics
The Limit College Of Engineering & Technology [okara],Okara,BE,4 Years,0,30-11--0001,Electronics
"Centre For Emerging Sciences, Engineering & Technology",Rawalpindi,BS,4 Years,0,30-11--0001,Electronics
The Limit College Of Engineering & Technology [sahiwal],Sahiwal,BE,4 Years,0,30-11--0001,Electronics
Wah Engineering College,Taxila,B.Sc. [Engg.],4 Years,0,25-07-2011,Electronics
Biztek Institute Of Business & Technology,Karachi,BS,4 Years,0,23-02-2012,Electronics
Usman Institute Of Technology,Karachi,BE,4 Years,215200,22-09-2021,Electronics
Buraq Institute Of Technology,Rawalpindi,DAE,3 Years,0,30-11--0001,Electronics
