Institute,City,Degree,Duration,Fee,Deadline,Subject
Women University Azad Jammu & Kashmir,Bagh,BS,4 Years,51660,01-09-2025,Emergency Intensive Care Sciences
"Shaheed Zulfiqar Ali Bhutto Medical University, Pims",Islamabad,BS,4 Years,0,22-10-2025,Emergency Intensive Care Sciences
Khyber Medical University,Peshawar,BS,4 Years,80000,30-10-2025,Emergency Intensive Care Sciences
University Of Peshawar,Peshawar,BS,4 Years,0,11-08-2025,Emergency Intensive Care Sciences
The University Of Faisalabad,Faisalabad,BS,4 Years,112500,30-09-2022,Emergency Intensive Care Sciences
Nur International University,Lahore,BS,4 Years,155278,18-01-2025,Emergency Intensive Care Sciences
The Superior University,Lahore,BS,4 Years,0,31-01-2026,Emergency Intensive Care Sciences
The University Of Lahore ( Main Campus ),Lahore,BS,4 Years,0,03-01-2026,Emergency Intensive Care Sciences
Gandhara University,Peshawar,BS,4 Years,0,25-10-2025,Emergency Intensive Care Sciences
Sarhad University Of Science & Information Technology,Peshawar,BS,4 Years,56500,05-12-2025,Emergency Intensive Care Sciences
Institute Of Health Sciences,Islamabad,BS,4 Years,0,11-09-2025,Emergency Intensive Care Sciences
Gulab Devi Educational Complex,Lahore,BS (HONS),4 Years,0,30-11--0001,Emergency Intensive Care Sciences
Bakhtawar Amin Medical And Dental College,Multan,BS,4 Years,0,01-01-2025,Emergency Intensive Care Sciences
Ghazali Institute Of Medical Sciences,Peshawar,BS,4 Years,0,08-09-2025,Emergency Intensive Care Sciences
Hafeez Institute Of Medical Sciences,Peshawar,BS,4 Years,0,13-12-2021,Emergency Intensive Care Sciences
Institute Of Health Care Management And Development,Peshawar,BS,4 Years,0,28-02-2024,Emergency Intensive Care Sciences
Pir Abdul Qadir Shah Jeelani Institute Of Medical Sciences,Gambat,BS,4 Years,0,07-03-2025,Emergency Intensive Care Sciences
Health Services Academy,Islamabad,BS,4 Years,0,31-01-2026,Emergency Intensive Care Sciences
Kmu Institute Of Medical Sciences,Kohat,BS,4 Years,0,18-10-2024,Emergency Intensive Care Sciences
Bashir Institute Of Health Sciences,Islamabad,BS,4 Years,0,08-03-2023,Emergency Intensive Care Sciences
Gulab Devi Post Graduate Medical Institute,Lahore,B.Sc. [Hons],4 Years,0,30-11--0001,Emergency Intensive Care Sciences
Rehman Medical Institute,Peshawar,BS,4 Years,0,13-09-2025,Emergency Intensive Care Sciences
