Institute,City,Degree,Duration,Fee,Deadline,Subject
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Food Nutrition
Gift University,Gujranwala,BS,4 Years,121000,01-02-2026,Food Nutrition
"National College Of Business Administration And Economics, Lahore",Lahore,BS,4 Years,144000,26-02-2023,Food Nutrition
Nur International University,Lahore,BS,4 Years,155278,30-09-2024,Food Nutrition
University Of South Asia,Lahore,BS,4 Years,188000,05-11-2022,Food Nutrition
"Karakuram International University, Diamer Campus",Chilas,BS,4 Years,0,28-02-2022,Food Nutrition
"Federal Government College Of Home Economics And Management Sciences,f-7/2",Islamabad,BS,4 Years,0,07-09-2025,Food Nutrition
College Of Home Economics,Peshawar,BS,4 Years,0,04-10-2021,Food Nutrition
Multan College Of Health And Nutrition Sciences,Multan,B.Sc. [Hons],4 Years,0,10-02-2020,Food Nutrition
Multan College Of Physiotherapy,Multan,B.Sc. [Hons],4 Years,0,28-11-2022,Food Nutrition
Aims Institute Of Management Sciences,Lahore,BS,4 Years,0,26-11-2016,Food Nutrition
Kaims International Institute,Multan,BS,4 Years,0,31-07-2019,Food Nutrition
Multan Institute Of Health Sciences,Multan,BS,4 Years,0,29-09-2016,Food Nutrition
The Limit Institution Of Health Sciences,Sahiwal,BS,4 Years,0,18-11-2016,Food Nutrition
