Institute,City,Degree,Duration,Fee,Deadline,Subject
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,49665,30-06-2025,Forestry
Ghazi University,D.g.khan,B.Sc. [Hons],4 Years,21300,15-08-2022,Forestry
Gomal University,D.i. Khan,BS,4 Years,46600,31-07-2025,Forestry
University Of Agriculture,Faisalabad,BS,4 Years,0,28-07-2025,Forestry
Karakuram International University,Gilgit,BS,4 Years,44100,10-08-2025,Forestry
University Of Haripur,Haripur,BS,4 Years,49259,26-01-2026,Forestry
Kohat University Of Science & Technology,Kohat,BS,4 Years,37700,15-09-2025,Forestry
University Of Loralai,Loralai,BS,4 Years,11300,18-08-2025,Forestry
Hazara University,Mansehra,BS,4 Years,38980,01-09-2025,Forestry
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,35000,18-08-2025,Forestry
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,25150,18-08-2025,Forestry
Kohsar University,Murree,BS,4 Years,0,26-02-2026,Forestry
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,BS,4 Years,0,20-08-2025,Forestry
Pir Mahar Ali Shah Arid Agriculture University,Rawalpindi,BS,4 Years,23150,08-08-2025,Forestry
Shaheed Benazir Bhutto  International University Of Veterinary And Animal Sciences,Sakrand,BS,4 Years,9300,19-12-2025,Forestry
University Of Sargodha,Sargodha,BS,4 Years,30000,15-12-2025,Forestry
University Of Swat,Swat,BS,4 Years,30900,12-10-2023,Forestry
"Shaheed Benazir Bhutto University, Sheringal",Upper Dir,BS,4 Years,30010,10-10-2025,Forestry
Mirpur University Of Science And Technology ( Pallandri Campus),Pallandri,BS,4 Years,0,15-08-2024,Forestry
Pakistan Forest Institute,Peshawar,B.Sc.,2 Years,0,17-08-2025,Forestry
