Institute,City,Degree,Duration,Fee,Deadline,Subject
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,43015,30-06-2025,Gender Studies
Quaid-e-azam University,Islamabad,BS,4 Years,54565,29-07-2025,Gender Studies
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Gender Studies
University Of Jhang,Jhang,BS,4 Years,0,29-09-2023,Gender Studies
University Of The Punjab,Lahore,BS,4 Years,29940,25-09-2025,Gender Studies
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,27150,02-01-2026,Gender Studies
University Of Peshawar,Peshawar,BS,4 Years,68400,23-09-2025,Gender Studies
Fatima Jinnah Women University,Rawalpindi,AD,2 Years,52050,18-08-2025,Gender Studies
Fatima Jinnah Women University,Rawalpindi,B.Sc.,4 Years,52050,18-08-2025,Gender Studies
University Of Management And Technology,Lahore,BS,4 Years,124750,31-07-2024,Gender Studies
Government Fatima Jinnah College For Women,Lahore,BS (HONS),4 Years,0,05-10-2020,Gender Studies
University Of Home Economics,Lahore,BS,4 Years,0,25-07-2025,Gender Studies
