Institute,City,Degree,Duration,Fee,Deadline,Subject
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,47115,30-06-2025,Geography
Government College University,Faisalabad,BA [HONS],4 Years,28200,24-06-2025,Geography
Government College Women University,Faisalabad,BS,4 Years,33100,31-07-2025,Geography
Karakuram International University,Gilgit,BS,4 Years,0,10-08-2025,Geography
University Of Gujrat,Gujrat,BS,4 Years,68010,15-08-2025,Geography
University Of Sindh,Jamshoro,BA [PASS],4 Years,15200,14-09-2025,Geography
University Of Karachi,Karachi,BS,4 Years,18500,07-11-2025,Geography
Shah Abdul Latif University,Khair Pur,BS,4 Years,13000,22-09-2025,Geography
Kohat University Of Science & Technology,Kohat,BS,4 Years,0,15-09-2025,Geography
Government College University Lahore,Lahore,B.Sc. [Hons],4 Years,52000,24-09-2023,Geography
Kinnaird College For Women,Lahore,BS,4 Years,90200,01-12-2025,Geography
Lahore College For Women University,Lahore,BS,4 Years,56050,25-09-2025,Geography
University Of The Punjab,Lahore,BS (HONS),4 Years,32940,25-09-2025,Geography
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,27150,02-01-2026,Geography
Islamia College University,Peshawar,BS,4 Years,62000,16-09-2025,Geography
Shaheed Benazir Bhutto Women University,Peshawar,BS,4 Years,29513,28-09-2025,Geography
University Of Peshawar,Peshawar,BS,4 Years,71000,23-09-2025,Geography
University Of Balochistan,Quetta,BS,4 Years,32000,11-08-2025,Geography
University Of Sargodha,Sargodha,BS,4 Years,30000,15-12-2025,Geography
Forman Christian College,Lahore,B.Sc. [Hons],4 Years,358200,30-11-2025,Geography
Lahore Garrison University,Lahore,BS,4 Years,174635,30-11--0001,Geography
"Government College University Lahore, Kala Shah Kaku Campus",Kala Shah Kaku,BS,4 Years,0,11-12-2025,Geography
"Federal Urdu University Of Arts  Science & Technology, Karachi",Karachi,BA [HONS],4 Years,22250,29-11-2024,Geography
"Federal Urdu University Of Arts  Science & Technology, Karachi",Karachi,B.Sc. [Hons],4 Years,22250,29-11-2024,Geography
Government S E College,Bahawal Pur,BS,4 Years,0,26-09-2014,Geography
Government Post Graduate College [samanabad],Faisalabad,BS,4 Years,0,23-09-2023,Geography
Government Post Graduate College,Jhang,BS (HONS),4 Years,0,30-09-2025,Geography
Government College Of Science[wahdat Road],Lahore,BS,4 Years,0,14-09-2024,Geography
Government College For Boys,Peshawar,BS,4 Years,0,30-08-2017,Geography
Government College Peshawar,Peshawar,BS,4 Years,0,31-08-2019,Geography
Government College [quet],Quetta,BS,4 Years,0,05-04-2025,Geography
Government Post Graduate College[asghar Mall ],Rawalpindi,BS,4 Years,0,17-08-2025,Geography
Government Post Graduate College,Sahiwal,BS,4 Years,0,30-11--0001,Geography
Government Post Graduate College,Swabi,BS,4 Years,0,05-09-2015,Geography
"Iqra Degree College, Havelian",Havelian,AD,2 Years,0,04-12-2021,Geography
