Institute,City,Degree,Duration,Fee,Deadline,Subject
Abbottabad University Of Science And Technology,Abbottabad,B.Sc.,4 Years,27500,26-08-2025,History
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,43015,30-06-2025,History
Ghazi University,D.g.khan,BS,4 Years,21300,04-07-2025,History
Gomal University,D.i. Khan,BS,4 Years,0,09-01-2026,History
Gomal University,D.i. Khan,AD,2 Years,0,09-01-2026,History
Government College University,Faisalabad,BS,4 Years,24300,12-01-2026,History
University Of Gujrat,Gujrat,BS,4 Years,66590,15-08-2025,History
University Of Haripur,Haripur,BS,4 Years,18648,26-01-2026,History
Allama Iqbal Open University,Islamabad,BS,4 Years,13750,10-02-2026,History
International Islamic University,Islamabad,BS (HONS),4 Years,50400,31-12-2025,History
"National University Of Modern Languages, Islamabad",Islamabad,BS,4 Years,48610,12-12-2022,History
Quaid-e-azam University,Islamabad,BS,4 Years,54565,29-07-2025,History
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,History
University Of Karachi,Karachi,BA [HONS],4 Years,15000,28-11-2025,History
Government College University Lahore,Lahore,BA [HONS],4 Years,48000,24-09-2023,History
Lahore College For Women University,Lahore,BS,4 Years,46790,25-09-2025,History
University Of Education,Lahore,BS,4 Years,20214,02-09-2025,History
University Of The Punjab,Lahore,BS,4 Years,29940,25-09-2025,History
Hazara University,Mansehra,BS,4 Years,38980,01-09-2025,History
University Of Mianwali,Mianwali,BS,4 Years,0,31-10-2022,History
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,20150,15-09-2025,History
The Women University,Multan,BS,4 Years,24250,07-01-2025,History
University Of Azad Jammu & Kashmir,Muzaffarabad,BS,4 Years,0,08-08-2025,History
Shaheed Benazir Bhutto Women University,Peshawar,BS,4 Years,29513,28-09-2025,History
University Of Peshawar,Peshawar,BS,4 Years,71000,23-09-2025,History
University Of Balochistan,Quetta,BS,4 Years,32000,11-08-2025,History
University Of Sargodha,Sargodha,BS,4 Years,30000,15-12-2025,History
"Aror University Of Art, Architecture, Design And Heritage",Sukkur,BS,4 Years,54000,14-01-2026,History
Forman Christian College,Lahore,BA [HONS],4 Years,358200,30-11-2025,History
Lahore University Of Management Sciences,Lahore,B.Sc. [Hons],4 Years,680400,10-03-2026,History
Minhaj University,Lahore,BS,4 Years,93750,31-10-2025,History
"Government College University Lahore, Kala Shah Kaku Campus",Kala Shah Kaku,BS,4 Years,0,11-12-2025,History
University Of Gujrat (lahore Campus),Lahore,BS,4 Years,0,25-08-2018,History
"Shaheed Benazir Bhutto Women University Peshawar, Sub Campus",Swabi,BS,4 Years,0,10-10-2013,History
Government Postgraduate College,Charsadda,BS,4 Years,0,27-08-2018,History
Government Post Graduate College [samanabad],Faisalabad,BS,4 Years,0,23-09-2023,History
"Islamabad College For Boys, G-6/3",Islamabad,AD,2 Years,0,30-08-2024,History
Government Post Graduate College,Jhang,BS,4 Years,0,30-09-2025,History
Apwa Degree College For Women[jail Road],Lahore,AD,2 Years,0,02-10-2024,History
Government College [baghbanpura],Lahore,BS,4 Years,0,05-11-2022,History
Government Islamia College [civil Lines],Lahore,BS,4 Years,0,25-09-2023,History
Government College For Women [katchery],Multan,BS,4 Years,0,30-11--0001,History
Government College [quet],Quetta,BS,4 Years,0,05-04-2025,History
Government Postgraduate College For Women[satellite Town],Rawalpindi,BS,4 Years,0,30-11--0001,History
Government Ambala Muslim College,Sargodha,BS,4 Years,0,30-11--0001,History
Government Post Graduate College For Women [chandni Chowk],Sargodha,BS,4 Years,0,30-11--0001,History
Government Post Graduate College,Swabi,BS,4 Years,0,05-09-2015,History
Government Degree College,Timergara,BS,4 Years,0,08-10-2021,History
