Institute,City,Degree,Duration,Fee,Deadline,Subject
Abbottabad University Of Science And Technology,Abbottabad,B.Sc.,4 Years,27500,26-08-2025,Home Economics
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,43015,30-06-2025,Home Economics
Kalam Bibi International Women Institute,Bannu,BS,4 Years,0,18-09-2025,Home Economics
"Bahauddin Zakria University,multan[d.g.khan Campus]",D.g.khan,BS,4 Years,0,26-01-2015,Home Economics
Gomal University,D.i. Khan,BS,4 Years,40000,31-07-2025,Home Economics
Fata University,Darra Adam Khail,BS,4 Years,22000,02-10-2024,Home Economics
Government College University,Faisalabad,BS,4 Years,28200,12-01-2026,Home Economics
Government College Women University,Faisalabad,BS,4 Years,30200,31-07-2025,Home Economics
University Of Agriculture,Faisalabad,B.Sc.,2 Years,46200,28-07-2025,Home Economics
Lahore College For Women University,Lahore,BS,4 Years,56050,25-09-2025,Home Economics
Mirpur University Of Science And Technology,Mir Pur (ajk),BS,4 Years,39250,15-08-2024,Home Economics
Muhammad Nawaz Sharif University Of Agriculture,Multan,BS,4 Years,25200,29-09-2025,Home Economics
Shaheed Benazir Bhutto Women University,Peshawar,BS,4 Years,29513,20-09-2024,Home Economics
University Of Peshawar,Peshawar,BS,4 Years,71000,23-09-2025,Home Economics
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,BS,4 Years,0,20-08-2025,Home Economics
University Of Sargodha,Sargodha,BS,4 Years,74220,15-12-2025,Home Economics
Gift University,Gujranwala,AD,2 Years,121000,01-02-2026,Home Economics
Gift University,Gujranwala,BS,4 Years,121000,01-02-2026,Home Economics
Lahore Garrison University,Lahore,BS,4 Years,174635,30-11--0001,Home Economics
"University Of Science And Technology, Women Campus",Bannu,BS,4 Years,32800,10-09-2021,Home Economics
"Shaheed Benazir Bhutto Women University Peshawar, Sub Campus",Swabi,BS,4 Years,0,02-09-2014,Home Economics
University Of Swat ( Women Campus ),Swat,BS,4 Years,19730,12-10-2023,Home Economics
"Riphah International University, Faisalabad Campus",Faisalabad,BS,4 Years,100000,18-10-2025,Home Economics
Government College For Women [madina Town],Faisalabad,BS,4 Years,0,30-11--0001,Home Economics
Government Home Economics College,Gujranwala,BS (HONS),4 Years,0,19-10-2025,Home Economics
Government Dr. I.h. Zuberi Girls College Of Home Economics,Hyderabad,B.Sc.,2 Years,0,01-01-1970,Home Economics
"Federal Government College Of Home Economics And Management Sciences,f-7/2",Islamabad,BS,4 Years,0,07-09-2025,Home Economics
Government College For Women[korangi No.4],Karachi,B.Sc.,2 Years,0,01-01-1970,Home Economics
Rana Liaquat Ali Khan Government College,Karachi,BS,4 Years,0,31-12-2025,Home Economics
Government Degree College For Women,Khair Pur,B.Sc.,2 Years,0,01-01-1970,Home Economics
Government College For Women [gulberg],Lahore,BS,4 Years,0,15-05-2024,Home Economics
Government College For Women[gulberg],Lahore,BS,4 Years,0,28-10-2022,Home Economics
Government Post Graduate College For Women [samanabad],Lahore,BS (HONS),4 Years,0,28-10-2021,Home Economics
Government Queen Marry College,Lahore,BS,4 Years,0,15-07-2024,Home Economics
University Of Home Economics,Lahore,BS,4 Hours,0,25-07-2025,Home Economics
Government College For Women [katchery],Multan,BS,4 Years,0,30-11--0001,Home Economics
Government Home Economics College Nowshera,Nowshera,BS,4 Years,0,02-09-2019,Home Economics
College Of Home Economics,Peshawar,B.Sc.,2 Years,0,22-08-2019,Home Economics
Nisa Girls College,Sialkot,B.Sc.,2 Years,0,08-01-2022,Home Economics
