Institute,City,Degree,Duration,Fee,Deadline,Subject
Abbottabad University Of Science And Technology,Abbottabad,BS,2 Hours,0,26-08-2025,Human Diet Nutrition
Cholistan University Of  Veterinary & Animal Sciences,Bahawal Pur,BS,4 Years,37500,15-08-2024,Human Diet Nutrition
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,49665,30-06-2025,Human Diet Nutrition
Bacha Khan University,Charsadda,BS,4 Years,37000,22-09-2025,Human Diet Nutrition
Ghazi University,D.g.khan,BS,4 Years,21300,15-08-2023,Human Diet Nutrition
Gomal University,D.i. Khan,BS,4 Years,0,31-07-2025,Human Diet Nutrition
Government College University,Faisalabad,BS,4 Years,36800,24-06-2025,Human Diet Nutrition
Karakuram International University,Gilgit,BS,4 Years,41900,10-08-2025,Human Diet Nutrition
University Of Gujrat,Gujrat,BS,4 Years,0,15-08-2025,Human Diet Nutrition
University Of Haripur,Haripur,BS,4 Years,49929,26-01-2026,Human Diet Nutrition
Allama Iqbal Open University,Islamabad,BCS,4 Years,43950,10-02-2026,Human Diet Nutrition
National University Of Science & Technology,Islamabad,BSC (AGRI.) HON,4 Years,174050,15-01-2026,Human Diet Nutrition
University Of Karachi,Karachi,BS,4 Years,25500,10-10-2025,Human Diet Nutrition
Kohat University Of Science & Technology,Kohat,BS,4 Years,39700,15-09-2025,Human Diet Nutrition
University Of Loralai,Loralai,BS,4 Years,11300,12-08-2024,Human Diet Nutrition
Women University Mardan,Mardan,BS,4 Years,41400,10-09-2025,Human Diet Nutrition
Mirpur University Of Science And Technology,Mir Pur (ajk),BS,4 Years,0,15-08-2024,Human Diet Nutrition
"Bahauddin Zakariya University, Multan",Multan,B.Sc. [Hons],4 Years,27150,18-08-2025,Human Diet Nutrition
Muhammad Nawaz Sharif University Of Agriculture,Multan,B.Sc. [Hons],4 Years,40000,30-11--0001,Human Diet Nutrition
Multan University Of Science And Technology,Multan,BS,4 Years,0,24-01-2025,Human Diet Nutrition
University Of Okara,Okara,BS,4 Years,46000,18-07-2025,Human Diet Nutrition
Shaheed Benazir Bhutto Women University,Peshawar,BS,4 Years,29513,31-01-2025,Human Diet Nutrition
The University Of Agriculture,Peshawar,BS,4 Years,47000,09-01-2026,Human Diet Nutrition
University Of Peshawar,Peshawar,BS,4 Years,0,23-09-2025,Human Diet Nutrition
Bolan University Of Medical & Health Sciences,Quetta,BS,4 Years,0,20-01-2026,Human Diet Nutrition
Sardar Bahadur Khan Women University,Quetta,BS,4 Years,8040,26-08-2024,Human Diet Nutrition
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,BS,4 Years,40250,05-01-2026,Human Diet Nutrition
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,BS,4 Years,0,20-08-2025,Human Diet Nutrition
Fatima Jinnah Women University,Rawalpindi,BS,4 Years,52050,18-08-2025,Human Diet Nutrition
University Of Sargodha,Sargodha,BS,4 Years,35000,15-12-2025,Human Diet Nutrition
University Of Sialkot,Sialkot,DND,5 Years,160000,01-03-2025,Human Diet Nutrition
Sindh Agriculture University,Tando Jam,BS,4 Years,25000,30-09-2025,Human Diet Nutrition
University Of Chakwal,Chakwal,BS,4 Years,0,11-08-2025,Human Diet Nutrition
Ibadat International University Islamabad,Islamabad,BS,4 Years,90700,10-09-2023,Human Diet Nutrition
Muslim Youth University,Islamabad,BS,4 Years,0,29-10-2025,Human Diet Nutrition
Riphah International University,Islamabad,BS,2 Years,114000,30-07-2025,Human Diet Nutrition
Hamdard University,Karachi,BS,4 Years,84700,15-03-2025,Human Diet Nutrition
Jinnah University For Women,Karachi,BS,4 Years,65000,15-10-2025,Human Diet Nutrition
Sohail University,Karachi,BS,4 Years,0,17-10-2024,Human Diet Nutrition
Zia-ud-din Medical University,Karachi,BS,4 Years,172800,26-08-2025,Human Diet Nutrition
Lahore Leads University,Lahore,BS,4 Years,0,04-09-2025,Human Diet Nutrition
Lahore University Of Biological & Applied Sciences,Lahore,BS,4 Years,0,31-01-2026,Human Diet Nutrition
Minhaj University,Lahore,BS,4 Years,0,18-05-2024,Human Diet Nutrition
Qarshi University (lhr),Lahore,BS,4 Years,0,12-07-2025,Human Diet Nutrition
Rashid Latif Khan University,Lahore,BS,4 Years,0,25-10-2025,Human Diet Nutrition
The Superior University,Lahore,BS,4 Years,169800,31-01-2026,Human Diet Nutrition
University Of Central Punjab,Lahore,BS,4 Years,160000,10-10-2024,Human Diet Nutrition
University Of Management And Technology,Lahore,BS,4 Years,0,24-10-2024,Human Diet Nutrition
National University Of Medical Sciences,Rawalpindi,BS,4 Years,300000,16-01-2026,Human Diet Nutrition
Grand Asian University Sialkot,Sialkot,BS,4 Years,0,21-09-2024,Human Diet Nutrition
"Pir Mehr Ali Shah Arid Agriculture University Rawalpindi, Sub Campus",Attock,BS,4 Years,0,08-08-2025,Human Diet Nutrition
"University Of Agriculture Faisalabad, Sub Campu",Burewala,BS,4 Years,0,28-07-2025,Human Diet Nutrition
Government College University Faisalabad (layyah Campus),Layyah,BS,4 Years,0,04-09-2023,Human Diet Nutrition
The Islamic University Of Bahawalpur[rahimyar Khan Campus],Rahim Yar Khan,BS,4 Years,49665,25-12-2023,Human Diet Nutrition
"Government College University Faisalabad, Sahiwal Campus",Sahiwal,BS,4 Years,0,04-09-2023,Human Diet Nutrition
"The University Of Agriculture, Swat",Swat,BS,4 Years,0,19-01-2026,Human Diet Nutrition
University Of Agriculture Faisal Abad[toba Tek Singh Campus],Toba Tek Singh,BS,4 Years,0,28-07-2025,Human Diet Nutrition
"Riphah International University, Faisalabad Campus",Faisalabad,BS,4 Years,114000,18-10-2025,Human Diet Nutrition
Abasyn University (sub Campus),Islamabad,BS,4 Years,0,14-12-2024,Human Diet Nutrition
Hamdard University - Islamabad Campus,Islamabad,BS,4 Years,0,15-07-2023,Human Diet Nutrition
"Iqra University, Chak Shahzad Campus",Islamabad,BS,4 Years,121890,29-02-2024,Human Diet Nutrition
Riphah International University Lahore,Lahore,BS,4 Years,0,25-01-2026,Human Diet Nutrition
"The University Of Lahore, Sub Campus",Sargodha,BS,4 Years,0,08-02-2025,Human Diet Nutrition
"Pak- Austria Fachhuochschule, Institute Of Applied Sciences And Technology",Haripur,BS,4 Years,0,03-01-2025,Human Diet Nutrition
Institute Of Health Sciences,Islamabad,BS,4 Years,0,11-09-2025,Human Diet Nutrition
University Of Home Economics,Lahore,BS,4 Years,0,25-07-2025,Human Diet Nutrition
Sutlej College Of Allied Health Sciences,Bahawal Pur,BS,4 Years,0,22-01-2021,Human Diet Nutrition
Layallpur Institute Of Management & Sciences ( Lims ),Faisalabad,BS,4 Years,0,14-10-2017,Human Diet Nutrition
Ahmed College Of Pharmacy & Institute Of Allied Medical Sciences,Gujranwala,BS,4 Years,0,05-10-2018,Human Diet Nutrition
Royal Gorup Of Colleges,Gujranwala,BS,4 Years,0,27-10-2018,Human Diet Nutrition
Allied College Of Health Sciences,Khanewal,BS,4 Years,0,30-09-2021,Human Diet Nutrition
A C E Institute Of Medical And Emerging Sciences,Lahore,BS,4 Years,0,02-11-2024,Human Diet Nutrition
Gulab Devi Educational Complex,Lahore,BS,4 Years,0,30-11--0001,Human Diet Nutrition
Hussain College Of Health Sciences,Lahore,BS,4 Years,0,31-08-2025,Human Diet Nutrition
Informatics Group Of Colleges,Lahore,BS,4 Years,0,31-07-2024,Human Diet Nutrition
Yashfeen College Of Pharmacy,Lahore,BS,4 Years,0,05-10-2024,Human Diet Nutrition
Dr Yahya Institute Of Medical Sciences,Layyah,BS,4 Years,0,15-12-2021,Human Diet Nutrition
Allied College Of Health Sciences,Multan,BS,4 Years,0,26-11-2022,Human Diet Nutrition
Islamic International Institute Of Sciences,Multan,BS,4 Years,0,29-11-2018,Human Diet Nutrition
Center Of Advanced Studies In Health & Technology,Rawalpindi,BS,4 Years,0,05-10-2023,Human Diet Nutrition
Comand College,Sahiwal,BS,4 Years,0,03-10-2019,Human Diet Nutrition
Pir Abdul Qadir Shah Jeelani Institute Of Medical Sciences,Gambat,BS,4 Years,0,07-03-2025,Human Diet Nutrition
Health Services Academy,Islamabad,BS,4 Years,0,31-01-2026,Human Diet Nutrition
The Childrens Hospital & The Institute Of Child Health,Lahore,BS,4 Years,0,29-11-2024,Human Diet Nutrition
Barani Institute Of Management Sciences,Rawalpindi,BS,4 Years,0,31-01-2026,Human Diet Nutrition
Faisal Institute Of Health Sciences,Faisalabad,BS,4 Years,0,25-10-2025,Human Diet Nutrition
"International Institute Of Science, Arts And Technology",Gujranwala,BS,4 Years,0,05-10-2025,Human Diet Nutrition
Abu Zafar Institute Of Medical Sciences,Karachi,BS,4 Years,0,31-12-2018,Human Diet Nutrition
Afro-asian Institute,Lahore,DND,4 Years,0,10-08-2023,Human Diet Nutrition
Gulab Devi Post Graduate Medical Institute,Lahore,BS,4 Years,0,30-11--0001,Human Diet Nutrition
Johar Institute Of Professional Studies,Lahore,BS,4 Years,0,15-11-2024,Human Diet Nutrition
Punjab Institute Of Professional Studies,Lahore,BS,4 Years,0,13-03-2021,Human Diet Nutrition
Laeeque Rafique Institute Of Medical Sciences & Nursing School,Multan,BS,4 Years,0,30-11-2021,Human Diet Nutrition
Royal Institute Of Medical Sciences,Multan,BS,4 Years,0,10-12-2022,Human Diet Nutrition
Sargodha Institute Of Health Sciences,Sargodha,BS,4 Years,0,27-10-2018,Human Diet Nutrition
Times Institute,Multan,BS,4 Years,60000,18-08-2025,Human Diet Nutrition
