Institute,City,Degree,Duration,Fee,Deadline,Subject
Government Degree College Of Special Education,Bahawal Pur,BA [PASS],2 Years,0,03-10-2022,Humanities
Govt Shalimar College,Lahore,BA [PASS],2 Years,0,20-09-2012,Humanities
Government College For Women [shah Rukh-e-alam],Multan,BA [PASS],2 Years,0,26-09-2018,Humanities
F.g Degree College For Women [abid Majeed Raod],Rawalpindi,BA [PASS],2 Years,0,03-10-2023,Humanities
Al-haram College Of Education,Faisalabad,BA [PASS],2 Years,0,30-11--0001,Humanities
Defence Authority Degree College For Women,Karachi,BA [PASS],2 Years,0,31-12-2016,Humanities
Jauhar Degree College,Karachi,BA [PASS],2 Years,0,30-11--0001,Humanities
Ashrafia Girls College,Lahore,BA [PASS],2 Years,0,01-08-2022,Humanities
"Garrison Post Graduate College For Women,lahore Cantt",Lahore,BA [PASS],2 Years,0,24-09-2011,Humanities
Jinnah Islamia College Of Commerce,Lahore,BA [PASS],2 Years,0,31-10-2018,Humanities
Leads College Of Commerce,Lahore,B.COM,2 Years,0,30-11--0001,Humanities
Standard College,Lahore,BA [PASS],2 Years,0,02-09-2016,Humanities
The Lahore Institute Of Management & Information Technology,Lahore,BA [PASS],2 Years,0,30-11--0001,Humanities
The Lahore Institute Of Management & Information Technology [multan],Multan,BA [PASS],2 Years,0,30-11--0001,Humanities
The Lahore Institute Of Management & Information Technology [okara],Okara,BA [PASS],2 Years,0,30-11--0001,Humanities
Quaid-e-azam Degree College,Peshawar,BA [PASS],2 Years,0,02-09-2017,Humanities
"Askaria College, Boys Wing",Rawalpindi,BA [PASS],2 Years,0,25-08-2017,Humanities
College Of Global Technologies,Rawalpindi,BA [PASS],2 Years,0,28-02-2013,Humanities
Jinnah Islamia Group Of Colleges,Rawalpindi,B.COM,2 Years,0,30-11--0001,Humanities
The Lahore Institute Of Management & Information Technology [sahiwal],Sahiwal,BA [PASS],2 Years,0,30-11--0001,Humanities
Nisa Girls College,Sialkot,BA [PASS],2 Years,0,08-01-2022,Humanities
Jinnah Muslim Law College,Islamabad,BA [PASS],2 Years,0,13-08-2016,Humanities
Central College [lhr],Lahore,B.Sc. [Hons],2 Years,0,27-09-2014,Humanities
Ibl Group Of Colleges [sgd],Sargodha,BA [PASS],2 u,0,30-11--0001,Humanities
