Institute,City,Degree,Duration,Fee,Deadline,Subject
Abbottabad University Of Science And Technology,Abbottabad,BS,4 Years,27500,26-08-2025,International Relations
Women University Azad Jammu & Kashmir,Bagh,BS,4 Years,36260,01-09-2025,International Relations
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,43015,30-06-2025,International Relations
Thal University,Bhakkar,BS,4 Years,30000,10-01-2025,International Relations
Ghazi University,D.g.khan,BS,4 Years,21300,04-07-2025,International Relations
Gomal University,D.i. Khan,BS,4 Years,0,09-01-2026,International Relations
Government College University,Faisalabad,BS,4 Years,24300,24-06-2025,International Relations
Government College Women University,Faisalabad,BS,4 Years,30200,31-07-2025,International Relations
Karakuram International University,Gilgit,BS,4 Years,33400,10-08-2025,International Relations
University Of Gujrat,Gujrat,BS,4 Years,66590,15-08-2025,International Relations
University Of Haripur,Haripur,BS,4 Years,18648,26-01-2026,International Relations
Allama Iqbal Open University,Islamabad,BS,4 Years,13750,10-02-2026,International Relations
"Bahria University, E-8 Campus",Islamabad,BS,4 Years,123520,18-12-2025,International Relations
Comsats University Islamabad,Islamabad,BS,4 Years,112200,17-12-2025,International Relations
Federal Urdu University Of Arts Science & Technology Islamabad,Islamabad,BS,4 Years,50000,30-01-2026,International Relations
Federal Urdu University Of Arts Science & Technology Islamabad,Islamabad,AD,2 Years,50000,30-01-2026,International Relations
International Islamic University,Islamabad,BS,4 Years,50400,31-12-2025,International Relations
National Defence University,Islamabad,BS,4 Years,88507,31-12-2025,International Relations
"National University Of Modern Languages, Islamabad",Islamabad,BS,4 Years,84580,09-12-2025,International Relations
Quaid-e-azam University,Islamabad,BS,4 Years,56355,29-07-2025,International Relations
University Of Sindh,Jamshoro,BS,4 Years,152000,14-09-2025,International Relations
"Benazir Bhutto Shaheed University, Lyari",Karachi,BS,4 Years,24600,17-11-2025,International Relations
University Of Karachi,Karachi,BS,4 Years,16500,28-11-2025,International Relations
Shah Abdul Latif University,Khair Pur,BA [HONS],4 Years,14000,22-09-2025,International Relations
