Institute,City,Degree,Duration,Fee,Deadline,Subject
The Islamia University Of Bahawalpur,Bahawal Pur,LLB,5 Years,43015,15-10-2025,Law
University Of Malakand,Chakdara,LLB,4 Years,14000,15-09-2025,Law
"Bahauddin Zakria University,multan[d.g.khan Campus]",D.g.khan,LLB,3 Years,22460,31-01-2015,Law
Gomal University,D.i. Khan,LLB,3 Years,43000,31-07-2025,Law
Government College University,Faisalabad,LLB [HONS],5 Years,36600,24-06-2025,Law
University Of Gujrat,Gujrat,LLB [HONS],5 Years,66590,15-08-2025,Law
The University Of Sufism  And Modern Sciences,Hala,BS,5 Years,23000,10-07-2023,Law
University Of Haripur,Haripur,LLB,5 Years,59434,26-01-2026,Law
"Bahria University, E-8 Campus",Islamabad,LLB,5 Years,127075,18-12-2025,Law
International Islamic University,Islamabad,LLB,5 Years,88900,31-12-2025,Law
National University Of Science & Technology,Islamabad,LLB [HONS],5 Years,253080,25-01-2026,Law
Quaid-e-azam University,Islamabad,LLB,5 Years,56355,29-07-2025,Law
University Of Sindh,Jamshoro,LLB [HONS],5 Years,40000,14-09-2025,Law
"Shaheed Zulfiqar Ali Bhutto, University Of Law, Clifton",Karachi,LLB [HONS],5 Years,40000,20-08-2025,Law
University Of Karachi,Karachi,LLB,5 Years,44000,07-11-2025,Law
University Of Karachi,Karachi,LLB,3 Years,44000,07-11-2025,Law
Shah Abdul Latif University,Khair Pur,LLB,5 Years,49080,22-09-2025,Law
Kohat University Of Science & Technology,Kohat,BS,4 Years,36500,15-09-2025,Law
The University Of Management Sciences & Information Technology,Kotli,LLB,5 Years,0,10-09-2016,Law
University Of Kotli,Kotli,BS,5 Years,0,15-08-2025,Law
Government College University Lahore,Lahore,BS,4 Years,0,02-10-2025,Law
Kinnaird College For Women,Lahore,LLB,5 Years,116100,04-07-2025,Law
University Of The Punjab,Lahore,LLB [HONS],5 Years,47540,18-08-2025,Law
University Of Loralai,Loralai,LLB,5 Years,11300,18-08-2025,Law
Punjab University Of Technology  [ Rasul],Mandi Baha-ud-din,LLB,5 Years,0,25-09-2025,Law
Hazara University,Mansehra,LLB,5 Years,69211,01-09-2025,Law
"Abdul Wali Khan University, Mardan",Mardan,LLB [HONS],5 Years,75000,18-08-2025,Law
Mirpur University Of Science And Technology,Mir Pur (ajk),LLB,5 Years,36250,15-08-2024,Law
"Bahauddin Zakariya University, Multan",Multan,LLB,5 Years,27150,18-08-2025,Law
Multan University Of Science And Technology,Multan,BS,5 Years,0,24-01-2026,Law
University Of Azad Jammu & Kashmir,Muzaffarabad,BS,5 Years,0,08-08-2025,Law
"Shaheed Benazir Bhutto University, Nawab Shah",Nawab Shah,LLB,5 Years,18000,06-10-2025,Law
University Of Okara,Okara,LLB [HONS],5 Years,54000,18-07-2025,Law
Islamia College University,Peshawar,LLB [HONS],5 Years,62000,16-09-2025,Law
Shaheed Benazir Bhutto Women University,Peshawar,LLB,4 Years,29513,28-09-2025,Law
University Of Peshawar,Peshawar,LLB,5 Years,84400,11-08-2025,Law
Balochistan University Of It & Management Sciences,Quetta,LLB,5 Years,48415,20-08-2025,Law
University Of Balochistan,Quetta,LLB,5 Years,36000,31-01-2024,Law
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,LLB [HONS],5 Years,40250,20-06-2025,Law
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,LLB,5 Years,0,20-08-2025,Law
Fatima Jinnah Women University,Rawalpindi,LLB,5 Years,52050,15-08-2024,Law
