Institute,City,Degree,Duration,Fee,Deadline,Subject
University Of Chitral,Chitral,BS,4 Years,0,30-10-2023,Management Sciences
Ned University Of Engineering & Technology,Karachi,BS,4 Years,46670,20-05-2025,Management Sciences
Multan University Of Science And Technology,Multan,BS,4 Years,0,16-11-2024,Management Sciences
"Shaheed Benazir Bhutto University, Sheringal",Upper Dir,BS,4 Years,30010,10-10-2025,Management Sciences
Karachi Institute Of Economics & Technology,Karachi,AD,2 Years,93450,06-01-2024,Management Sciences
Lahore University Of Management Sciences,Lahore,B.Sc. [Hons],4 Years,680400,10-03-2026,Management Sciences
Ghulam Ishaq Khan  Institute Of Engineering Sciences & Technology,Swabi,BS,4 Years,630000,30-05-2024,Management Sciences
"Riphah International University, Faisalabad Campus",Faisalabad,BS,4 Years,112000,18-10-2025,Management Sciences
National College Of Business Administration & Economics (west Canal Campus),Lahore,CERT,4 Years,0,04-10-2024,Management Sciences
Brains Institute,Peshawar,BS,4 Years,0,30-08-2024,Management Sciences
