Institute,City,Degree,Duration,Fee,Deadline,Subject
Abbottabad University Of Science And Technology,Abbottabad,BS,4 Years,27500,26-08-2025,Mathematics
Women University Azad Jammu & Kashmir,Bagh,BS,4 Years,43110,01-09-2025,Mathematics
The Government Sadiq College Women University,Bahawal Pur,AD,2 Years,0,30-08-2024,Mathematics
The Government Sadiq College Women University,Bahawal Pur,BS,4 Years,29540,28-01-2026,Mathematics
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,45565,30-06-2025,Mathematics
University Of Science & Technology,Bannu,BS (HONS),4 Years,16400,20-09-2025,Mathematics
Thal University,Bhakkar,BS,4 Years,30000,10-01-2025,Mathematics
The University Of Buner,Buner,BS,4 Years,0,15-08-2025,Mathematics
University Of Malakand,Chakdara,BS (HONS),4 Years,20000,15-09-2025,Mathematics
Bacha Khan University,Charsadda,BS,4 Years,37000,22-09-2025,Mathematics
University Of Chitral,Chitral,BS,4 Years,0,30-10-2023,Mathematics
Ghazi University,D.g.khan,BS,4 Years,21300,04-07-2025,Mathematics
University Of Education [ D.g. Khan Campus ],D.g.khan,BS,4 Years,20214,02-09-2025,Mathematics
Gomal University,D.i. Khan,B.Sc. [Hons],4 Years,40000,09-01-2026,Mathematics
Gomal University,D.i. Khan,AD,2 Years,0,09-01-2026,Mathematics
Fata University,Darra Adam Khail,BS,4 Years,22000,16-08-2025,Mathematics
Government College University,Faisalabad,BS,4 Years,28200,12-01-2026,Mathematics
Government College Women University,Faisalabad,BS,4 Years,33100,31-07-2025,Mathematics
University Of Agriculture,Faisalabad,BS,4 Years,0,28-07-2025,Mathematics
University Of Education [ Faisalabad Campus ],Faisalabad,BS,4 Years,20214,02-09-2025,Mathematics
Karakuram International University,Gilgit,BS,4 Years,33400,10-08-2025,Mathematics
University Of Gujrat,Gujrat,BS,4 Years,68010,15-08-2025,Mathematics
University Of Haripur,Haripur,BS,4 Years,20109,26-01-2026,Mathematics
Hazara University [havellian Campus],Havelian,BS,4 Years,0,23-02-2015,Mathematics
Government College University Hyderabad,Hyderabad,BS,4 Years,20000,15-09-2025,Mathematics
Allama Iqbal Open University,Islamabad,BS,4 Years,40450,10-02-2026,Mathematics
Comsats University Islamabad,Islamabad,BS,4 Years,112200,17-12-2025,Mathematics
Federal Urdu University Of Arts Science & Technology Islamabad,Islamabad,BS,4 Years,70000,30-01-2026,Mathematics
Institute Of Space Technology,Islamabad,BS,4 Years,83105,31-07-2025,Mathematics
International Islamic University,Islamabad,BS,4 Years,50400,31-12-2025,Mathematics
National Skills University,Islamabad,BS,4 Years,40600,03-10-2022,Mathematics
"National University Of Modern Languages, Islamabad",Islamabad,BS,4 Years,62000,09-12-2025,Mathematics
National University Of Science & Technology,Islamabad,BS,4 Years,174050,25-01-2026,Mathematics
Quaid-e-azam University,Islamabad,BS,4 Years,54565,29-07-2025,Mathematics
Mehran University Of Engineering & Technology,Jamshoro,BS,4 Years,38600,10-05-2025,Mathematics
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Mathematics
University Of Jhang,Jhang,BS,4 Years,0,15-09-2025,Mathematics
"Benazir Bhutto Shaheed University, Lyari",Karachi,BS,4 Years,28100,03-02-2023,Mathematics
Institute Of Business Administration [khi],Karachi,BS,4 Years,199500,11-06-2025,Mathematics
Sindh Madressatul Islam University,Karachi,BS,4 Years,36500,01-12-2025,Mathematics
University Of Karachi,Karachi,BS,4 Years,18500,28-11-2025,Mathematics
Khushal Khan Khattak University,Karak,BS,4 Years,34000,19-01-2026,Mathematics
Shah Abdul Latif University,Khair Pur,B.Sc. [Hons],4 Years,27000,22-09-2025,Mathematics
Kohat University Of Science & Technology,Kohat,BS,4 Years,24100,15-09-2025,Mathematics
The University Of Management Sciences & Information Technology,Kotli,BS,4 Years,0,10-09-2016,Mathematics
University Of Kotli,Kotli,BS,4 Years,0,15-08-2025,Mathematics
Government College University Lahore,Lahore,B.Sc. [Hons],4 Years,52000,24-09-2023,Mathematics
Kinnaird College For Women,Lahore,BS,4 Years,88200,01-12-2025,Mathematics
Lahore College For Women University,Lahore,BS,4 Years,46790,25-09-2025,Mathematics
University Of Education,Lahore,BS.ED.,4 Years,20214,02-09-2025,Mathematics
"University Of Engineering & Technology, Lahore",Lahore,BS,4 Years,62427,22-03-2026,Mathematics
University Of The Punjab,Lahore,BS,4 Years,41940,25-09-2025,Mathematics
Virtual University Of Pakistan,Lahore,B.Sc.,2 Years,21800,30-09-2025,Mathematics
The University Of Lakki Marwat,Lakki Marwat,BS,4 Years,17100,25-09-2024,Mathematics
The University Of Larkano,Larkana,BS,4 Years,0,27-08-2025,Mathematics
University Of Layyah,Layyah,BS,4 Years,0,17-07-2023,Mathematics
University Of Loralai,Loralai,BS,4 Years,11300,18-08-2025,Mathematics
Punjab University Of Technology  [ Rasul],Mandi Baha-ud-din,BS,4 Years,0,25-09-2025,Mathematics
Hazara University,Mansehra,B.Sc. [Hons],4 Years,38980,01-09-2025,Mathematics
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,35000,18-08-2025,Mathematics
Women University Mardan,Mardan,BS,4 Years,41400,28-01-2026,Mathematics
University Of Mianwali,Mianwali,BS,4 Years,0,03-10-2025,Mathematics
Mirpur University Of Science And Technology,Mir Pur (ajk),BS,4 Years,54300,15-10-2024,Mathematics
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,27150,15-09-2025,Mathematics
Institute Of Southern Punjab (girls Campus),Multan,BS,4 Years,0,31-08-2024,Mathematics
Institute Of Southern Punjab (girls Campus),Multan,AD,2 Years,0,31-08-2024,Mathematics
Muhammad Nawaz Sharif University Of Engineering And Technology,Multan,BS,4 Years,35300,12-02-2024,Mathematics
The Women University,Multan,BS,4 Years,25750,07-01-2025,Mathematics
University Of Education [ Multan Campus ],Multan,BS,4 Years,20214,02-09-2025,Mathematics
Kohsar University,Murree,BS,4 Years,0,14-02-2025,Mathematics
