Institute,City,Degree,Duration,Fee,Deadline,Subject
The University Of Faisalabad,Faisalabad,BS,4 Years,135200,07-10-2023,Medical Laboratory Sciences
Baqai Medical University,Karachi,BS,4 Years,100000,18-10-2024,Medical Laboratory Sciences
The Superior University,Lahore,BS,4 Years,141600,31-01-2026,Medical Laboratory Sciences
The University Of Lahore ( Main Campus ),Lahore,BS,4 Years,147400,03-01-2026,Medical Laboratory Sciences
University Of Management And Technology,Lahore,AD,2 Years,0,16-11-2024,Medical Laboratory Sciences
The University Of Lahore ( Islamabad Campus ),Islamabad,MD,5 Years,0,11-10-2019,Medical Laboratory Sciences
Al Wateen Institute Of Medical Sciences,Islamabad,BS,4 Years,0,22-02-2019,Medical Laboratory Sciences
Vertex College Of Science And Technology,Islamabad,BS,5 Years,0,02-11-2018,Medical Laboratory Sciences
Hussain College Of Health Sciences,Lahore,BS,4 Years,0,31-08-2025,Medical Laboratory Sciences
Zohra Institute Of Health Sciences,Rawalpindi,BS,4 Years,90000,01-01-2021,Medical Laboratory Sciences
