Institute,City,Degree,Duration,Fee,Deadline,Subject
Liaquat University Of Medical And Health Sciences,Jamshoro,MBBS,5 Years,31900,17-05-2025,Medicine Mbbs
Jinnah Sindh Medical University,Karachi,MBBS,5 Years,31900,15-01-2025,Medicine Mbbs
Fatima Jinnah Medical University,Lahore,MBBS,5 Years,15630,21-11-2025,Medicine Mbbs
King Edward Medical University / Mayo Hospital,Lahore,MBBS,5 Years,15630,21-11-2025,Medicine Mbbs
Shaheed Mohtarma Benazir Bhutto Medical University,Larkana,BDS,4 Years,27000,18-12-2025,Medicine Mbbs
Nishtar Medical College / Nishter Hospital,Multan,MBBS,5 Years,15630,21-11-2025,Medicine Mbbs
Peoples University Of Medical And Health Sciences For Women,Nawab Shah,MBBS,5 Years,16000,15-01-2025,Medicine Mbbs
Bolan Medical College / Bolan Hospital,Quetta,MBBS,5 Years,70000,31-12-2025,Medicine Mbbs
Rawalpindi Medical University,Rawalpindi,MBBS,5 Years,23000,21-11-2025,Medicine Mbbs
The University Of Modern Sciences,Tando Muhammad Khan,MBBS,5 Hours,0,30-11-2022,Medicine Mbbs
Isra University/hospital,Hyderabad,MBBS,5 Years,1300000,10-12-2025,Medicine Mbbs
Bahria University Medical & Dental College,Karachi,MBBS,5 Years,1600000,10-12-2025,Medicine Mbbs
Baqai Medical University,Karachi,MBBS,5 Years,914000,10-12-2025,Medicine Mbbs
Hamdard University,Karachi,MBBS,5 Years,1375000,10-12-2025,Medicine Mbbs
Zia-ud-din Medical University,Karachi,MBBS,5 Years,1660000,10-12-2025,Medicine Mbbs
University College Of Medicine And Dentistry,Lahore,MBBS,5 Years,1640000,21-11-2025,Medicine Mbbs
Ayub Medical College / Ayub Hospital,Abbottabad,MBBS,5 Years,200000,21-11-2025,Medicine Mbbs
Quaid-e-azam Medical College / Victoria Hospital,Bahawal Pur,MBBS,5 Years,15630,21-11-2025,Medicine Mbbs
Bannu Medical College,Bannu,MBBS,5 Years,0,21-11-2025,Medicine Mbbs
