Institute,City,Degree,Duration,Fee,Deadline,Subject
Abbottabad University Of Science And Technology,Abbottabad,BS,4 Years,28500,26-08-2025,Microbiology
Women University Azad Jammu & Kashmir,Bagh,BS,4 Years,43110,01-09-2025,Microbiology
University Of Science & Technology,Bannu,BS,4 Years,16400,20-09-2025,Microbiology
Bacha Khan University,Charsadda,BS,4 Years,37000,22-09-2025,Microbiology
Ghazi University,D.g.khan,BS,4 Years,21300,15-08-2023,Microbiology
Gomal University,D.i. Khan,BS,4 Years,46600,09-01-2026,Microbiology
Fata University,Darra Adam Khail,BS,4 Years,22000,16-08-2025,Microbiology
Government College University,Faisalabad,BS,4 Years,28200,24-06-2025,Microbiology
University Of Agriculture,Faisalabad,B.Sc. [Hons],4 Years,60500,28-07-2025,Microbiology
Karakuram International University,Gilgit,BS,4 Years,41900,10-08-2025,Microbiology
University Of Gujrat,Gujrat,BS,4 Years,0,15-08-2025,Microbiology
University Of Haripur,Haripur,BS,4 Years,20109,26-01-2026,Microbiology
Hazara University [havellian Campus],Havelian,BS,4 Years,0,23-02-2015,Microbiology
Government College University Hyderabad,Hyderabad,BS,4 Years,0,15-09-2025,Microbiology
Allama Iqbal Open University,Islamabad,BS,4 Years,45100,10-02-2026,Microbiology
International Islamic University,Islamabad,BS,4 Years,89685,31-12-2025,Microbiology
Quaid-e-azam University,Islamabad,BS,4 Years,54565,29-07-2025,Microbiology
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Microbiology
University Of Jhang,Jhang,BS,4 Years,0,15-09-2025,Microbiology
University Of Karachi,Karachi,BS,4 Years,21000,28-11-2025,Microbiology
Shah Abdul Latif University,Khair Pur,B.Sc. [Hons],4 Years,12150,22-09-2025,Microbiology
Kohat University Of Science & Technology,Kohat,B.Sc. [Hons],4 Years,27900,15-09-2025,Microbiology
University Of Kotli,Kotli,BS,4 Years,0,15-08-2025,Microbiology
Government College University Lahore,Lahore,B.Sc. [Hons],4 Years,90000,11-12-2025,Microbiology
University Of Layyah,Layyah,BS,4 Years,0,17-07-2023,Microbiology
Punjab University Of Technology  [ Rasul],Mandi Baha-ud-din,BS,4 Years,0,25-09-2025,Microbiology
Hazara University,Mansehra,B.Sc. [Hons],4 Years,38980,01-09-2025,Microbiology
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,55000,18-08-2025,Microbiology
Women University Mardan,Mardan,BS,4 Years,41400,28-01-2026,Microbiology
University Of Mianwali,Mianwali,BS,4 Years,0,18-08-2025,Microbiology
Mirpur University Of Science And Technology,Mir Pur (ajk),BS,4 Years,0,15-08-2024,Microbiology
Muhammad Nawaz Sharif University Of Agriculture,Multan,BS,4 Years,30000,29-09-2025,Microbiology
Kohsar University,Murree,BS,4 Years,0,26-02-2026,Microbiology
"Shaheed Benazir Bhutto University, Nawab Shah",Nawab Shah,BS,4 Years,18000,06-10-2025,Microbiology
Islamia College University,Peshawar,BS,4 Years,62000,16-09-2025,Microbiology
Khyber Medical University,Peshawar,BS,4 Years,0,30-10-2025,Microbiology
Shaheed Benazir Bhutto Women University,Peshawar,BS,4 Years,29513,28-09-2025,Microbiology
The University Of Agriculture,Peshawar,BS,4 Years,33000,15-08-2025,Microbiology
University Of Peshawar,Peshawar,B.Sc.,4 Years,71000,23-09-2025,Microbiology
Balochistan University Of It & Management Sciences,Quetta,BS,4 Years,39410,26-01-2026,Microbiology
Sardar Bahadur Khan Women University,Quetta,BS,4 Years,8040,15-09-2025,Microbiology
University Of Balochistan,Quetta,BS,4 Years,36000,11-08-2025,Microbiology
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,BS,4 Years,40250,20-06-2025,Microbiology
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,BS,4 Years,46000,20-08-2025,Microbiology
Pir Mahar Ali Shah Arid Agriculture University,Rawalpindi,BS,4 Years,45650,08-08-2025,Microbiology
University Of Sargodha,Sargodha,BS,4 Years,30000,15-12-2025,Microbiology
University Of Swabi,Swabi,BS,4 Years,51270,16-09-2025,Microbiology
Women University Swabi,Swabi,BS,4 Years,77000,12-09-2025,Microbiology
The University Of Veterinary & Animal Sciences,Swat,BS,4 Years,18000,30-09-2025,Microbiology
University Of Swat,Swat,BS,4 Years,30900,12-10-2023,Microbiology
"Shaheed Benazir Bhutto University, Sheringal",Upper Dir,BS,4 Years,30010,10-10-2025,Microbiology
Hamdard University,Karachi,BS,4 Years,0,15-03-2025,Microbiology
Jinnah University For Women,Karachi,B.Sc. [Hons],4 Years,55000,15-10-2025,Microbiology
Zia-ud-din Medical University,Karachi,BS,4 Years,152800,26-08-2025,Microbiology
Lahore Garrison University,Lahore,BS,4 Years,174635,30-11--0001,Microbiology
Lahore University Of Biological & Applied Sciences,Lahore,BS,4 Years,0,13-07-2024,Microbiology
Minhaj University,Lahore,BS,4 Years,0,18-05-2024,Microbiology
Qarshi University (lhr),Lahore,BS,4 Years,0,20-08-2024,Microbiology
University Of Central Punjab,Lahore,BS,4 Years,190750,20-09-2024,Microbiology
University Of Management And Technology,Lahore,BS,4 Years,212250,18-10-2024,Microbiology
Abasyn University,Peshawar,BS,4 Years,105000,01-02-2026,Microbiology
City University Of Science & Information Technology,Peshawar,BS,4 Years,0,10-11-2025,Microbiology
Sarhad University Of Science & Information Technology,Peshawar,BS,4 Years,56500,16-05-2023,Microbiology
National University Of Medical Sciences,Rawalpindi,BS,4 Years,300000,16-01-2026,Microbiology
Grand Asian University Sialkot,Sialkot,BS,4 Years,0,21-09-2024,Microbiology
Comsats University Islamabad ( Abbotabad Campus ),Abbottabad,BS,4 Years,112200,04-08-2025,Microbiology
"Kohat University Of Science And Technology, (sub Campus)",Hangu,BS,4 Years,56800,15-09-2025,Microbiology
"Federal Urdu University Of Arts  Science & Technology, Karachi",Karachi,B.Sc. [Hons],4 Years,34400,10-01-2025,Microbiology
Government Postgraduate College ( Mandian),Abbottabad,BS,4 Years,0,30-11--0001,Microbiology
"Pak- Austria Fachhuochschule, Institute Of Applied Sciences And Technology",Haripur,BS,4 Years,0,03-01-2025,Microbiology
Institute Of Health Sciences,Islamabad,BS,4 Years,0,11-09-2025,Microbiology
Dj Sindh Government Science College,Karachi,BS,4 Years,0,31-12-2025,Microbiology
Government Dyal Singh College[laxmi Chowk],Lahore,BS,4 Years,0,31-10-2022,Microbiology
Government Islamia Post Graduate College For Women [cooper Road],Lahore,BS,4 Years,0,21-09-2023,Microbiology
Emerson University Multan,Multan,BS,4 Years,0,15-08-2025,Microbiology
King College Of Health Sciences,Bahawal Pur,BS (HONS),4 Years,0,16-09-2017,Microbiology
Royal Gorup Of Colleges,Gujranwala,BS,4 Years,0,27-10-2018,Microbiology
Advance Life College Of Medical Sciences,Lahore,BS,4 Years,0,30-11-2016,Microbiology
Central Park College Of Allied Health Sciences,Lahore,BS,4 Years,0,30-09-2019,Microbiology
Gulab Devi Educational Complex,Lahore,BS,4 Years,0,30-11--0001,Microbiology
Islamic International Institute Of Sciences,Multan,BS,4 Years,0,29-11-2018,Microbiology
Kings College Of Health Sciences,Sahiwal,BS,4 Years,0,16-09-2017,Microbiology
Sialkot Medical College,Sialkot,BS,4 Years,0,20-08-2018,Microbiology
Health Services Academy,Islamabad,BS,4 Years,0,25-07-2025,Microbiology
Comwave Institute Of Information Technology [abt],Abbottabad,BS,4 Years,0,03-09-2018,Microbiology
Indus International Institute,D.g.khan,BS,4 Years,0,20-10-2016,Microbiology
Comwave Institute Of Information Technology [haripur],Haripur,BS,4 Years,0,22-09-2018,Microbiology
Gulab Devi Post Graduate Medical Institute,Lahore,BS,4 Years,0,30-11--0001,Microbiology
Kaims International Institute,Multan,BS,4 Years,0,31-07-2019,Microbiology
Laeeque Rafique Institute Of Medical Sciences & Nursing School,Multan,BS,4 Years,0,30-11-2021,Microbiology
The Limit Institution Of Health Sciences,Sahiwal,BS,4 Years,0,18-11-2016,Microbiology
Abdulwali Khan University ( Timergara Campus ),Timergara,BS,4 Years,55000,18-08-2025,Microbiology
