Institute,City,Degree,Duration,Fee,Deadline,Subject
University Of Malakand,Chakdara,BS,4 Years,20000,31-07-2025,Multimedia
University Of Gujrat,Gujrat,BS,4 Years,71690,13-09-2024,Multimedia
Uit University,Karachi,AD,2 Years,0,25-07-2024,Multimedia
National College Of Arts,Lahore,BS,4 Years,127320,12-08-2025,Multimedia
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,BS,4 Years,40250,20-06-2025,Multimedia
"Aror University Of Art, Architecture, Design And Heritage",Sukkur,BS,4 Years,54000,14-01-2026,Multimedia
Minhaj University,Lahore,BS,4 Years,0,18-05-2024,Multimedia
Emerson University Multan,Multan,BS,4 Years,0,24-01-2025,Multimedia
Oriental College Of Arts,Lahore,BMM (HONS),4 Years,0,01-01-1970,Multimedia
Institute Of Textile  Multimedia & Fashion,Islamabad,BMM (HONS),4 Years,0,01-01-1970,Multimedia
