Institute,City,Degree,Duration,Fee,Deadline,Subject
The Government Sadiq College Women University,Bahawal Pur,BS,4 Years,0,20-06-2025,Nursing
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,69965,30-06-2025,Nursing
Kalam Bibi International Women Institute,Bannu,BS,4 Years,0,18-09-2025,Nursing
Air University,Islamabad,BS,4 Years,0,17-11-2025,Nursing
"Shaheed Zulfiqar Ali Bhutto Medical University, Pims",Islamabad,BS,4 Years,0,22-10-2025,Nursing
Liaquat University Of Medical And Health Sciences,Jamshoro,B.NURS,4 Years,28000,10-10-2025,Nursing
Dow University Of Health Sciences,Karachi,B.Sc.,4 Years,140000,16-12-2024,Nursing
Kohat University Of Science & Technology,Kohat,BS,4 Years,79400,15-09-2025,Nursing
King Edward Medical University / Mayo Hospital,Lahore,B.Sc.,2 Years,54000,16-11-2019,Nursing
Shaheed Mohtarma Benazir Bhutto Medical University,Larkana,B.Sc.,4 Years,37500,09-01-2026,Nursing
Multan University Of Science And Technology,Multan,BS,4 Years,0,24-01-2026,Nursing
Nfc Institute Of Engineering & Technology,Multan,BS,4 Years,33700,13-12-2022,Nursing
University Of Azad Jammu & Kashmir,Muzaffarabad,BS,4 Years,0,08-08-2025,Nursing
Peoples University Of Medical And Health Sciences For Women,Nawab Shah,BS,4 Years,16000,31-10-2025,Nursing
Khyber Medical University,Peshawar,B.NURS,4 Years,80000,30-10-2025,Nursing
Bolan Medical College / Bolan Hospital,Quetta,BS,4 Years,0,05-04-2023,Nursing
Bolan Medical College / Bolan Hospital,Quetta,B.Sc.,2 Years,0,30-12-2024,Nursing
Bolan University Of Medical & Health Sciences,Quetta,BS,4 Years,0,20-01-2026,Nursing
The University Of Faisalabad,Faisalabad,B.NURS,4 Years,180000,07-10-2023,Nursing
The University Of Chenab,Gujrat,BS,4 Years,0,03-01-2026,Nursing
Isra University/hospital,Hyderabad,BS,4 Years,140000,15-12-2023,Nursing
Foundation University,Islamabad,B.Sc.,2 Years,140000,15-11-2024,Nursing
Foundation University,Islamabad,BS,4 Years,130000,15-11-2025,Nursing
Ibadat International University Islamabad,Islamabad,BS,4 Years,99400,10-09-2023,Nursing
Riphah International University,Islamabad,BS,4 Years,128000,30-07-2025,Nursing
Aga Khan University,Karachi,B.Sc.,4 Years,363000,27-04-2023,Nursing
Bahria University Medical & Dental College,Karachi,BS,4 Years,140274,10-02-2022,Nursing
Baqai Medical University,Karachi,B.Sc.,2 Years,125000,18-10-2024,Nursing
Hamdard University,Karachi,BS,4 Years,138600,15-03-2025,Nursing
Indus University,Karachi,BS,4 Years,0,31-10-2025,Nursing
Sohail University,Karachi,BS,4 Years,0,17-10-2024,Nursing
Zia-ud-din Medical University,Karachi,B.Sc.,4 Years,202272,26-08-2025,Nursing
Green International University,Lahore,BS,4 Years,0,02-09-2025,Nursing
Nur International University,Lahore,BS,4 Years,155278,11-01-2026,Nursing
Rashid Latif Khan University,Lahore,BS,4 Years,0,25-10-2025,Nursing
