Institute,City,Degree,Duration,Fee,Deadline,Subject
Dow University Of Health Sciences,Karachi,BS,4 Years,100000,14-11-2025,Nursing Generic
Jinnah Sindh Medical University,Karachi,B.NURS,4 Years,0,17-12-2025,Nursing Generic
The University Of Modern Sciences,Tando Muhammad Khan,BS,4 Years,0,22-11-2025,Nursing Generic
Metropolitan University Karachi,Karachi,BS,4 Years,0,25-04-2025,Nursing Generic
"School Of Nursing, D H Q Hospital",Attock,B.Sc.,4 Years,0,16-01-2026,Nursing Generic
School Of Nursing Dhq Hospital,Bhakkar,B.Sc.,4 Years,0,16-01-2026,Nursing Generic
"School Of Nursing, D H Q Hospital",Chakwal,B.Sc.,4 Years,0,16-01-2026,Nursing Generic
"School Of Nursing, D H Q Hospital",D.g.khan,BS,4 Years,0,16-01-2026,Nursing Generic
"Civil Hospital, Community Midwifery School",Dadu,BS,4 Years,0,24-11-2021,Nursing Generic
"School Of Nursing, Allied Hospital",Faisalabad,BS,4 Years,0,16-01-2026,Nursing Generic
Gambat College Of Nursing,Gambat,BS,4 Years,0,10-01-2026,Nursing Generic
"School Of Nursing, Eye Cum General Hospital",Gojra,B.Sc.,4 Years,0,16-01-2026,Nursing Generic
Dakson Institute Of Health Sciences,Islamabad,BS,4 Years,0,19-03-2022,Nursing Generic
"Shaheed Muhtrama Benazir Bhutto Medical College, Lyari",Karachi,BS,4 Years,0,22-08-2025,Nursing Generic
"School Of Nursing, D H Q Hospital",Khanewal,B.Sc.,4 Years,0,16-01-2026,Nursing Generic
"School Of Nursing, D H Q Hospital",Khushab,B.Sc.,4 Years,0,16-01-2026,Nursing Generic
"Allied Health Sciences School, Lahore General Hospital",Lahore,BS,4 Years,0,01-03-2022,Nursing Generic
Ameer Ud Din Medical College,Lahore,BS,4 Years,0,16-01-2026,Nursing Generic
"College Of Nursing, Government Teaching Hospital, Shahdara",Lahore,B.NURS,4 Years,0,16-01-2026,Nursing Generic
Postgraduate College Of Nursing,Lahore,BS,4 Years,0,16-01-2026,Nursing Generic
School Of Nursing & Midwifery Sir Ganga Ram Hospital,Lahore,BS,4 Years,0,16-01-2026,Nursing Generic
School Of Nursing Services Hospital,Lahore,BS,4 Years,0,16-01-2026,Nursing Generic
"School Of Nursing, Mayo Hospital",Lahore,BS,4 Years,0,16-01-2026,Nursing Generic
