Institute,City,Degree,Duration,Fee,Deadline,Subject
Dow University Of Health Sciences,Karachi,BS,4 Years,100000,20-12-2025,Nutrition
Khyber Medical University,Peshawar,BS,4 Years,80000,18-08-2025,Nutrition
Rashid Latif Khan University,Lahore,BS,4 Years,0,04-02-2024,Nutrition
Aziz Fatimah Medical And Dental College,Faisalabad,BS,4 Years,0,29-12-2025,Nutrition
Akhtar Saeed Medical And Dental College,Lahore,B.Sc. [Hons],4 Years,0,15-11-2025,Nutrition
Fmh College Of Medicine & Dentistry,Lahore,BS,4 Years,0,17-12-2022,Nutrition
Lahore Medical & Dental College,Lahore,BS,4 Years,0,10-12-2022,Nutrition
Lahore Pharmacy College,Lahore,BBA,4 Years,0,23-10-2020,Nutrition
Rashid Latif Medical College,Lahore,BS (HONS),4 Years,0,05-02-2023,Nutrition
Multan Medical And Dental College,Multan,B.Sc. [Hons],4 Years,0,03-08-2024,Nutrition
The Next College,Multan,BS,4 Years,0,30-10-2020,Nutrition
Suleman Roshan Medical College,Tando Adam,BS,4 Years,0,11-04-2025,Nutrition
Fmh Institute Of Allied Health Sciences,Lahore,B.Sc. [Hons],4 Years,0,23-11-2023,Nutrition
National Institute Of Health Sciences,Lahore,B.Sc. [Hons],4 Years,0,29-04-2021,Nutrition
Pakistan Kidney And Liver Institute And Research Center,Lahore,BS,4 Years,0,27-12-2025,Nutrition
