Institute,City,Degree,Duration,Fee,Deadline,Subject
University Of The Punjab,Lahore,BS,4 Years,41940,25-09-2025,Nutrition Dietetics
University Of Veterinary And Animal Sciences,Lahore,BS (HONS),4 Years,45500,12-09-2025,Nutrition Dietetics
University Of Balochistan,Quetta,BBS,2 Years,36000,11-08-2025,Nutrition Dietetics
The University Of Faisalabad,Faisalabad,DND,5 Years,280000,07-10-2023,Nutrition Dietetics
The University Of Chenab,Gujrat,BS,4 Years,0,03-01-2026,Nutrition Dietetics
Hamdard University,Karachi,BS,4 Years,0,15-07-2023,Nutrition Dietetics
Shaheed Zulfiqar Ali Bhutto Institute Of Science & Technology,Karachi,BS,4 Years,88060,12-02-2026,Nutrition Dietetics
Green International University,Lahore,BS,4 Years,0,02-09-2025,Nutrition Dietetics
Sarhad University Of Science & Information Technology,Peshawar,B.ED,4 Years,56500,05-12-2025,Nutrition Dietetics
Grand Asian University Sialkot,Sialkot,AD,2 Years,0,21-09-2024,Nutrition Dietetics
"Institute Of Health Sciences, Kurram",Para Chinar,BS,4 Years,0,11-09-2025,Nutrition Dietetics
The University Of Lahore ( Islamabad Campus ),Islamabad,DND,5 Years,0,11-10-2019,Nutrition Dietetics
Government Dyal Singh College[laxmi Chowk],Lahore,BS,4 Years,0,31-10-2022,Nutrition Dietetics
King College Of Health Sciences,Bahawal Pur,DND,5 Years,0,16-09-2017,Nutrition Dietetics
Central Park College Of Allied Health Sciences,Lahore,BS,4 Years,0,09-11-2025,Nutrition Dietetics
Cmh Lahore Medical College,Lahore,BS,4 Years,0,20-09-2025,Nutrition Dietetics
Nisa Institute Of Science & Arts,Quetta,BS,4 Years,0,19-09-2024,Nutrition Dietetics
Kings College Of Health Sciences,Sahiwal,DND,5 Years,0,16-09-2017,Nutrition Dietetics
Armed Forces Institute Of Rehabilitation Medicine,Rawalpindi,BS,4 Years,0,16-01-2026,Nutrition Dietetics
Comwave Institute Of Information Technology,Islamabad,BS,4 Years,0,18-11-2023,Nutrition Dietetics
