Institute,City,Degree,Duration,Fee,Deadline,Subject
Dow University Of Health Sciences,Karachi,B.Sc. [Hons],4 Years,140000,06-12-2019,Occupational Therapy
Khyber Medical University,Peshawar,BS,4 Years,80000,30-10-2025,Occupational Therapy
Bolan University Of Medical & Health Sciences,Quetta,BS,4 Years,0,20-01-2026,Occupational Therapy
Sohail University,Karachi,BS,5 Years,0,17-10-2024,Occupational Therapy
Zia-ud-din Medical University,Karachi,BS,4 Years,96500,26-08-2025,Occupational Therapy
The University Of Lahore ( Main Campus ),Lahore,BS,4 Years,123000,03-01-2026,Occupational Therapy
Bilawal Medical College,Jamshoro,BS,4 Years,0,15-06-2023,Occupational Therapy
Sindh Institute Of Physical Medecine & Rehabilitaion,Karachi,BS,4 Years,0,31-12-2025,Occupational Therapy
National Institute Of Modern Studies,Islamabad,BS,4 Years,0,06-02-2022,Occupational Therapy
Psrd College Of Rehabilitation Sciences,Lahore,B.Sc. [Hons],4 Years,0,15-08-2025,Occupational Therapy
Bakhtawar Amin Medical And Dental College,Multan,BS,4 Years,0,01-01-2025,Occupational Therapy
Multan College Of Physiotherapy,Multan,BS,4 Years,0,30-09-2019,Occupational Therapy
College Of Physical Medicine & Rehabilitation,Peshawar,BS,4 Years,0,25-01-2022,Occupational Therapy
Pir Abdul Qadir Shah Jeelani Institute Of Medical Sciences,Gambat,BS,4 Years,0,07-03-2025,Occupational Therapy
Health Services Academy,Islamabad,BS,4 Years,0,31-01-2026,Occupational Therapy
Jinnah Postgraduate Medical Centre/hospital,Karachi,B.Sc.,3 Years,0,15-02-2024,Occupational Therapy
The Childrens Hospital & The Institute Of Child Health,Lahore,B.Sc. [Hons],4 Years,0,29-11-2024,Occupational Therapy
Armed Forces Institute Of Rehabilitation Medicine,Rawalpindi,BS,4 Years,0,16-01-2026,Occupational Therapy
