Institute,City,Degree,Duration,Fee,Deadline,Subject
Nishtar Medical College / Nishter Hospital,Multan,BS,4 Years,0,06-01-2026,Optometry Orthoptics
Bolan University Of Medical & Health Sciences,Quetta,BS,4 Years,0,20-01-2026,Optometry Orthoptics
Rawalpindi Medical University,Rawalpindi,B.Sc. [Hons],4 Years,0,15-01-2026,Optometry Orthoptics
Riphah International University,Islamabad,BS,4 Years,111000,30-07-2025,Optometry Orthoptics
Rashid Latif Khan University,Lahore,BS,4 Years,0,25-10-2025,Optometry Orthoptics
"Riphah International University, Faisalabad Campus",Faisalabad,BS,4 Years,0,18-10-2025,Optometry Orthoptics
Riphah International University Lahore,Lahore,BS,4 Years,0,25-01-2026,Optometry Orthoptics
Advance Life College Of Medical Sciences,Lahore,BS,4 Years,0,30-11-2016,Optometry Orthoptics
Cmh Lahore Medical College,Lahore,BS,4 Years,0,31-12-2025,Optometry Orthoptics
Gulab Devi Educational Complex,Lahore,BS,4 Years,0,30-11--0001,Optometry Orthoptics
Bakhtawar Amin Medical And Dental College,Multan,BS,4 Years,0,01-01-2025,Optometry Orthoptics
Fmh Institute Of Allied Health Sciences,Lahore,B.Sc. [Hons],4 Years,0,01-09-2025,Optometry Orthoptics
"Pakistan Institute Of Opthamology,al-shifa Trust Eye Hopital",Rawalpindi,B.Sc. [Hons],4 Years,0,31-07-2025,Optometry Orthoptics
Shalamar School Of Allied Health Sciences,Lahore,B.Sc. [Hons],4 Years,0,27-12-2025,Optometry Orthoptics
Al-shifa Trust Eye Hospital [jhelum Road],Rawalpindi,B.Sc. [Hons],4 Years,0,26-11-2017,Optometry Orthoptics
