Institute,City,Degree,Duration,Fee,Deadline,Subject
Abbottabad University Of Science And Technology,Abbottabad,BS,4 Years,27500,26-08-2025,Pakistan Studies
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,43015,30-06-2025,Pakistan Studies
University Of Science & Technology,Bannu,BS,4 Years,16400,20-09-2025,Pakistan Studies
The University Of Buner,Buner,BS,4 Years,0,15-08-2025,Pakistan Studies
Ghazi University,D.g.khan,BS,4 Years,21300,04-07-2025,Pakistan Studies
Gomal University,D.i. Khan,BS,4 Years,40000,09-01-2026,Pakistan Studies
Gomal University,D.i. Khan,AD,2 Years,0,09-01-2026,Pakistan Studies
Fata University,Darra Adam Khail,BS,4 Years,22000,02-10-2024,Pakistan Studies
Government College University,Faisalabad,BS,4 Years,24300,12-01-2026,Pakistan Studies
University Of Agriculture,Faisalabad,BS,4 Years,0,28-07-2025,Pakistan Studies
University Of Haripur,Haripur,BS,4 Years,18648,26-01-2026,Pakistan Studies
Allama Iqbal Open University,Islamabad,BS,4 Years,16060,10-02-2026,Pakistan Studies
International Islamic University,Islamabad,BS,4 Years,50400,31-12-2025,Pakistan Studies
"National University Of Modern Languages, Islamabad",Islamabad,BS,4 Years,48610,09-12-2025,Pakistan Studies
Quaid-e-azam University,Islamabad,BS,4 Years,54565,29-07-2025,Pakistan Studies
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Pakistan Studies
University Of Karachi,Karachi,BS,4 Years,15000,07-11-2025,Pakistan Studies
Shah Abdul Latif University,Khair Pur,CERT,4 Years,14000,22-09-2025,Pakistan Studies
Kohat University Of Science & Technology,Kohat,BS,4 Years,24100,15-09-2025,Pakistan Studies
Lahore College For Women University,Lahore,BS,4 Years,46790,25-09-2025,Pakistan Studies
University Of Education,Lahore,BS,4 Years,20214,02-09-2025,Pakistan Studies
University Of Loralai,Loralai,BS,4 Years,11300,12-08-2024,Pakistan Studies
Hazara University,Mansehra,BS,4 Years,38980,01-09-2025,Pakistan Studies
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,35000,18-08-2025,Pakistan Studies
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,20150,02-01-2026,Pakistan Studies
The Women University,Multan,BS,4 Years,24250,07-01-2025,Pakistan Studies
University Of Okara,Okara,BS,4 Years,46000,18-07-2025,Pakistan Studies
Islamia College University,Peshawar,BS,4 Years,62000,16-09-2025,Pakistan Studies
Shaheed Benazir Bhutto Women University,Peshawar,BS,4 Years,29513,28-09-2025,Pakistan Studies
University Of Peshawar,Peshawar,BS,4 Years,71000,12-09-2025,Pakistan Studies
Sardar Bahadur Khan Women University,Quetta,BS,4 Years,6760,15-09-2025,Pakistan Studies
University Of Balochistan,Quetta,BS,4 Years,32000,11-08-2025,Pakistan Studies
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,BS,4 Years,35250,20-06-2025,Pakistan Studies
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,BS (HONS),4 Years,0,03-10-2022,Pakistan Studies
Fatima Jinnah Women University,Rawalpindi,BS,4 Years,52050,18-08-2025,Pakistan Studies
University Of Sargodha,Sargodha,BS,4 Years,30000,15-12-2025,Pakistan Studies
"Aror University Of Art, Architecture, Design And Heritage",Sukkur,BS,4 Years,54000,14-01-2026,Pakistan Studies
Women University Swabi,Swabi,BS,4 Years,42460,12-09-2025,Pakistan Studies
University Of Swat,Swat,BS,4 Years,19730,12-10-2023,Pakistan Studies
"Shaheed Benazir Bhutto University, Sheringal",Upper Dir,BS,4 Years,30010,10-10-2025,Pakistan Studies
Sohail University,Karachi,BS,4 Years,0,17-10-2024,Pakistan Studies
Imperial College Of Business Studies,Lahore,BS,4 Years,0,21-08-2023,Pakistan Studies
Minhaj University,Lahore,BS,4 Years,93750,18-05-2024,Pakistan Studies
"The Islamia University Of Bahawalpur, Ahmadpur East Campus",Ahmadpur East,BS,4 Years,43015,30-06-2024,Pakistan Studies
The Islamia University Of Bahawalpur[sub Campus],Bahawal Nagar,BS,4 Years,43015,30-06-2025,Pakistan Studies
"Federal Urdu University Of Arts  Science & Technology, Karachi",Karachi,BS,4 Years,20600,29-11-2024,Pakistan Studies
"The Islamia University Of Bahawalpur, Liaqatpur Campus",Liaqatpur,BS,4 Years,43015,30-06-2025,Pakistan Studies
National University Of Modern Language ( Multan Campus ),Multan,BS,4 Years,0,31-01-2026,Pakistan Studies
The Islamic University Of Bahawalpur[rahimyar Khan Campus],Rahim Yar Khan,BS,4 Years,43015,30-06-2025,Pakistan Studies
"Gomal University, Tank Campus",Tank,BS,4 Years,0,31-07-2025,Pakistan Studies
Government Postgraduate College,Bannu,BS,4 Years,0,31-08-2013,Pakistan Studies
Government Postgraduate College,Charsadda,BS,4 Years,0,27-08-2018,Pakistan Studies
Government Islamia Post Graduate College For Women [cooper Road],Lahore,BS,4 Years,0,21-09-2023,Pakistan Studies
Government Postgraduate College,Mansehra,BS,4 Years,0,22-08-2015,Pakistan Studies
Government Superior Science College,Peshawar,BS,4 Years,0,20-08-2016,Pakistan Studies
Government Degree College,Timergara,BS,4 Years,0,08-10-2021,Pakistan Studies
Royal Gorup Of Colleges,Gujranwala,BS,4 Years,0,31-10-2020,Pakistan Studies
Marshal Degree College For Women,Wah,BS,4 u,0,14-09-2011,Pakistan Studies
