Institute,City,Degree,Duration,Fee,Deadline,Subject
Abbottabad University Of Science And Technology,Abbottabad,PHARM.D,5 Years,54800,26-08-2025,Pharmacy
The Islamia University Of Bahawalpur,Bahawal Pur,PHARM.D,5 Years,92180,30-06-2025,Pharmacy
University Of Malakand,Chakdara,PHARM.D,5 Years,20000,31-07-2025,Pharmacy
Bacha Khan University,Charsadda,PHARM.D,5 Years,89050,22-09-2025,Pharmacy
Gomal University,D.i. Khan,PHARM.D,5 Years,52220,31-07-2025,Pharmacy
Government College University,Faisalabad,PHARM.D,5 Years,67700,24-06-2025,Pharmacy
University Of Agriculture,Faisalabad,PHARM.D,5 Years,114000,28-07-2025,Pharmacy
Hazara University [havellian Campus],Havelian,PHARM.D,5 Years,0,23-02-2015,Pharmacy
Federal Urdu University Of Arts Science & Technology Islamabad,Islamabad,PHARM.D,5 Years,75000,15-02-2007,Pharmacy
Quaid-e-azam University,Islamabad,PHARM.D,5 Years,56355,22-09-2025,Pharmacy
Liaquat University Of Medical And Health Sciences,Jamshoro,PHARM.D,5 Years,100000,10-10-2025,Pharmacy
University Of Sindh,Jamshoro,PHARM.D,5 Years,18200,14-09-2025,Pharmacy
"Benazir Bhutto Shaheed University, Lyari",Karachi,PHARM.D,5 Years,55850,17-11-2025,Pharmacy
Dow University Of Health Sciences,Karachi,PHARM.D,5 Years,140000,13-12-2025,Pharmacy
Jinnah Sindh Medical University,Karachi,PHARM.D,5 Years,106480,17-12-2025,Pharmacy
University Of Karachi,Karachi,PHARM.D,5 Years,38500,10-10-2025,Pharmacy
Shah Abdul Latif University,Khair Pur,PHARM.D,5 Years,55760,22-09-2025,Pharmacy
Kohat University Of Science & Technology,Kohat,PHARM.D,5 Years,79400,15-09-2025,Pharmacy
Government College University Lahore,Lahore,B.Sc. [Hons],4 Years,52000,08-08-2025,Pharmacy
Lahore College For Women University,Lahore,PHARM.D,5 Years,57970,25-09-2025,Pharmacy
University Of Health Sciences,Lahore,PHARM.D,5 Years,0,25-07-2025,Pharmacy
University Of The Punjab,Lahore,PHARM.D,5 Years,47540,10-10-2025,Pharmacy
University Of Veterinary And Animal Sciences,Lahore,PHARM.D,5 Years,45500,01-08-2025,Pharmacy
Shaheed Mohtarma Benazir Bhutto Medical University,Larkana,PHARM.D,5 Years,28000,25-02-2025,Pharmacy
Punjab University Of Technology  [ Rasul],Mandi Baha-ud-din,PHARM.D,5 Years,0,25-09-2025,Pharmacy
Hazara University,Mansehra,PHARM.D,5 Years,93147,01-09-2025,Pharmacy
"Abdul Wali Khan University, Mardan",Mardan,PHARM.D,5 Years,75000,18-08-2025,Pharmacy
Mirpur University Of Science And Technology,Mir Pur (ajk),PHARM.D,5 Years,0,15-08-2024,Pharmacy
"Bahauddin Zakariya University, Multan",Multan,PHARM.D,5 Years,65000,18-08-2025,Pharmacy
Multan University Of Science And Technology,Multan,PHARM.D,5 Years,0,24-01-2026,Pharmacy
Nishtar Medical College / Nishter Hospital,Multan,PHARM.D,5 Years,0,06-01-2026,Pharmacy
The Women University,Multan,PHARM.D,5 Years,34750,15-08-2024,Pharmacy
University Of Azad Jammu & Kashmir,Muzaffarabad,PHARM.D,5 Years,0,31-08-2023,Pharmacy
University Of Narowal,Narowal,PHARM.D,5 Years,0,19-02-2026,Pharmacy
Peoples University Of Medical And Health Sciences For Women,Nawab Shah,PHARM.D,5 Years,50000,31-10-2025,Pharmacy
Khyber Medical University,Peshawar,PHARM.D,5 Years,0,30-10-2025,Pharmacy
University Of Peshawar,Peshawar,PHARM.D,5 Years,73100,11-08-2025,Pharmacy
Sardar Bahadur Khan Women University,Quetta,BS,4 Years,15470,15-09-2025,Pharmacy
University Of Balochistan,Quetta,PHARM.D,5 Years,40000,05-01-2026,Pharmacy
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,PHARM.D,5 Years,90000,20-08-2025,Pharmacy
University Of Sargodha,Sargodha,PHARM.D,5 Years,59000,15-12-2025,Pharmacy
University Of Sialkot,Sialkot,PHARM.D,5 Years,0,01-03-2025,Pharmacy
University Of Swabi,Swabi,PHARM.D,5 Years,44000,16-09-2025,Pharmacy
The University Of Modern Sciences,Tando Muhammad Khan,PHARM.D,5 Years,0,22-11-2025,Pharmacy
"Shaheed Benazir Bhutto University, Sheringal",Upper Dir,PHARM.D,5 Years,30010,10-10-2025,Pharmacy
University Of Chakwal,Chakwal,BS,4 Years,0,11-08-2025,Pharmacy
Qurtuba University Of Science & Technology [di Khan],D.i. Khan,PHARM.D,5 Years,0,25-08-2025,Pharmacy
The University Of Faisalabad,Faisalabad,Ph.D.,5 Years,0,07-10-2023,Pharmacy
The University Of Chenab,Gujrat,PHARM.D,5 Years,0,03-01-2026,Pharmacy
Isra University/hospital,Hyderabad,PHARM.D,5 Years,0,15-12-2023,Pharmacy
Capital University Of Science And Technology,Islamabad,PHARM.D,5 Years,316800,02-09-2025,Pharmacy
Ibadat International University Islamabad,Islamabad,PHARM.D,5 Years,132100,10-09-2023,Pharmacy
Muslim Youth University,Islamabad,PHARM.D,5 Years,0,29-10-2025,Pharmacy
Riphah International University,Islamabad,PHARM.D,5 Years,260000,30-07-2025,Pharmacy
Shifa Tameer-e-millat University,Islamabad,PHARM.D,5 Years,290000,15-10-2025,Pharmacy
Baqai Medical University,Karachi,PHARM.D,5 Years,176000,18-10-2024,Pharmacy
Hamdard University,Karachi,PHARM.D,5 Years,180000,15-03-2025,Pharmacy
Jinnah University For Women,Karachi,PHARM.D,5 Years,109000,15-10-2025,Pharmacy
Nazeer Hussain University,Karachi,PHARM.D,5 Years,112184,17-12-2023,Pharmacy
Salim Habib University,Karachi,PHARM.D,5 Years,239000,10-01-2023,Pharmacy
Shaheed Benazir Bhutto Dewan University,Karachi,PHARM.D,5 Years,130000,15-02-2026,Pharmacy
Sohail University,Karachi,PHARM.D,5 Years,0,17-10-2024,Pharmacy
Zia-ud-din Medical University,Karachi,PHARM.D,5 Years,340000,26-08-2025,Pharmacy
Forman Christian College,Lahore,PHARM.D,5 Years,509400,30-11-2025,Pharmacy
Green International University,Lahore,PHARM.D,5 Years,0,02-09-2025,Pharmacy
Hajvery University,Lahore,PHARM.D,5 Years,320000,26-10-2024,Pharmacy
Lahore Leads University,Lahore,PHARM.D,5 Years,0,04-09-2025,Pharmacy
Lahore University Of Biological & Applied Sciences,Lahore,PHARM.D,5 Years,0,30-08-2025,Pharmacy
Minhaj University,Lahore,PHARM.D,5 Years,0,01-11-2022,Pharmacy
Qarshi University (lhr),Lahore,PHARM.D,5 Years,0,12-07-2025,Pharmacy
Rashid Latif Khan University,Lahore,PHARM.D,5 Years,0,25-10-2025,Pharmacy
The University Of Lahore ( Main Campus ),Lahore,PHARM.D,5 Years,269000,14-09-2024,Pharmacy
University Of Central Punjab,Lahore,PHARM.D,5 Years,415750,10-10-2024,Pharmacy
University Of Management And Technology,Lahore,PHARM.D,5 Years,0,14-10-2025,Pharmacy
University Of South Asia,Lahore,PHARM.D,5 Years,0,05-11-2022,Pharmacy
Mohi-ud-din Islamic University,Mir Pur (ajk),PHARM.D,5 Years,0,02-09-2025,Pharmacy
Abasyn University,Peshawar,PHARM.D,5 Years,184800,01-02-2026,Pharmacy
Cecos University Of Information Tech. & Emerging Sciences,Peshawar,PHARM.D,5 Years,0,28-07-2025,Pharmacy
City University Of Science & Information Technology,Peshawar,PHARM.D,5 Years,0,10-11-2025,Pharmacy
Iqra National University,Peshawar,PHARM.D,5 Years,92808,30-09-2025,Pharmacy
Sarhad University Of Science & Information Technology,Peshawar,PHARM.D,5 Years,0,05-12-2025,Pharmacy
Grand Asian University Sialkot,Sialkot,PHARM.D,5 Years,0,21-09-2024,Pharmacy
Comsats University Islamabad ( Abbotabad Campus ),Abbottabad,PHARM.D,5 Years,121150,04-08-2025,Pharmacy
"Federal Urdu University Of Arts  Science & Technology, Karachi",Karachi,PHARM.D,5 Years,64500,14-09-2012,Pharmacy
Comsats University Islamabad( Lahore Campus ),Lahore,PHARM.D,5 Years,121150,17-07-2025,Pharmacy
"University Of Balochistan, (sub-campus Pishin )",Pishin,PHARM.D,5 Years,40000,05-01-2026,Pharmacy
"Riphah International University, Faisalabad Campus",Faisalabad,PHARM.D,5 Years,312500,18-10-2025,Pharmacy
The University Of Lahore ( Chanab Campus),Gujrat,PHARM.D,5 Years,102500,13-09-2019,Pharmacy
Abasyn University (sub Campus),Islamabad,PHARM.D,5 Years,151200,28-12-2025,Pharmacy
Hamdard University - Islamabad Campus,Islamabad,PHARM.D,5 Years,183600,15-07-2023,Pharmacy
"Iqra University, Chak Shahzad Campus",Islamabad,PHARM.D,5 Years,254190,29-02-2024,Pharmacy
"Iqra University, H-9 Campus",Islamabad,PHARM.D,5 Years,446840,10-09-2025,Pharmacy
The University Of Lahore ( Islamabad Campus ),Islamabad,PHARM.D,5 Years,192000,06-09-2019,Pharmacy
Isra University [khi],Karachi,PHARM.D,5 Years,195000,06-05-2025,Pharmacy
Riphah International University Lahore,Lahore,PHARM.D,5 Years,225800,30-11--0001,Pharmacy
Qurtuba University Of Science & Information Technology,Peshawar,PHARM.D,4 Years,44000,08-11-2025,Pharmacy
"The University Of Lahore, Sub Campus",Sargodha,PHARM.D,5 Years,0,08-02-2025,Pharmacy
"Zia Ud Din University, Sukkur Campus",Sukkur,PHARM.D,5 Years,0,26-08-2025,Pharmacy
"Pak- Austria Fachhuochschule, Institute Of Applied Sciences And Technology",Haripur,PHARM.D,5 Years,0,03-01-2025,Pharmacy
Dakson Institute Of Health Sciences,Islamabad,PHARM.D,5 Years,0,10-02-2022,Pharmacy
Pakistan Institute Of Medical Sciences,Islamabad,PHARM.D,5 Years,0,21-09-2015,Pharmacy
Frontier Institute Of Medical Sciences [abbottabad],Abbottabad,PHARM.D,5 Years,0,12-04-2025,Pharmacy
Bahawal Pur Medical & Dental College,Bahawal Pur,PHARM.D,5 Years,0,30-11--0001,Pharmacy
Lyallpur Institute Of Advance Studies,Faisalabad,PHARM.D,5 Years,0,29-11-2025,Pharmacy
Madina College Of Pharmacy,Faisalabad,PHARM.D,5 Years,196000,10-10-2021,Pharmacy
Darson College Of Science & Technology,Gujranwala,PHARM.D,5 Years,0,25-10-2023,Pharmacy
Darsons Institute Of Sciences & Technology,Gujrat,PHARM.D,5 Years,0,25-10-2023,Pharmacy
Mukabbir Colelge,Gujrat,PHARM.D,5 Years,0,22-12-2022,Pharmacy
Mukabbir College Of Pharmacy,Gujrat,PHARM.D,5 Years,0,05-01-2022,Pharmacy
Hbs Medical And Dental College,Islamabad,PHARM.D,5 Years,0,27-12-2025,Pharmacy
Nazar College Of Pharmacy,Islamabad,PHARM.D,5 Years,0,30-11--0001,Pharmacy
Yusra Medical & Dental College,Islamabad,PHARM.D,5 Years,0,30-11--0001,Pharmacy
South Punjab Healthcare Institute Of Professional Studies,Jalalpur Pirwala,PHARM.D,5 Years,0,30-11--0001,Pharmacy
Jinnah Medical & Dental College,Karachi,PHARM.D,5 Years,140000,25-02-2022,Pharmacy
Pakisatn Institute Of Rehabilitation & Medical Sciences,Karachi,PHARM.D,5 Years,0,22-03-2024,Pharmacy
Pakistan Institute Of Nursing & Health Sciences,Karachi,PHARM.D,5 Years,0,25-01-2025,Pharmacy
Cadson College Of Pharmacy,Kharian,PHARM.D,5 Years,0,28-02-2022,Pharmacy
Akhtar Saeed Medical And Dental College,Lahore,PHARM.D,5 Years,675000,15-11-2025,Pharmacy
Gulab Devi Educational Complex,Lahore,PHARM.D,5 Years,0,30-11--0001,Pharmacy
Khaldunia Institute Of Technology And Applied Sciences College,Lahore,PHARM.D,5 Years,0,26-03-2022,Pharmacy
Lahore College Of Pharmaceutical Sciences,Lahore,PHARM.D,5 Years,180000,02-02-2025,Pharmacy
Lahore Institute Of Professional Studies,Lahore,PHARM.D,5 Years,0,08-01-2022,Pharmacy
Lahore Medical & Dental College,Lahore,PHARM.D,5 Years,0,10-12-2022,Pharmacy
Lahore Pharmacy College,Lahore,PHARM.D,2 Years,0,23-10-2020,Pharmacy
Leads College Of Pharmacy,Lahore,PHARM.D,5 Years,0,01-12-2017,Pharmacy
Lords College Of Pharmacy,Lahore,PHARM.D,5 Years,0,30-11-2024,Pharmacy
Rashid Latif College Of Pharmacy,Lahore,PHARM.D,5 Years,0,01-10-2025,Pharmacy
Rashid Latif Medical College,Lahore,PHARM.D,5 Years,0,19-01-2024,Pharmacy
Yashfeen College Of Pharmacy,Lahore,PHARM.D,5 Years,0,05-10-2024,Pharmacy
Shahida Islam Medical Complex (pvt.) Ltd,Lodhran,PHARM.D,5 Years,0,30-11--0001,Pharmacy
Vertex Institute Of Science And Technology,Mardan,PHARM.D,5 Years,0,05-10-2024,Pharmacy
Obaid Noor Institute Of Medical Sciences,Mianwali,PHARM.D,5 Years,0,01-02-2022,Pharmacy
Akson College Of Pharmacy,Mir Pur (ajk),PHARM.D,5 Years,0,28-02-2022,Pharmacy
Allied College Of Health Sciences,Multan,PHARM.D,5 Years,0,04-03-2024,Pharmacy
Bakhtawar Amin Medical And Dental College,Multan,PHARM.D,5 Years,0,01-01-2025,Pharmacy
Institute Of Research & Advanced Studies Of Pharmacy,Multan,PHARM.D,5 Years,0,30-11-2022,Pharmacy
Legend College,Multan,PHARM.D,5 Years,0,03-12-2022,Pharmacy
Al-shifa Institute Of Health Sciences,Narowal,PHARM.D,5 Years,0,20-12-2025,Pharmacy
Quaid-e-azam College Of Pharmacy,Pattoki,PHARM.D,5 Years,0,30-11--0001,Pharmacy
Akhtar Saeed College Of Pharmacy,Rawalpindi,PHARM.D,5 Years,0,08-01-2022,Pharmacy
Comand College,Sahiwal,PHARM.D,5 Years,0,31-01-2022,Pharmacy
Quaid-e-azam College Of Pharmacy,Sahiwal,PHARM.D,5 Years,0,31-10-2019,Pharmacy
Al Raziq College Of Pharmacy,Sargodha,PHARM.D,5 Years,0,08-02-2022,Pharmacy
Ilm College Of Pharmaceutical Sciences,Sargodha,PHARM.D,5 Years,0,09-12-2022,Pharmacy
Niazi Medical And Dental College,Sargodha,PHARM.D,5 Years,0,30-09-2025,Pharmacy
Islam College Of Pharmacy,Sialkot,PHARM.D,5 Years,0,10-02-2016,Pharmacy
Pakistan Institute Of Proffesional Studies,Abbottabad,PHARM.D,5 Years,201000,09-09-2025,Pharmacy
Vertex Institute Of Science & Technology,Abbottabad,PHARM.D,5 Years,0,18-04-2025,Pharmacy
Women Institute Of Learning,Abbottabad,PHARM.D,5 Years,0,02-11-2023,Pharmacy
Bashir Institute Of Health Sciences,Islamabad,PHARM.D,5 Years,0,27-09-2023,Pharmacy
Prime Institute Of Health Sciences,Islamabad,DIP,2 Years,0,01-10-2025,Pharmacy
Rawal Institute Of Health Sciences,Islamabad,PHARM.D,5 Years,0,30-10-2025,Pharmacy
Gulab Devi Post Graduate Medical Institute,Lahore,PHARM.D,5 Years,0,30-11--0001,Pharmacy
Johar Institute Of Professional Studies,Lahore,PHARM.D,5 Years,0,15-11-2024,Pharmacy
Royal Institute Of Medical Sciences,Multan,PHARM.D,5 Years,0,10-12-2022,Pharmacy
South Punjab Institute Of Health Sciences,Multan,PHARM.D,5 Years,0,07-10-2019,Pharmacy
Margalla Institute Of Health Sciences,Rawalpindi,PHARM.D,5 Years,278000,15-03-2025,Pharmacy
Times Institute,Multan,BS,4 Years,60000,18-08-2025,Pharmacy
"University Of Balochistan, ( Sub-campus Mastung)",Mastung,PHARM.D,5 Years,40000,05-01-2026,Pharmacy
"Abdul Wali Khan University ( Anbar Campus, Swabi )",Swabi,PHARM.D,5 Years,0,13-08-2012,Pharmacy
Mohi-ud-din Islamic Medical College,Mir Pur (ajk),PHARM.D,5 Years,0,28-11-2016,Pharmacy
