Institute,City,Degree,Duration,Fee,Deadline,Subject
Women University Azad Jammu & Kashmir,Bagh,DPT,5 Years,0,01-09-2025,Physical Therapy
The Islamia University Of Bahawalpur,Bahawal Pur,DPT,5 Years,69965,30-06-2025,Physical Therapy
University Of Science & Technology,Bannu,DPT,5 Years,0,20-09-2025,Physical Therapy
The University Of Buner,Buner,DPT,5 Years,0,18-09-2025,Physical Therapy
Gomal University,D.i. Khan,DPT,5 Years,0,31-07-2025,Physical Therapy
Faisalabad Medical University,Faisalabad,DPT,5 Years,0,15-12-2025,Physical Therapy
University Of Haripur,Haripur,DPT,5 Years,65484,26-01-2026,Physical Therapy
"Shaheed Zulfiqar Ali Bhutto Medical University, Pims",Islamabad,DPT,5 Years,0,22-10-2025,Physical Therapy
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Physical Therapy
Jinnah Sindh Medical University,Karachi,DPT,5 Years,0,17-12-2025,Physical Therapy
University Of Karachi,Karachi,DPT,5 Years,104000,10-10-2025,Physical Therapy
Kohat University Of Science & Technology,Kohat,DPT,5 Years,70700,15-09-2025,Physical Therapy
Lahore College For Women University,Lahore,DPT,5 Years,46790,25-09-2025,Physical Therapy
University Of Health Sciences,Lahore,DPT,5 Years,0,25-07-2025,Physical Therapy
Shaheed Mohtarma Benazir Bhutto Medical University,Larkana,DPT,5 Years,100000,25-02-2025,Physical Therapy
University Of Loralai,Loralai,DP&RS,5 Years,11300,12-08-2024,Physical Therapy
Hazara University,Mansehra,DPT,5 Years,69211,01-09-2025,Physical Therapy
Mirpur University Of Science And Technology,Mir Pur (ajk),DPT,5 Years,0,15-08-2024,Physical Therapy
Multan University Of Science And Technology,Multan,PHARM.D,5 Years,0,24-01-2026,Physical Therapy
Nishtar Medical College / Nishter Hospital,Multan,DPT,5 Years,0,06-01-2026,Physical Therapy
University Of Azad Jammu & Kashmir,Muzaffarabad,DPT,5 Years,0,08-08-2025,Physical Therapy
University Of Okara,Okara,BS,4 Years,46000,18-07-2025,Physical Therapy
Bolan Medical College / Bolan Hospital,Quetta,DPT,5 Years,0,15-02-2022,Physical Therapy
Bolan University Of Medical & Health Sciences,Quetta,DPT,5 Years,42500,20-01-2026,Physical Therapy
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,DPT,5 Years,40250,05-01-2026,Physical Therapy
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,DPT,5 Years,0,20-08-2025,Physical Therapy
University Of Sialkot,Sialkot,DPT,5 Years,176000,01-03-2025,Physical Therapy
The Begum Nusrat Bhutto Women University,Sukkur,DPT,5 Years,95500,04-06-2025,Physical Therapy
University Of Swabi,Swabi,DPT,5 Years,51270,16-09-2025,Physical Therapy
The University Of Veterinary & Animal Sciences,Swat,DPT,5 Years,18000,30-09-2025,Physical Therapy
The University Of Modern Sciences,Tando Muhammad Khan,DPT,5 Years,0,22-11-2025,Physical Therapy
The University Of Faisalabad,Faisalabad,DPT,5 Years,0,07-10-2023,Physical Therapy
The University Of Chenab,Gujrat,DPT,5 Years,0,03-01-2026,Physical Therapy
Foundation University,Islamabad,DPT,5 Years,340000,14-01-2026,Physical Therapy
Ibadat International University Islamabad,Islamabad,DPT,5 Years,124500,10-09-2023,Physical Therapy
Muslim Youth University,Islamabad,BS,4 Years,0,29-10-2025,Physical Therapy
Sir Syed Case Institute Of Technology,Islamabad,DPT,5 Years,0,13-01-2026,Physical Therapy
Bahria University Medical & Dental College,Karachi,DPT,5 Years,185274,18-12-2025,Physical Therapy
Dadabhoy Institute Of Higher Education,Karachi,DPT,5 Years,0,31-03-2021,Physical Therapy
Hamdard University,Karachi,DPT,5 Years,215000,15-03-2025,Physical Therapy
Indus University,Karachi,DPT,5 Years,143444,31-10-2025,Physical Therapy
Jinnah University For Women,Karachi,DPT,5 Years,90000,15-11-2024,Physical Therapy
Metropolitan University Karachi,Karachi,DPT,5 Years,0,15-12-2025,Physical Therapy
Nazeer Hussain University,Karachi,DPT,5 Years,0,17-12-2023,Physical Therapy
Newports Institute Of Communications And Economics,Karachi,DPT,5 Years,0,20-01-2023,Physical Therapy
Sohail University,Karachi,DPT,5 Years,0,17-10-2024,Physical Therapy
Zia-ud-din Medical University,Karachi,DPT,5 Years,173000,26-08-2025,Physical Therapy
Green International University,Lahore,DPT,5 Years,0,02-09-2025,Physical Therapy
Hajvery University,Lahore,DPT,5 Years,202000,26-10-2024,Physical Therapy
Lahore Leads University,Lahore,DPT,5 Years,0,04-09-2025,Physical Therapy
Lahore University Of Biological & Applied Sciences,Lahore,DPT,5 Years,0,30-08-2025,Physical Therapy
Nur International University,Lahore,DPT,5 Years,276308,18-01-2025,Physical Therapy
Qarshi University (lhr),Lahore,DPT,5 Years,0,12-07-2025,Physical Therapy
Rashid Latif Khan University,Lahore,DPT,5 Years,0,25-10-2025,Physical Therapy
University Of Central Punjab,Lahore,DPT,5 Years,415750,10-10-2024,Physical Therapy
Mohi-ud-din Islamic University,Mir Pur (ajk),DPT,5 Years,0,13-07-2024,Physical Therapy
Northern University,Nowshera,DPT,5 Years,30250,16-02-2026,Physical Therapy
Abasyn University,Peshawar,DPT,5 Years,0,01-02-2026,Physical Therapy
Cecos University Of Information Tech. & Emerging Sciences,Peshawar,DPT,5 Years,140000,28-07-2025,Physical Therapy
City University Of Science & Information Technology,Peshawar,DPT,5 Years,0,10-11-2025,Physical Therapy
Iqra National University,Peshawar,DPT,5 Years,92808,07-02-2026,Physical Therapy
Al- Hamd Islamic University,Quetta,DPT,5 Years,0,18-08-2024,Physical Therapy
"Government College University Faisalabad, Chiniot Campus",Chiniot,DPT,5 Years,0,24-06-2025,Physical Therapy
"Kmu Institute Of Health Sciences, G. I. Khan Campus",D.i. Khan,DPT,5 Years,0,11-09-2025,Physical Therapy
University Of Sargodha ( Women Campus Faisalabad ),Faisalabad,DPT,5 Years,0,18-11-2017,Physical Therapy
"University Of Health Sciences, Kala Shah Kaku Campus",Kala Shah Kaku,DPT,5 Years,0,30-01-2020,Physical Therapy
Bahria University ( Karachi Campus ),Karachi,DPT,5 Years,185274,31-01-2026,Physical Therapy
University Of Sargodha ( Mandi Baha-ud-din Campus ),Mandi Baha-ud-din,DPT,5 Years,0,30-09-2017,Physical Therapy
The Islamic University Of Bahawalpur[rahimyar Khan Campus],Rahim Yar Khan,DPT,5 Years,69965,30-06-2025,Physical Therapy
Kmu Institute Of Health Sciences,Swabi,DPT,5 Hours,0,11-09-2025,Physical Therapy
Kmu Institute Of Health Sciences,Swat,DPT,5 Years,0,11-09-2025,Physical Therapy
"Riphah International University, Chakdara Campus",Chakdara,DPT,5 Years,0,31-08-2023,Physical Therapy
"Riphah International University, Faisalabad Campus",Faisalabad,DPT,5 Years,312500,18-10-2025,Physical Therapy
Abasyn University (sub Campus),Islamabad,DPT,5 Years,0,28-12-2025,Physical Therapy
Hamdard University - Islamabad Campus,Islamabad,DPT,5 Years,0,15-07-2023,Physical Therapy
"Iqra University, Chak Shahzad Campus",Islamabad,DPT,5 Years,165360,29-02-2024,Physical Therapy
The University Of Lahore ( Islamabad Campus ),Islamabad,DPT,5 Years,0,11-10-2019,Physical Therapy
Riphah International University ( Rawalpindi Campus ),Rawalpindi,DPT,5 Years,0,01-10-2020,Physical Therapy
"The University Of Lahore, Sub Campus",Sargodha,DPT,5 Years,0,08-02-2025,Physical Therapy
"Zia Ud Din University, Sukkur Campus",Sukkur,DPT,5 Years,0,26-08-2025,Physical Therapy
"Iqra National Univesity, Swat Campus",Swat,BS,4 Years,88308,30-09-2025,Physical Therapy
Abwa Medical College,Faisalabad,DPT,5 Years,0,31-01-2021,Physical Therapy
Frontier Institute Of Medical Sciences [haripur],Haripur,DPT,5 Years,0,20-12-2021,Physical Therapy
"Pak- Austria Fachhuochschule, Institute Of Applied Sciences And Technology",Haripur,DPT,5 Years,0,03-01-2025,Physical Therapy
Dakson Institute Of Health Sciences,Islamabad,DPT,5 Years,0,19-03-2022,Physical Therapy
Institute Of Health Sciences,Islamabad,DPT,5 Hours,0,11-09-2025,Physical Therapy
Pakistan Institute Of Medical Sciences,Islamabad,DPT,5 Years,0,21-09-2015,Physical Therapy
National Institute Of Physical Therapy And Rehabilitation Sciences,Karachi,DPT,5 Years,0,10-12-2020,Physical Therapy
Sindh Institute Of Physical Medecine & Rehabilitaion,Karachi,DPT,5 Years,0,31-12-2025,Physical Therapy
Bacha Khan Medical College,Mardan,DPT,5 Years,0,28-11-2025,Physical Therapy
Bhitai Dental And Medical College,Mir Pur Khas,DPT,5 Years,0,16-01-2021,Physical Therapy
Frontier College Of Rehabilitation Sciences,Abbottabad,DPT,5 Years,0,05-06-2021,Physical Therapy
Lims College,Abbottabad,DPT,5 Years,0,28-03-2020,Physical Therapy
Salman Postgraduate College Of Chemical & Social Sciences,Abbottabad,DPT,5 Years,0,05-09-2025,Physical Therapy
Vertex College Of Science & Technology,Abbottabad,DPT,5 Years,0,02-11-2018,Physical Therapy
Bahawal Pur Medical & Dental College,Bahawal Pur,DPT,5 Years,0,28-01-2021,Physical Therapy
Bahawalpur Institute Of Medical Sciences,Bahawal Pur,DPT,5 Years,0,18-02-2023,Physical Therapy
King College Of Health Sciences,Bahawal Pur,DPT,5 Years,0,16-09-2017,Physical Therapy
National College Of Physical Therapy,Bahawal Pur,DPT,5 Years,0,30-11-2022,Physical Therapy
Sutlej College Of Allied Health Sciences,Bahawal Pur,DPT,5 Years,0,22-01-2021,Physical Therapy
Aziz Fatimah Medical And Dental College,Faisalabad,DPT,5 Years,0,29-12-2025,Physical Therapy
Danish Degree College,Faisalabad,DPT,5 Years,0,20-11-2016,Physical Therapy
Independent Medical College,Faisalabad,DPT,5 Years,0,25-09-2024,Physical Therapy
Layallpur Institute Of Management & Sciences ( Lims ),Faisalabad,DPT,5 Years,0,14-10-2017,Physical Therapy
Shifa College For Women,Faisalabad,DPT,5 Years,0,16-11-2019,Physical Therapy
Ahmed College Of Pharmacy & Institute Of Allied Medical Sciences,Gujranwala,DPT,5 Years,0,05-10-2018,Physical Therapy
Mukabbir Colelge,Gujrat,DPT,5 Years,0,22-12-2022,Physical Therapy
Global Institute Of Medical & Allied Health Sciences,Hyderabad,DPT,5 Years,0,04-03-2022,Physical Therapy
Hyderabad Institute Of Physical Medicine And Rehabilitation,Hyderabad,DPT,5 Years,0,12-02-2024,Physical Therapy
Moomal Institute Of Physiotherapy & Allied Health Sciences,Hyderabad,DPT,5 Years,0,06-03-2022,Physical Therapy
Al Wateen Institute Of Medical Sciences,Islamabad,DPT,5 Years,0,22-02-2019,Physical Therapy
Capital College Of Health Sciences,Islamabad,DPT,5 Years,0,20-09-2022,Physical Therapy
Hbs Medical And Dental College,Islamabad,DPT,5 Years,0,27-12-2025,Physical Therapy
Health Aid College Of Nursing,Islamabad,DPT,5 Years,0,01-09-2025,Physical Therapy
Islamabad Medical & Dental College,Islamabad,DPT,5 Years,0,21-02-2022,Physical Therapy
National Institute Of Modern Studies,Islamabad,DPT,5 Years,0,06-02-2022,Physical Therapy
"Pakistan Institute Of Professional Sciences, Bhara Kahu",Islamabad,DPT,5 Years,0,28-09-2019,Physical Therapy
Al Hamd Institute Of Physiotherapy & Health Sciences,Karachi,DPT,5 Years,0,31-01-2022,Physical Therapy
Altamash College Of Physical Therapy,Karachi,DPT,5 Years,0,28-02-2025,Physical Therapy
"Capstone College, School Of Physical Therapy",Karachi,DPT,5 Years,0,05-02-2022,Physical Therapy
Indus Institute Of Physical Therapy And Rehabilitation,Karachi,DPT,5 Years,0,10-01-2023,Physical Therapy
Jinnah Medical & Dental College,Karachi,DPT,5 Years,0,01-11-2024,Physical Therapy
Karache Institute Of Physiotherapy & Rehabilitation Sciences,Karachi,DPT,5 Years,0,31-01-2020,Physical Therapy
Karachi Institute Of Health Sciences,Karachi,DPT,5 Years,0,07-09-2023,Physical Therapy
M C College Of Allied Health Sciences,Karachi,DPT,5 Years,0,06-02-2021,Physical Therapy
Pakisatn Institute Of Rehabilitation & Medical Sciences,Karachi,DPT,5 Years,0,22-03-2024,Physical Therapy
Sindh Institute Of Medical And Allied Sciences,Karachi,DPT,5 Years,0,10-02-2023,Physical Therapy
Taqwa Institute Of Physiotherapy & Health Sciences,Karachi,DPT,5 Years,0,26-02-2023,Physical Therapy
United College Of Physical Therapy,Karachi,DPT,5 Years,0,07-02-2025,Physical Therapy
United Medical And Dental College,Karachi,DPT,5 Years,0,11-01-2019,Physical Therapy
A C E Institute Of Medical And Emerging Sciences,Lahore,DPT,5 Years,0,09-12-2023,Physical Therapy
Advance Life College Of Medical Sciences,Lahore,DPT,5 Years,0,30-11-2016,Physical Therapy
Aimec College,Lahore,DPT,5 Years,0,04-11-2019,Physical Therapy
Akhtar Saeed Medical And Dental College,Lahore,DPT,5 Years,0,15-11-2025,Physical Therapy
Amna Inayat Medical & Educational Campus,Lahore,DPT,5 Years,0,05-01-2023,Physical Therapy
Central Park College Of Allied Health Sciences,Lahore,DPT,g5 Years,0,09-11-2025,Physical Therapy
Central Park Medical College,Lahore,DPT,5 Years,0,03-03-2022,Physical Therapy
City Institute Of Management & Emerging Sciences,Lahore,DPT,5 Years,0,26-10-2019,Physical Therapy
Cmh Lahore Medical College,Lahore,DPT,5 Years,0,31-12-2025,Physical Therapy
Fmh College Of Medicine & Dentistry,Lahore,DPT,5 Years,0,17-12-2022,Physical Therapy
Ghurki College Of Nursing,Lahore,DPT,5 Years,0,31-10-2024,Physical Therapy
Gulab Devi Educational Complex,Lahore,DPT,5 Years,0,30-11--0001,Physical Therapy
Hussain College Of Health Sciences,Lahore,DPT,5 Years,0,31-08-2025,Physical Therapy
Informatics Group Of Colleges,Lahore,DPT,5 Years,0,31-07-2024,Physical Therapy
Kasur Institute Of Allied Health Sciences,Lahore,DPT,5 Years,0,01-12-2022,Physical Therapy
Khaldunia Institute Of Technology And Applied Sciences College,Lahore,DPT,4 Years,0,09-02-2022,Physical Therapy
Psrd College Of Rehabilitation Sciences,Lahore,DPT,5 Years,0,15-08-2025,Physical Therapy
Shalamar Medical & Dental College,Lahore,DPT,5 Years,0,31-10-2016,Physical Therapy
Yashfeen College Of Pharmacy,Lahore,DPT,5 Years,0,05-10-2024,Physical Therapy
Dr Yahya Institute Of Medical Sciences,Layyah,DPT,5 Years,0,15-12-2021,Physical Therapy
Bhitai Institute Of Physiotherapy And Rehabilitation Sciences,Mir Pur Khas,DPT,5 Years,0,15-09-2021,Physical Therapy
Bakhtawar Amin Medical And Dental College,Multan,DPT,5 Years,0,01-01-2025,Physical Therapy
Multan Medical And Dental College,Multan,DPT,5 Years,0,03-08-2024,Physical Therapy
The Next College,Multan,DPT,5 Years,0,30-10-2020,Physical Therapy
Al-shifa Institute Of Health Sciences,Narowal,DPT,4 Years,0,20-12-2025,Physical Therapy
Sahara College Of Pharmacy & Allied Health Sciences,Narowal,DPT,5 Years,0,01-12-2018,Physical Therapy
Nawabshah Institute Of Medical And Health Sciences,Nawab Shah,DPT,5 Years,0,30-03-2023,Physical Therapy
Ahmad Medical Institute,Peshawar,DPT,5 Years,0,28-11-2020,Physical Therapy
College Of Physical Medicine & Rehabilitation,Peshawar,DPT,5 Years,0,30-11-2021,Physical Therapy
Hafeez Institute Of Medical Sciences,Peshawar,DPT,5 Years,0,13-12-2021,Physical Therapy
Institute Of Health Sciences,Peshawar,DPT,5 Years,0,22-01-2022,Physical Therapy
P E F University College,Peshawar,DPT,5 Years,0,31-10-2025,Physical Therapy
Nisa Institute Of Science & Arts,Quetta,DPT,5 Years,0,19-09-2024,Physical Therapy
Hassan Institute Of Health Sciences,Rahim Yar Khan,DPT,5 Years,75000,14-01-2023,Physical Therapy
"Al Wateen Institute Of Medical Sciences, Rawalpindi Campus",Rawalpindi,DPT,5 Years,0,23-02-2019,Physical Therapy
