Institute,City,Degree,Duration,Fee,Deadline,Subject
Abbottabad University Of Science And Technology,Abbottabad,BS,4 Years,28500,26-08-2025,Physics
Women University Azad Jammu & Kashmir,Bagh,BS,4 Years,43110,01-09-2025,Physics
The Government Sadiq College Women University,Bahawal Pur,AD,2 Years,0,30-08-2024,Physics
The Government Sadiq College Women University,Bahawal Pur,BS,4 Years,31340,20-06-2025,Physics
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,47115,30-06-2025,Physics
University Of Science & Technology,Bannu,BS (HONS),4 Years,16400,20-09-2025,Physics
Thal University,Bhakkar,BS,4 Years,30000,10-01-2025,Physics
The University Of Buner,Buner,BS,4 Years,0,15-08-2025,Physics
University Of Malakand,Chakdara,BS,4 Years,20000,15-09-2025,Physics
Bacha Khan University,Charsadda,BS,4 Years,37000,22-09-2025,Physics
University Of Chitral,Chitral,BS,4 Years,0,30-10-2023,Physics
Ghazi University,D.g.khan,BS,4 Years,21300,04-07-2025,Physics
University Of Education [ D.g. Khan Campus ],D.g.khan,BS,4 Years,20214,02-09-2025,Physics
Gomal University,D.i. Khan,AD,2 Years,0,09-01-2026,Physics
Gomal University,D.i. Khan,B.Sc. [Hons],4 Years,47400,09-01-2026,Physics
Fata University,Darra Adam Khail,BS,4 Years,0,16-11-2024,Physics
Government College University,Faisalabad,BS,4 Years,28200,12-01-2026,Physics
Government College Women University,Faisalabad,BS,4 Years,33100,31-07-2025,Physics
University Of Agriculture,Faisalabad,BS,4 Years,60000,28-07-2025,Physics
University Of Education [ Faisalabad Campus ],Faisalabad,BS,4 Years,20214,02-09-2025,Physics
Karakuram International University,Gilgit,BS,4 Years,33400,10-08-2025,Physics
University Of Gujrat,Gujrat,BS,4 Years,68010,15-08-2025,Physics
University Of Haripur,Haripur,BS,4 Years,20109,26-01-2026,Physics
Government College University Hyderabad,Hyderabad,BS,4 Years,11000,15-09-2025,Physics
Allama Iqbal Open University,Islamabad,BS,4 Years,43950,10-02-2026,Physics
Comsats University Islamabad,Islamabad,BS,4 Years,112200,17-12-2025,Physics
Federal Urdu University Of Arts Science & Technology Islamabad,Islamabad,AD,2 Years,75000,30-01-2026,Physics
Institute Of Space Technology,Islamabad,BS,4 Years,83105,31-07-2025,Physics
International Islamic University,Islamabad,BS,4 Years,74160,31-12-2025,Physics
National University Of Science & Technology,Islamabad,BS,4 Years,174050,25-01-2026,Physics
Pakistan Institute Of Engineering & Applied Sciences,Islamabad,BS,4 Years,104800,28-03-2025,Physics
Quaid-e-azam University,Islamabad,BS,4 Years,54565,29-07-2025,Physics
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Physics
University Of Jhang,Jhang,BS,4 Years,0,15-09-2025,Physics
Ned University Of Engineering & Technology,Karachi,BS,4 Years,46670,20-05-2025,Physics
University Of Karachi,Karachi,BS,4 Years,18500,28-11-2025,Physics
Khushal Khan Khattak University,Karak,BS,4 Years,34000,19-01-2026,Physics
Shah Abdul Latif University,Khair Pur,BS,4 Years,27000,22-09-2025,Physics
The Benazir Butto Shaheed University Of Technology & Skill Development,Khair Pur,BS,4 Years,23250,23-06-2025,Physics
Kohat University Of Science & Technology,Kohat,BS,4 Years,27900,15-09-2025,Physics
The University Of Management Sciences & Information Technology,Kotli,BS,4 Years,0,10-09-2016,Physics
University Of Kotli,Kotli,BS,4 Years,0,15-08-2025,Physics
Government College University Lahore,Lahore,B.Sc. [Hons],4 Years,52000,11-12-2025,Physics
Kinnaird College For Women,Lahore,BS,4 Years,90200,01-12-2025,Physics
Lahore College For Women University,Lahore,BS,4 Years,52150,25-09-2025,Physics
University Of Education,Lahore,BS,4 Years,20214,09-01-2026,Physics
"University Of Engineering & Technology, Lahore",Lahore,BS,4 Years,62427,22-03-2026,Physics
University Of The Punjab,Lahore,BS,4 Years,41940,25-09-2025,Physics
The University Of Lakki Marwat,Lakki Marwat,BS,4 Years,17100,25-09-2024,Physics
Punjab University Of Technology  [ Rasul],Mandi Baha-ud-din,BS,4 Years,0,25-09-2025,Physics
Hazara University,Mansehra,B.Sc. [Hons],4 Years,38980,01-09-2025,Physics
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,45000,18-08-2025,Physics
Women University Mardan,Mardan,BS,4 Years,41400,10-09-2025,Physics
University Of Mianwali,Mianwali,BS,4 Years,0,03-10-2025,Physics
Mirpur University Of Science And Technology,Mir Pur (ajk),BS,4 Years,54300,15-10-2024,Physics
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,27150,02-01-2026,Physics
Muhammad Nawaz Sharif University Of Engineering And Technology,Multan,BS,4 Years,35300,12-02-2024,Physics
Nfc Institute Of Engineering & Technology,Multan,BS,4 Years,33700,01-08-2025,Physics
The Women University,Multan,BS,4 Years,25750,07-01-2025,Physics
University Of Education [ Multan Campus ],Multan,BS,4 Years,20214,02-09-2025,Physics
Kohsar University,Murree,BS,4 Years,0,26-02-2026,Physics
University Of Azad Jammu & Kashmir,Muzaffarabad,BS,4 Years,0,08-08-2025,Physics
Baba Guru Nanak University,Nankana Sahib,BS,4 Years,21350,19-09-2025,Physics
