Institute,City,Degree,Duration,Fee,Deadline,Subject
Abbottabad University Of Science And Technology,Abbottabad,B.Sc.,4 Years,27500,26-08-2025,Political Science
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,43015,30-06-2025,Political Science
University Of Science & Technology,Bannu,BS,4 Years,16400,20-09-2025,Political Science
The University Of Buner,Buner,BS,4 Years,0,15-08-2025,Political Science
University Of Malakand,Chakdara,BS,4 Years,0,15-09-2025,Political Science
Bacha Khan University,Charsadda,BS,4 Years,32950,22-09-2025,Political Science
University Of Chitral,Chitral,BS,4 Years,0,30-10-2023,Political Science
Ghazi University,D.g.khan,B.Sc. [Hons],4 Years,21300,04-07-2025,Political Science
Gomal University,D.i. Khan,BS,4 Years,40000,09-01-2026,Political Science
Gomal University,D.i. Khan,AD,2 Years,0,09-01-2026,Political Science
Fata University,Darra Adam Khail,BS,4 Years,22000,16-08-2025,Political Science
Government College University,Faisalabad,BS,4 Years,24300,24-06-2025,Political Science
Government College Women University,Faisalabad,BS,4 Years,30200,31-07-2025,Political Science
Karakuram International University,Gilgit,BS,4 Years,33400,10-08-2025,Political Science
University Of Gujrat,Gujrat,BS,4 Years,66590,15-08-2025,Political Science
University Of Haripur,Haripur,BS,4 Years,18648,26-01-2026,Political Science
Government College University Hyderabad,Hyderabad,BS,4 Years,0,15-09-2025,Political Science
Allama Iqbal Open University,Islamabad,BS,4 Years,0,10-02-2026,Political Science
International Islamic University,Islamabad,BS,4 Years,50400,31-12-2025,Political Science
Quaid-e-azam University,Islamabad,BS,4 Years,54565,29-07-2025,Political Science
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Political Science
University Of Karachi,Karachi,BS,4 Years,15000,28-11-2025,Political Science
Khushal Khan Khattak University,Karak,BS,4 Years,34000,19-01-2026,Political Science
Shah Abdul Latif University,Khair Pur,BS,4 Years,14000,22-09-2025,Political Science
Kohat University Of Science & Technology,Kohat,BS,4 Years,24100,15-09-2025,Political Science
University Of Kotli,Kotli,BS,4 Years,0,31-12-2024,Political Science
Government College University Lahore,Lahore,BA [HONS],4 Years,48000,08-08-2025,Political Science
Kinnaird College For Women,Lahore,BS,4 Years,88200,01-12-2025,Political Science
Lahore College For Women University,Lahore,BA [HONS],4 Years,46790,25-09-2025,Political Science
University Of The Punjab,Lahore,BS,4 Years,32940,25-09-2025,Political Science
The University Of Lakki Marwat,Lakki Marwat,BS,4 Years,14600,25-09-2024,Political Science
"Lasbela University Of Agriculture, Water And Marine Sciences, Uthal",Lasbela,BS,4 Years,16000,20-10-2025,Political Science
University Of Loralai,Loralai,BS,4 Years,11300,18-08-2025,Political Science
Punjab University Of Technology  [ Rasul],Mandi Baha-ud-din,BS,4 Years,0,25-09-2025,Political Science
Hazara University,Mansehra,BS,4 Years,38980,01-09-2025,Political Science
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,45000,18-08-2025,Political Science
Women University Mardan,Mardan,BS,4 Years,37400,28-01-2026,Political Science
University Of Mianwali,Mianwali,BS,4 Years,0,30-08-2024,Political Science
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,20150,15-09-2025,Political Science
Kohsar University,Murree,BS,4 Years,0,14-02-2025,Political Science
University Of Azad Jammu & Kashmir,Muzaffarabad,BS,4 Years,0,08-08-2025,Political Science
University Of Okara,Okara,CERT,4 Years,46000,18-07-2025,Political Science
Islamia College University,Peshawar,BS,4 Years,62000,16-09-2025,Political Science
Shaheed Benazir Bhutto Women University,Peshawar,BS,4 Years,29513,28-09-2025,Political Science
University Of Peshawar,Peshawar,BS,4 Years,71000,23-09-2025,Political Science
University Of Balochistan,Quetta,BS,4 Years,32000,11-08-2025,Political Science
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,BS,4 Years,0,03-10-2022,Political Science
Fatima Jinnah Women University,Rawalpindi,BS,4 Years,52050,18-08-2025,Political Science
Rawalpindi Women University,Rawalpindi,BS,4 Years,33065,03-09-2025,Political Science
University Of Sargodha,Sargodha,BS,4 Years,30000,15-12-2025,Political Science
Government College Women University,Sialkot,BS,4 Years,21000,22-01-2026,Political Science
University Of Swabi,Swabi,BS,4 Years,51270,16-09-2025,Political Science
Women University Swabi,Swabi,BS,4 Years,42460,12-09-2025,Political Science
University Of Turbat,Turbat,BS,4 Years,18000,21-10-2024,Political Science
Qurtuba University Of Science & Technology [di Khan],D.i. Khan,BS,4 Years,0,25-08-2025,Political Science
Gift University,Gujranwala,BS,4 Years,83800,01-02-2026,Political Science
Riphah International University,Islamabad,BS,4 Years,118082,30-07-2025,Political Science
Beaconhouse National University,Lahore,BS,4 Years,0,30-12-2025,Political Science
Forman Christian College,Lahore,BA [HONS],4 Years,358200,30-11-2025,Political Science
Lahore Leads University,Lahore,BS,4 Years,140000,04-09-2025,Political Science
Lahore School Of Economics,Lahore,BS (HONS),4 Years,341000,28-06-2025,Political Science
Lahore University Of Management Sciences,Lahore,B.Sc. [Hons],4 Years,680400,10-03-2026,Political Science
Minhaj University,Lahore,BS,4 Years,93750,31-10-2025,Political Science
"National College Of Business Administration And Economics, Lahore",Lahore,BS,4 Years,0,26-02-2023,Political Science
University Of Central Punjab,Lahore,BS,4 Years,0,10-10-2024,Political Science
University Of Management And Technology,Lahore,BS,4 Years,124750,31-07-2024,Political Science
Abasyn University,Peshawar,BS,4 Years,0,01-02-2026,Political Science
City University Of Science & Information Technology,Peshawar,BS,4 Years,160000,24-02-2023,Political Science
Iqra National University,Peshawar,BS,4 Years,0,16-03-2024,Political Science
"The Islamia University Of Bahawalpur, Ahmadpur East Campus",Ahmadpur East,BS,4 Years,43015,30-06-2024,Political Science
The Islamia University Of Bahawalpur[sub Campus],Bahawal Nagar,BS,4 Years,43015,10-02-2022,Political Science
"Kohat University Of Science And Technology, (sub Campus)",Hangu,BS,4 Years,56800,15-09-2025,Political Science
"Federal Urdu University Of Arts  Science & Technology, Karachi",Karachi,BA [HONS],4 Years,20600,29-11-2024,Political Science
University Of Gujrat (lahore Campus),Lahore,BS,4 Years,0,25-08-2018,Political Science
"The Islamia University Of Bahawalpur, Liaqatpur Campus",Liaqatpur,BS,4 Years,43015,30-06-2025,Political Science
The Islamic University Of Bahawalpur[rahimyar Khan Campus],Rahim Yar Khan,BS,4 Years,43015,25-12-2023,Political Science
University Of Gujrat (rawalpindi Campus),Rawalpindi,BS,4 Years,0,01-10-2016,Political Science
"Shaheed Benazir Bhutto Women University Peshawar, Sub Campus",Swabi,BS,4 Years,0,02-09-2014,Political Science
"Gomal University, Tank Campus",Tank,BS,4 Years,0,31-07-2025,Political Science
Shaheed Benazir Bhutto University (sub Campus),Wari,BS,4 Years,0,10-10-2025,Political Science
Qurtuba University Of Science & Information Technology,Peshawar,BS,4 Years,0,08-11-2025,Political Science
Government Postgraduate College,Bannu,BS,4 Years,0,31-08-2013,Political Science
Government Girls Degree College No1 Charsadda,Charsadda,BS,4 Years,0,27-08-2018,Political Science
Government Girls Degree College Umerzai Charsadda,Charsadda,BS,4 Years,0,27-08-2018,Political Science
Government Postgraduate College,Charsadda,BS,4 Years,0,27-08-2018,Political Science
Government Degree College,Chitral,BS,4 Years,0,07-09-2012,Political Science
Government Degree College[block-17],D.g.khan,BS,4 Years,0,05-10-2024,Political Science
Government Post Graduate College [samanabad],Faisalabad,BS,4 Years,0,23-09-2023,Political Science
Government Post Graduate Islamia College,Gujranwala,BS,4 Years,0,08-10-2025,Political Science
Government Post Graduate College,Jhang,BS,4 Years,0,30-09-2025,Political Science
Government Post Graduate College  For Women,Kohat,BS,4 Years,0,22-08-2014,Political Science
Government Postgraduate College,Kohat,BS,4 Years,0,20-08-2014,Political Science
Apwa Degree College For Women[jail Road],Lahore,CERT,4,3500,02-10-2024,Political Science
Government College For Women [gulberg],Lahore,BS,4 Years,0,15-05-2024,Political Science
Government College For Women[gulberg],Lahore,BS,4 Years,0,28-10-2022,Political Science
Government College Of Science[wahdat Road],Lahore,BS,4 Years,0,14-09-2024,Political Science
Government College [baghbanpura],Lahore,BS,4 Years,0,05-11-2022,Political Science
Government College [township],Lahore,BS,4 Years,0,07-09-2024,Political Science
Government Dyal Singh College[laxmi Chowk],Lahore,BS,4 Years,3500,31-10-2022,Political Science
Government Fatima Jinnah College For Women,Lahore,BS (HONS),4 Years,0,05-10-2020,Political Science
Government Islamia College [civil Lines],Lahore,BS,4 Years,0,03-10-2020,Political Science
Government Islamia College [railway Road],Lahore,BS,4 Years,0,15-10-2021,Political Science
Government Islamia Post Graduate College For Women,Lahore,BS,4 Years,0,17-09-2019,Political Science
Government Islamia Post Graduate College For Women [cooper Road],Lahore,BS,4 Years,0,21-09-2023,Political Science
Government M.a.o College,Lahore,BS (HONS),4 Years,0,30-11-1999,Political Science
Government Post Graduate College For Women [samanabad],Lahore,BS (HONS),4 Years,0,28-10-2021,Political Science
Government Queen Marry College,Lahore,BS,4 Years,0,15-07-2024,Political Science
University Of Home Economics,Lahore,BS,4 Years,0,25-07-2025,Political Science
Government Post Graduate College,Lakki Marwat,BS,4 Years,0,26-08-2016,Political Science
Government Post Graduate College,Mandi Baha-ud-din,BS,4 Years,0,26-10-2020,Political Science
Government Postgraduate College,Mansehra,BS,4 Years,0,22-08-2015,Political Science
Emerson University Multan,Multan,BS,4 Years,0,15-08-2025,Political Science
Government Post Graduate College,Nowshera,BS,4 Years,0,08-09-2014,Political Science
Government Degree College For Bys[hayatabad],Peshawar,BS,4 Years,0,31-08-2018,Political Science
Government Superior Science College,Peshawar,BS,4 Years,0,20-08-2016,Political Science
Government College [quet],Quetta,BS,4 Years,0,05-04-2025,Political Science
Government Girls College,Quetta,BS,4 Years,0,05-04-2025,Political Science
Government Girls Degree College Jinnah Town,Quetta,BS,4 Years,0,20-04-2025,Political Science
Khawaj Farid Government Post Graduate College,Rahim Yar Khan,BS,4,0,10-10-2020,Political Science
Government Post Graduate Gordon College,Rawalpindi,BS,4 Years,0,08-09-2023,Political Science
Government Postgraduate College For Women[satellite Town],Rawalpindi,BS,4 Years,0,08-09-2013,Political Science
