Institute,City,Degree,Duration,Fee,Deadline,Subject
Gomal University,D.i. Khan,BS,4 Years,0,09-01-2026,Project Management
Karakuram International University,Gilgit,B.Sc.,4 Years,35600,10-08-2025,Project Management
International Islamic University,Islamabad,BS,4 Years,62100,31-12-2025,Project Management
University Of Peshawar,Peshawar,BS,4 Years,0,23-09-2025,Project Management
Riphah International University,Islamabad,BS,4 Years,102000,30-07-2025,Project Management
Jinnah University For Women,Karachi,BS,4 Years,76000,30-05-2025,Project Management
Karachi Institute Of Economics & Technology,Karachi,BS,4 Years,93450,06-01-2024,Project Management
Lahore Leads University,Lahore,BS,4 Years,0,04-09-2025,Project Management
Riphah International University ( Rawalpindi Campus ),Rawalpindi,BS,4 Years,0,19-09-2018,Project Management
Brains Institute,Peshawar,AD,2 Years,0,30-12-2022,Project Management
