Institute,City,Degree,Duration,Fee,Deadline,Subject
Abbottabad University Of Science And Technology,Abbottabad,BS,4 Years,27500,26-08-2025,Psychology
Women University Azad Jammu & Kashmir,Bagh,BS,4 Years,36260,01-09-2025,Psychology
The Government Sadiq College Women University,Bahawal Pur,AD,2 Years,0,30-08-2024,Psychology
Kalam Bibi International Women Institute,Bannu,BS,4 Years,0,18-09-2025,Psychology
University Of Science & Technology,Bannu,BS,4 Years,0,20-09-2025,Psychology
Thal University,Bhakkar,BS,4 Years,30000,10-01-2025,Psychology
The University Of Buner,Buner,BS,4 Years,0,15-08-2025,Psychology
University Of Malakand,Chakdara,BS,4 Years,0,31-07-2025,Psychology
"Bahauddin Zakria University,multan[d.g.khan Campus]",D.g.khan,BS,4 Years,0,31-01-2015,Psychology
Gomal University,D.i. Khan,BS,4 Years,0,31-07-2025,Psychology
Gomal University,D.i. Khan,AD,2 Years,0,31-07-2025,Psychology
Fata University,Darra Adam Khail,BS,4 Years,22000,16-08-2025,Psychology
Government College Women University,Faisalabad,BS,4 Years,30200,31-07-2025,Psychology
Government College Women University,Faisalabad,AD,2 Years,0,31-07-2025,Psychology
Karakuram International University,Gilgit,BS,4 Years,33400,10-08-2025,Psychology
University Of Gujrat,Gujrat,BS,4 Years,66590,15-08-2025,Psychology
University Of Haripur,Haripur,BS,4 Years,42044,26-01-2026,Psychology
Allama Iqbal Open University,Islamabad,BS,4 Years,0,10-02-2026,Psychology
"Bahria University, E-8 Campus",Islamabad,BS,4 Years,92400,18-12-2025,Psychology
Comsats University Islamabad,Islamabad,BS,4 Years,112200,17-12-2025,Psychology
International Islamic University,Islamabad,BS (HONS),4 Years,50400,31-12-2025,Psychology
"National University Of Modern Languages, Islamabad",Islamabad,BS,4 Years,84580,09-12-2025,Psychology
National University Of Science & Technology,Islamabad,BS,4 Years,253080,25-01-2026,Psychology
Quaid-e-azam University,Islamabad,BS,4 Years,54565,29-07-2025,Psychology
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Psychology
University Of Jhang,Jhang,BS,4 Years,0,15-09-2025,Psychology
Dow University Of Health Sciences,Karachi,BS,4 Years,0,20-12-2025,Psychology
University Of Karachi,Karachi,BS,4 Years,16500,07-11-2025,Psychology
Khushal Khan Khattak University,Karak,BS,4 Years,34000,19-01-2026,Psychology
Kohat University Of Science & Technology,Kohat,BS,4 Years,27900,15-09-2025,Psychology
University Of Kotli,Kotli,BS,4 Years,0,15-08-2025,Psychology
Government College University Lahore,Lahore,B.Sc. [Hons],4 Years,52000,08-08-2025,Psychology
Kinnaird College For Women,Lahore,BS,4 Years,90200,04-07-2025,Psychology
Virtual University Of Pakistan,Lahore,AD,2 Years,21800,30-09-2025,Psychology
Virtual University Of Pakistan,Lahore,BS,4 Years,21800,30-09-2025,Psychology
The University Of Lakki Marwat,Lakki Marwat,BS,4 Years,14600,11-10-2021,Psychology
Punjab University Of Technology  [ Rasul],Mandi Baha-ud-din,BS,4 Years,0,25-09-2025,Psychology
Hazara University,Mansehra,BA [HONS],4 Years,38980,01-09-2025,Psychology
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,65000,18-08-2025,Psychology
Women University Mardan,Mardan,BS,4 Years,37400,10-09-2025,Psychology
University Of Mianwali,Mianwali,BS,4 Years,0,19-01-2026,Psychology
Institute Of Southern Punjab (girls Campus),Multan,AD,2 Years,0,31-08-2024,Psychology
Institute Of Southern Punjab (girls Campus),Multan,BS,4 Years,0,31-08-2024,Psychology
Multan University Of Science And Technology,Multan,BS,4 Years,0,16-11-2024,Psychology
The Women University,Multan,AD,2 Years,24150,12-11-2021,Psychology
Kohsar University,Murree,BS,4 Years,0,14-02-2025,Psychology
University Of Azad Jammu & Kashmir,Muzaffarabad,BS,4 Years,0,08-08-2025,Psychology
Baba Guru Nanak University,Nankana Sahib,BS,4 Years,21350,19-09-2025,Psychology
University Of Narowal,Narowal,BS,4 Years,30000,19-02-2026,Psychology
University Of Okara,Okara,BS,4 Years,46000,18-07-2025,Psychology
Institute Of Management Sciences,Peshawar,BS,4 Years,0,03-08-2023,Psychology
Islamia College University,Peshawar,BS,4 Years,62000,16-09-2025,Psychology
Shaheed Benazir Bhutto Women University,Peshawar,BS,4 Years,29513,28-09-2025,Psychology
University Of Peshawar,Peshawar,BS,4 Years,71000,11-08-2025,Psychology
Balochistan University Of It & Management Sciences,Quetta,BS,4 Years,39410,20-08-2025,Psychology
Sardar Bahadur Khan Women University,Quetta,BS,4 Years,6760,15-09-2025,Psychology
University Of Balochistan,Quetta,BS,4 Years,32000,11-08-2025,Psychology
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,BS,4 Years,0,20-08-2025,Psychology
Rawalpindi Women University,Rawalpindi,BS,4 Years,33065,03-09-2025,Psychology
University Of Sargodha,Sargodha,BS,4 Years,30000,15-12-2025,Psychology
Government College Women University,Sialkot,BS,4 Years,21000,22-01-2026,Psychology
University Of Swabi,Swabi,BS,4 Years,51270,16-09-2025,Psychology
Women University Swabi,Swabi,BS,4 Years,45760,12-09-2025,Psychology
The University Of Veterinary & Animal Sciences,Swat,BS,4 Years,18000,30-09-2025,Psychology
University Of Swat,Swat,BS,4 Years,19730,12-10-2023,Psychology
The University Of Faisalabad,Faisalabad,BS,4 Hours,112500,07-10-2023,Psychology
The University Of Faisalabad,Faisalabad,AD,2 Years,0,07-10-2023,Psychology
Gift University,Gujranwala,BS,4 Years,92200,01-02-2026,Psychology
Capital University Of Science And Technology,Islamabad,BS,4 Years,148500,02-09-2025,Psychology
Muslim Youth University,Islamabad,BS,4 Years,0,29-10-2025,Psychology
Dha Suffa University(main Campus),Karachi,AD,2 Years,0,30-12-2025,Psychology
Dha Suffa University(main Campus),Karachi,BS,4 Years,0,30-12-2025,Psychology
Greenwich University,Karachi,BS,4 Years,0,14-07-2024,Psychology
Hamdard University,Karachi,BS,4 Years,0,15-03-2025,Psychology
Institute Of Business Management,Karachi,BS,4 Years,155800,28-07-2022,Psychology
Iqra University [kch],Karachi,AD,2 Years,144000,14-02-2026,Psychology
Iqra University [kch],Karachi,BS,4 Years,144000,14-02-2026,Psychology
Jinnah University For Women,Karachi,BS,4 Years,37500,30-05-2025,Psychology
Muhammad Ali Jinnah University,Karachi,BS,4 Years,153000,22-07-2024,Psychology
Shaheed Zulfiqar Ali Bhutto Institute Of Science & Technology,Karachi,BS,4 Years,120600,12-02-2026,Psychology
Preston University [kht],Kohat,BS,4 Years,0,30-10-2025,Psychology
