Institute,City,Degree,Duration,Fee,Deadline,Subject
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,43015,30-06-2025,Public Administration
Gomal University,D.i. Khan,BPA,4 Years,40000,31-07-2025,Public Administration
Government College University,Faisalabad,BS,4 Years,39300,12-01-2026,Public Administration
Government College University,Faisalabad,AD,2 Years,39300,12-01-2026,Public Administration
Government College Women University,Faisalabad,BS,4 Years,34000,31-07-2025,Public Administration
University Of Gujrat,Gujrat,BS,4 Years,0,15-08-2025,Public Administration
University Of Haripur,Haripur,BS,4 Years,42044,08-09-2025,Public Administration
International Islamic University,Islamabad,BS,4 Years,62100,31-12-2025,Public Administration
"National University Of Modern Languages, Islamabad",Islamabad,BS,4 Years,87288,09-12-2025,Public Administration
National University Of Science & Technology,Islamabad,BS,4 Years,253080,25-01-2026,Public Administration
Quaid-e-azam University,Islamabad,BS,4 Years,54565,29-07-2025,Public Administration
University Of Sindh,Jamshoro,BPA,4 Years,15200,14-09-2025,Public Administration
"Benazir Bhutto Shaheed University, Lyari",Karachi,BS,4 Years,28100,17-11-2025,Public Administration
Sindh Madressatul Islam University,Karachi,BS,4 Years,31250,01-12-2025,Public Administration
University Of Karachi,Karachi,BPA,4 Years,29500,28-11-2025,Public Administration
Shah Abdul Latif University,Khair Pur,BPA,4 Years,46000,22-09-2025,Public Administration
University Of Kotli,Kotli,BS,4 Years,0,15-08-2025,Public Administration
Lahore College For Women University,Lahore,BS,4 Years,46790,25-09-2025,Public Administration
University Of Education,Lahore,BS,4 Years,0,02-09-2025,Public Administration
Virtual University Of Pakistan,Lahore,BS,4 Years,21800,30-09-2025,Public Administration
The University Of Larkano,Larkana,BS,4 Years,0,27-08-2025,Public Administration
University Of Layyah,Layyah,BS,4 Years,0,17-07-2023,Public Administration
University Of Loralai,Loralai,BS,4 Years,11300,12-08-2024,Public Administration
Hazara University,Mansehra,BS,4 Years,38980,01-09-2025,Public Administration
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,55000,31-08-2024,Public Administration
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,27150,15-09-2025,Public Administration
University Of Okara,Okara,BS,4 Years,0,18-07-2025,Public Administration
Islamia College University,Peshawar,BS,4 Years,62000,16-09-2025,Public Administration
Balochistan University Of It & Management Sciences,Quetta,BS,4 Years,39410,20-08-2025,Public Administration
University Of Balochistan,Quetta,BS,4 Years,33000,11-08-2025,Public Administration
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,BS,4 Years,40250,20-06-2025,Public Administration
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,BS,4 Years,0,20-08-2025,Public Administration
Fatima Jinnah Women University,Rawalpindi,BPA,4 Years,52050,18-08-2025,Public Administration
Fatima Jinnah Women University,Rawalpindi,AD,2 Years,52050,18-08-2025,Public Administration
University Of Sargodha,Sargodha,BS,4 Years,30000,11-07-2025,Public Administration
Riphah International University,Islamabad,BS,4 Years,67000,30-07-2025,Public Administration
Metropolitan University Karachi,Karachi,B.Sc. [Hons],4 Years,0,30-03-2021,Public Administration
Imperial College Of Business Studies,Lahore,BS,4 Years,0,21-08-2023,Public Administration
University Of Management And Technology,Lahore,BS,4 Years,174750,31-07-2024,Public Administration
"The Islamia University Of Bahawalpur, Ahmadpur East Campus",Ahmadpur East,BS,4 Years,43015,30-06-2024,Public Administration
The Islamia University Of Bahawalpur[sub Campus],Bahawal Nagar,BS,4 Years,43015,30-06-2025,Public Administration
"The Islamia University Of Bahawalpur, Liaqatpur Campus",Liaqatpur,BS,4 Years,43015,30-06-2025,Public Administration
Bahauddin Zakariya University (sub Campus Lodhran ),Lodhran,BS,4 Years,27150,04-11-2022,Public Administration
National University Of Modern Language ( Multan Campus ),Multan,BS,4 Years,0,31-01-2026,Public Administration
National University Of Modern Languages ( Peshawar Campus ),Peshawar,BS,2 Years,87288,04-12-2024,Public Administration
National University Of Modern Languages ( Quetta Campus ),Quetta,BS (HONS),4 Years,87288,15-02-2021,Public Administration
The Islamic University Of Bahawalpur[rahimyar Khan Campus],Rahim Yar Khan,BS,4 Years,43015,30-06-2025,Public Administration
Emerson University Multan,Multan,BS,4 Years,0,15-08-2025,Public Administration
Ali Fatimah College Of Science & Management,Faisalabad,BS,4 Years,0,21-10-2018,Public Administration
The Royal College,Lahore,BS (HONS),4 Years,0,27-08-2017,Public Administration
Afro-asian Institute,Lahore,B.Sc.,2 Years,0,10-08-2023,Public Administration
