Institute,City,Degree,Duration,Fee,Deadline,Subject
Abbottabad University Of Science And Technology,Abbottabad,BS,4 Years,47800,26-08-2025,Public Health
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,69965,30-06-2025,Public Health
Gomal University,D.i. Khan,BS,4 Years,0,31-07-2025,Public Health
University Of Haripur,Haripur,BS,4 Years,49929,26-01-2026,Public Health
"Bahria University, E-8 Campus",Islamabad,BS,4 Years,116025,18-12-2025,Public Health
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Public Health
Dow University Of Health Sciences,Karachi,BS,4 Years,184000,20-12-2025,Public Health
Jinnah Sindh Medical University,Karachi,BS,4 Years,0,17-12-2025,Public Health
University Of Karachi,Karachi,BS,4 Years,21000,07-11-2025,Public Health
University Of The Punjab,Lahore,BS,4 Years,32940,25-09-2025,Public Health
University Of Loralai,Loralai,BS,4 Years,11300,12-08-2024,Public Health
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,27150,02-01-2026,Public Health
Muhammad Nawaz Sharif University Of Agriculture,Multan,BS,4 Years,35000,29-09-2025,Public Health
The Women University,Multan,BS,4 Years,34750,23-09-2024,Public Health
University Of Azad Jammu & Kashmir,Muzaffarabad,BS,4 Years,0,08-08-2025,Public Health
Peoples University Of Medical And Health Sciences For Women,Nawab Shah,BS,4 Years,25000,31-10-2025,Public Health
Khyber Medical University,Peshawar,BS,4 Years,80000,30-10-2025,Public Health
The University Of Agriculture,Peshawar,BS,4 Years,0,15-08-2025,Public Health
University Of Peshawar,Peshawar,BS,4 Years,0,23-09-2025,Public Health
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,BS,4 Years,0,20-08-2025,Public Health
Fatima Jinnah Women University,Rawalpindi,BS,4 Years,52050,18-08-2025,Public Health
Women University Swabi,Swabi,BS,4 Years,42460,12-09-2025,Public Health
Indus University,Karachi,BS,4 Years,147000,31-10-2025,Public Health
Shaheed Zulfiqar Ali Bhutto Institute Of Science & Technology,Karachi,BS,4 Years,88060,12-02-2026,Public Health
Zia-ud-din Medical University,Karachi,BS,4 Years,0,26-08-2025,Public Health
The University Of Lahore ( Main Campus ),Lahore,BS,4 Years,106400,03-01-2026,Public Health
Sarhad University Of Science & Information Technology,Peshawar,BS,4 Years,56500,16-05-2023,Public Health
Al- Hamd Islamic University,Quetta,BS,4 Years,0,18-08-2024,Public Health
National University Of Medical Sciences,Rawalpindi,BS,4 Years,300000,16-01-2026,Public Health
"University Of Health Sciences, Kala Shah Kaku Campus",Kala Shah Kaku,BS,4 Years,0,30-01-2020,Public Health
Bahria University ( Karachi Campus ),Karachi,BS,4 Years,116025,09-01-2026,Public Health
"Riphah International University, Faisalabad Campus",Faisalabad,BS,4 Years,0,18-10-2025,Public Health
"Zia Ud Din University, Sukkur Campus",Sukkur,BS,4 Years,0,26-08-2025,Public Health
Institute Of Health Sciences,Islamabad,BS,4 Years,0,11-09-2025,Public Health
University Of Home Economics,Lahore,BS,4 Years,0,25-07-2025,Public Health
Frontier Institute Of Medical Sciences [abbottabad],Abbottabad,BS,4 Years,0,12-04-2025,Public Health
Capital College Of Health Sciences,Islamabad,BS,4 Years,0,20-09-2022,Public Health
Health Aid College Of Nursing,Islamabad,BS,4 Years,0,01-09-2025,Public Health
Islamabad Federal College F-10,Islamabad,BS,4 Years,0,24-03-2018,Public Health
Nisa Institute Of Science & Arts,Quetta,BS,4 Years,0,19-09-2024,Public Health
Health Services Academy,Islamabad,BS,4 Years,0,31-01-2026,Public Health
Prime Institute Of Health Sciences,Islamabad,BS,4 Years,0,01-10-2025,Public Health
Hayat Institute Of Emerging Sciences,Karachi,BS,4 Years,0,31-03-2018,Public Health
Rehman Medical Institute,Peshawar,BS,4 Years,0,13-09-2025,Public Health
"Pakistan Institute Of Opthamology,al-shifa Trust Eye Hopital",Rawalpindi,BS,4 Years,0,31-07-2025,Public Health
Indus Hospital (school Of Nursing) Children Cancer Hospital,Karachi,BS,4 Years,0,10-01-2023,Public Health
Times Institute,Multan,BS,4 Years,60000,15-11-2022,Public Health
