Institute,City,Degree,Duration,Fee,Deadline,Subject
Kalam Bibi International Women Institute,Bannu,BS,4 Years,0,18-09-2025,Radiologic Technology
Liaquat University Of Medical And Health Sciences,Jamshoro,BS,4 Years,50000,10-10-2025,Radiologic Technology
Dow University Of Health Sciences,Karachi,BS,4 Years,100000,20-12-2025,Radiologic Technology
University Of Swabi,Swabi,BS,4 Years,51270,16-09-2025,Radiologic Technology
The University Of Modern Sciences,Tando Muhammad Khan,BS,4 Years,0,22-11-2025,Radiologic Technology
City University Of Science & Information Technology,Peshawar,B.TECH,4 Years,160000,10-11-2025,Radiologic Technology
Iqra National University,Peshawar,BS,4 Years,68391,30-09-2025,Radiologic Technology
"Kmu Institute Of Health Sciences, G. I. Khan Campus",D.i. Khan,BS,4 Years,0,11-09-2025,Radiologic Technology
"Kmu Institute Of Health Sciences, Kohat",Kohat,BS,4 Years,0,11-09-2025,Radiologic Technology
"Kmu Institute Of Health Sciences, Hazara",Mansehra,BS,4 Years,0,11-09-2025,Radiologic Technology
"Institute Of Health Sciences, Kurram",Para Chinar,BS,4 Years,0,11-09-2025,Radiologic Technology
Kmu Institute Of Health Sciences,Swabi,BS,4 Years,0,11-09-2025,Radiologic Technology
Kmu Institute Of Health Sciences,Swat,BS,4 Years,0,11-09-2025,Radiologic Technology
Abasyn University (sub Campus),Islamabad,BS,4 Years,0,28-12-2025,Radiologic Technology
"Iqra University, Chak Shahzad Campus",Islamabad,BS,4 Years,111180,29-02-2024,Radiologic Technology
"Iqra National Univesity, Swat Campus",Swat,BS,4 Years,65466,30-09-2025,Radiologic Technology
Institute Of Health Sciences,Islamabad,BS,4 Years,0,30-11-2025,Radiologic Technology
Bacha Khan Medical College,Mardan,BS,4 Years,0,28-11-2025,Radiologic Technology
Al- Qassar Institute Of Health Sciences,D.i. Khan,BS,4 Years,0,31-10-2020,Radiologic Technology
Prime Institute Of Health & Management Sciences,Mardan,BS,4 Years,0,19-01-2023,Radiologic Technology
Asian Institute Of Medical & Management Sciences,Peshawar,BS,4 Years,0,28-12-2023,Radiologic Technology
International College Of Health Sciences,Peshawar,BS,4 Years,0,19-11-2022,Radiologic Technology
National College Of Nursing,Peshawar,BS,4 Years,0,20-12-2025,Radiologic Technology
Pakistan Institute Of Medical And Management Sciencse,Peshawar,BS,4 Years,0,01-11-2022,Radiologic Technology
Dr. Ihsanullah Khan Medical Institute,Charsadda,BS,4 Years,0,02-10-2022,Radiologic Technology
Aman Medical Institute,Islamabad,BS,4 Years,0,17-11-2021,Radiologic Technology
Bashir Institute Of Health Sciences,Islamabad,BS,4 Years,0,08-03-2023,Radiologic Technology
Prime Institute Of Health Sciences,Islamabad,BS,4 Years,0,01-10-2025,Radiologic Technology
Kmu Institute Of Health Sciences,Mardan,BS,4 Years,0,11-09-2025,Radiologic Technology
Rehman Medical Institute,Peshawar,BS,4 Years,0,13-09-2025,Radiologic Technology
School Of Health Sciences,Peshawar,BS,4 Years,0,30-11-2020,Radiologic Technology
