Institute,City,Degree,Duration,Fee,Deadline,Subject
University Of Science & Technology,Bannu,BS,4 Years,0,20-09-2025,Radiology
University Of Haripur,Haripur,BS,4 Years,48829,08-09-2025,Radiology
Khushal Khan Khattak University,Karak,BS,4 Years,0,19-01-2026,Radiology
University Of Kotli,Kotli,BS,4 Years,0,15-08-2025,Radiology
University Of Loralai,Loralai,BS,4 Years,11300,18-08-2025,Radiology
Khyber Medical University,Peshawar,B.Sc.,4 Years,80000,30-10-2025,Radiology
University Of Peshawar,Peshawar,BS,4 Years,0,11-08-2025,Radiology
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,BS,4 Years,40250,30-06-2022,Radiology
The University Of Veterinary & Animal Sciences,Swat,BS,4 Years,18000,30-09-2025,Radiology
Shifa Tameer-e-millat University,Islamabad,AD,2.5 Years,14000,18-11-2025,Radiology
Sohail University,Karachi,BS,4 Years,0,17-10-2024,Radiology
Northern University,Nowshera,BS,4 Years,30250,16-02-2026,Radiology
Abasyn University,Peshawar,BS,4 Years,56100,01-02-2026,Radiology
Cecos University Of Information Tech. & Emerging Sciences,Peshawar,BS,4 Years,0,28-07-2025,Radiology
Sarhad University Of Science & Information Technology,Peshawar,BS,4 Years,56500,05-12-2025,Radiology
Nims College Of Medical Imaging Sciences,Abbottabad,BS,4 Years,0,31-12-2025,Radiology
"Riphah Community College, Abbotabad Campus",Abbottabad,AD,2 Years,0,31-08-2023,Radiology
Khyber Institute Of Medical Sciences,Charsadda,BS,4 Years,0,18-12-2022,Radiology
Ahmad Medical Institute,Peshawar,BS,4 Years,0,28-11-2020,Radiology
Ghazali Institute Of Medical Sciences,Peshawar,BS,4 Years,0,08-09-2025,Radiology
Hallmark College Of Pharmacy,Peshawar,BS,4 Years,0,29-01-2021,Radiology
Hefa Foundation,Peshawar,BS,4 Years,0,05-11-2020,Radiology
Institute Of Health Sciences,Peshawar,BS,4 Years,0,22-01-2022,Radiology
Khyber Pakhtunkhwa Institute Of Medical Sciences,Peshawar,BS,4 Years,0,15-01-2022,Radiology
Mehboob Medical Institute,Peshawar,BS,4 Years,0,14-12-2024,Radiology
P E F University College,Peshawar,BS,4 Years,0,31-10-2025,Radiology
Professional College Of Medical Science,Peshawar,CERT,4 Years,0,14-12-2019,Radiology
Kings Institute Of Nursing And Allied Health Sciences,Saidu Sharif,BS,4 Years,0,26-11-2022,Radiology
Kmu Institute Of Medical Sciences,Kohat,BS,4 Years,0,18-10-2024,Radiology
Comwave Institute Of Information Technology,Islamabad,BS,4 Years,0,18-11-2023,Radiology
Global Institute Of Medical Sciences,Peshawar,BS,4 Years,0,30-11-2024,Radiology
National Institute Of Health And Management Sciences,Peshawar,BS,4 Years,0,20-12-2025,Radiology
Premier Institute Of Health And Management Sciences,Peshawar,BS,4 Years,0,17-09-2024,Radiology
