Institute,City,Degree,Duration,Fee,Deadline,Subject
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,53415,30-06-2025,Robotic Intelligent Machine Engineering
University Of Haripur,Haripur,BS,4 Years,32294,26-01-2026,Robotic Intelligent Machine Engineering
"National University Of Modern Languages, Islamabad",Islamabad,BS,4 Years,0,09-12-2025,Robotic Intelligent Machine Engineering
The Benazir Butto Shaheed University Of Technology & Skill Development,Khair Pur,BS,4 Years,23250,23-06-2025,Robotic Intelligent Machine Engineering
"University Of Engineering & Technology, Lahore",Lahore,BS,4 Years,0,22-03-2026,Robotic Intelligent Machine Engineering
"University Of Technology, Nowshera",Nowshera,BS,4 Years,27610,04-01-2026,Robotic Intelligent Machine Engineering
University Of Peshawar,Peshawar,BS,4 Years,0,23-01-2026,Robotic Intelligent Machine Engineering
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,BS,4 Years,40250,20-06-2025,Robotic Intelligent Machine Engineering
Fatima Jinnah Women University,Rawalpindi,BS,4 Years,52050,18-08-2025,Robotic Intelligent Machine Engineering
Capital University Of Science And Technology,Islamabad,BS,4 Years,0,02-09-2025,Robotic Intelligent Machine Engineering
Riphah International University,Islamabad,BS,4 Years,160500,30-07-2025,Robotic Intelligent Machine Engineering
Hamdard University,Karachi,BS,4 Years,0,15-03-2025,Robotic Intelligent Machine Engineering
Zia-ud-din Medical University,Karachi,BS,4 Years,0,26-08-2025,Robotic Intelligent Machine Engineering
Cecos University Of Information Tech. & Emerging Sciences,Peshawar,BS,4 Years,0,28-07-2025,Robotic Intelligent Machine Engineering
Bahria University ( Karachi Campus ),Karachi,BS,4 Years,86250,17-11-2025,Robotic Intelligent Machine Engineering
"Riphah International University, Faisalabad Campus",Faisalabad,BS,4 Years,0,18-10-2025,Robotic Intelligent Machine Engineering
"Bahria University, H-11 Campus",Islamabad,BS,4 Years,86250,18-12-2025,Robotic Intelligent Machine Engineering
Riphah International University Lahore,Lahore,BS,4 Years,0,25-01-2026,Robotic Intelligent Machine Engineering
