Institute,City,Degree,Duration,Fee,Deadline,Subject
Institute Of Management Sciences,Peshawar,B.Sc.,2 Years,155700,03-08-2023,Social Sciences
Greenwich University,Karachi,BS,4 Years,132110,18-07-2019,Social Sciences
Beaconhouse National University,Lahore,BA [HONS],4 Years,169050,22-08-2025,Social Sciences
Lahore School Of Economics,Lahore,BS (HONS),4 Years,341000,28-06-2025,Social Sciences
The University Of Lahore ( Main Campus ),Lahore,BS,4 Years,133600,31-01-2026,Social Sciences
City University Of Science & Information Technology,Peshawar,BS,4 Years,0,24-02-2023,Social Sciences
Bahria University ( Karachi Campus ),Karachi,BS,4 Years,98175,17-11-2025,Social Sciences
Shaheed Zulfikar Ali Bhutto Institute Of Science & Technology [hyderabad],Hyderabad,BS,4 Years,149600,30-12-2025,Social Sciences
Shaheed Zulfiqar Ali Bhutto Institute Of Science And Technology,Islamabad,BS,4 Years,170280,19-12-2025,Social Sciences
"The University Of Lahore, Sub Campus",Sargodha,BS,4 Years,0,08-02-2025,Social Sciences
Islamabad Model College For Boys Sihala,Islamabad,AD,2 Years,0,29-08-2023,Social Sciences
"Islamabad Model College For Boys, F-10/4",Islamabad,AD,2 Years,0,29-08-2023,Social Sciences
"Islamabad Model College For Boys, H-9",Islamabad,AD,2 Years,0,29-08-2023,Social Sciences
Islamabad Model College For Girls Humak,Islamabad,AD,2 Years,0,29-08-2023,Social Sciences
Edison College,Faisalabad,BS,4 Years,0,07-08-2017,Social Sciences
Brains Institute,Peshawar,BS,4 Years,0,24-09-2022,Social Sciences
