Institute,City,Degree,Duration,Fee,Deadline,Subject
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,43015,30-06-2025,Social Work
University Of Science & Technology,Bannu,BS,4 Years,16400,15-10-2019,Social Work
Thal University,Bhakkar,BS,4 Years,30000,10-01-2025,Social Work
University Of Malakand,Chakdara,BS,4 Years,14000,15-09-2025,Social Work
Karakuram International University,Gilgit,BS,4 Years,0,10-08-2025,Social Work
Quaid-e-azam University,Islamabad,BS,4 Years,54565,29-07-2025,Social Work
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Social Work
University Of Karachi,Karachi,BA [HONS],4 Years,15000,07-11-2025,Social Work
Kohat University Of Science & Technology,Kohat,BS,4 Years,24100,15-09-2025,Social Work
Lahore College For Women University,Lahore,BS,4 Years,49290,25-09-2025,Social Work
University Of The Punjab,Lahore,BS,4 Years,32940,25-09-2025,Social Work
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,20150,15-09-2025,Social Work
University Of Okara,Okara,BS,4 Years,46000,18-07-2025,Social Work
University Of Peshawar,Peshawar,BS,4 Years,68400,23-09-2025,Social Work
Sardar Bahadur Khan Women University,Quetta,BS,4 Years,6760,15-09-2025,Social Work
University Of Balochistan,Quetta,BS,4 Years,32000,11-08-2025,Social Work
University Of Sargodha,Sargodha,BS,4 Years,30000,15-12-2025,Social Work
University Of Management And Technology,Lahore,BS,4 Years,124750,28-10-2023,Social Work
University Of Sargodha ( Bhakkar Campus ),Bhakkar,BS,4 Years,27900,03-11-2021,Social Work
"Federal Urdu University Of Arts  Science & Technology, Karachi",Karachi,BA [HONS],4 Years,20600,29-11-2024,Social Work
University Of Makran,Panjgur,BS,4 Years,8053,25-10-2024,Social Work
Shaheed Benazir Bhutto University (sub Campus),Wari,BS,4 Years,0,10-10-2025,Social Work
Government Islamia Post Graduate College For Women,Lahore,BS,4 Years,0,17-09-2019,Social Work
Government Islamia Post Graduate College For Women [cooper Road],Lahore,BS,4 Years,0,21-09-2023,Social Work
Government Queen Marry College,Lahore,BS,4 Years,0,15-07-2024,Social Work
Emerson University Multan,Multan,BS,4 Years,0,15-08-2025,Social Work
