Institute,City,Degree,Duration,Fee,Deadline,Subject
Abbottabad University Of Science And Technology,Abbottabad,B.Sc.,4 Years,27500,26-08-2025,Sociology
Women University Azad Jammu & Kashmir,Bagh,BS,4 Years,36260,30-09-2024,Sociology
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,43015,30-06-2025,Sociology
Kalam Bibi International Women Institute,Bannu,BS,4 Years,0,18-09-2025,Sociology
University Of Science & Technology,Bannu,BS,4 Years,16400,20-09-2025,Sociology
Thal University,Bhakkar,BS,4 Years,30000,10-01-2025,Sociology
University Of Malakand,Chakdara,BA [HONS],4 Years,14000,31-07-2025,Sociology
Bacha Khan University,Charsadda,BS,4 Years,32950,22-09-2025,Sociology
University Of Chitral,Chitral,BS,4 Years,0,30-10-2023,Sociology
"Bahauddin Zakria University,multan[d.g.khan Campus]",D.g.khan,BS,4 Years,0,31-01-2015,Sociology
Ghazi University,D.g.khan,BS,4 Years,21300,04-07-2025,Sociology
Gomal University,D.i. Khan,AD,2 Years,0,09-01-2026,Sociology
Gomal University,D.i. Khan,BS,4 Years,0,09-01-2026,Sociology
Fata University,Darra Adam Khail,BS,4 Years,22000,16-08-2025,Sociology
Government College University,Faisalabad,BS,4 Years,24300,24-06-2025,Sociology
Government College Women University,Faisalabad,BS,4 Years,30200,31-07-2025,Sociology
University Of Agriculture,Faisalabad,BS,4 Years,0,28-07-2025,Sociology
Karakuram International University,Gilgit,BS,4 Years,33400,10-08-2025,Sociology
University Of Gujrat,Gujrat,BS,4 Years,66590,15-08-2025,Sociology
Allama Iqbal Open University,Islamabad,BS,4 Years,13750,10-02-2026,Sociology
International Islamic University,Islamabad,BS,4 Years,50400,31-12-2025,Sociology
Quaid-e-azam University,Islamabad,BS,4 Years,54565,29-07-2025,Sociology
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Sociology
University Of Jhang,Jhang,BS,4 Years,0,15-09-2025,Sociology
Sindh Madressatul Islam University,Karachi,BS,4 Years,36500,01-12-2025,Sociology
University Of Karachi,Karachi,BS,4 Years,16500,28-11-2025,Sociology
Shah Abdul Latif University,Khair Pur,BS,4 Years,14000,22-09-2025,Sociology
Kohat University Of Science & Technology,Kohat,BS,4 Years,24100,15-09-2025,Sociology
The University Of Management Sciences & Information Technology,Kotli,BS,4 Years,0,10-09-2016,Sociology
University Of Kotli,Kotli,BS,4 Years,0,14-10-2021,Sociology
Government College University Lahore,Lahore,BA [HONS],4 Years,48000,08-08-2025,Sociology
Lahore College For Women University,Lahore,BS,4 Years,49290,25-09-2025,Sociology
University Of The Punjab,Lahore,BS,4 Years,32940,25-09-2025,Sociology
Virtual University Of Pakistan,Lahore,BS,4 Years,21800,30-09-2025,Sociology
"Lasbela University Of Agriculture, Water And Marine Sciences, Uthal",Lasbela,BS,4 Years,16000,20-10-2025,Sociology
University Of Layyah,Layyah,BS,4 Years,28460,17-07-2023,Sociology
Hazara University,Mansehra,BS,4 Years,38980,01-09-2025,Sociology
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,35000,18-08-2025,Sociology
Mirpur University Of Science And Technology,Mir Pur (ajk),BS,4 Years,0,15-08-2024,Sociology
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,20150,02-01-2026,Sociology
Muhammad Nawaz Sharif University Of Agriculture,Multan,BS,4 Years,25200,29-09-2025,Sociology
The Women University,Multan,BS,4 Years,24250,07-01-2025,Sociology
Kohsar University,Murree,BS,4 Years,0,26-02-2026,Sociology
University Of Azad Jammu & Kashmir,Muzaffarabad,B.Sc.,4 Years,0,08-08-2025,Sociology
University Of Okara,Okara,BS,4 Years,46000,18-07-2025,Sociology
Islamia College University,Peshawar,BS,4 Years,62000,16-09-2025,Sociology
