Institute,City,Degree,Duration,Fee,Deadline,Subject
Abbottabad University Of Science And Technology,Abbottabad,B.Sc.,4 Years,27500,26-08-2025,Statistics
Women University Azad Jammu & Kashmir,Bagh,BS,4 Years,43110,01-09-2025,Statistics
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,45565,30-06-2025,Statistics
University Of Science & Technology,Bannu,BS,4 Years,16400,20-09-2025,Statistics
University Of Malakand,Chakdara,BS,4 Years,20000,15-09-2025,Statistics
Ghazi University,D.g.khan,BS,4 Years,21300,04-07-2025,Statistics
Gomal University,D.i. Khan,B.Sc. [Hons],4 Years,43000,09-01-2026,Statistics
Gomal University,D.i. Khan,AD,2 Years,0,09-01-2026,Statistics
Government College University,Faisalabad,BS,4 Years,28200,24-06-2025,Statistics
Government College Women University,Faisalabad,BS,4 Years,33100,31-07-2025,Statistics
Karakuram International University,Gilgit,BS,4 Years,33400,10-08-2025,Statistics
University Of Gujrat,Gujrat,BS,4 Years,68010,15-08-2025,Statistics
University Of Haripur,Haripur,BS,4 Years,41559,26-01-2026,Statistics
Air University,Islamabad,BS,4 Years,0,23-12-2025,Statistics
Allama Iqbal Open University,Islamabad,BS,4 Years,40450,10-02-2026,Statistics
Federal Urdu University Of Arts Science & Technology Islamabad,Islamabad,BS,4 Years,50000,08-08-2024,Statistics
International Islamic University,Islamabad,BS,4 Years,50400,31-12-2025,Statistics
Quaid-e-azam University,Islamabad,BS,4 Years,54565,29-07-2025,Statistics
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Statistics
University Of Karachi,Karachi,BS,4 Years,18500,28-11-2025,Statistics
Shah Abdul Latif University,Khair Pur,B.Sc. [Hons],4 Years,13000,22-09-2025,Statistics
Kohat University Of Science & Technology,Kohat,BS,4 Years,24100,15-09-2025,Statistics
Kinnaird College For Women,Lahore,BS,4 Years,90200,01-12-2025,Statistics
Lahore College For Women University,Lahore,BS,4 Years,51430,25-09-2025,Statistics
University Of The Punjab,Lahore,BS,4 Years,37290,25-09-2025,Statistics
Virtual University Of Pakistan,Lahore,BS,4 Years,21800,30-09-2025,Statistics
Punjab University Of Technology  [ Rasul],Mandi Baha-ud-din,BS,4 Years,0,25-09-2025,Statistics
Hazara University,Mansehra,BS,4 Years,38980,01-09-2025,Statistics
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,35000,18-08-2025,Statistics
University Of Mianwali,Mianwali,BS,4 Years,0,31-10-2022,Statistics
Mirpur University Of Science And Technology,Mir Pur (ajk),BS,4 Years,0,31-07-2023,Statistics
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,27150,02-01-2026,Statistics
The Women University,Multan,BS,4 Years,25750,23-09-2024,Statistics
Kohsar University,Murree,BS,4 Years,0,14-02-2025,Statistics
University Of Azad Jammu & Kashmir,Muzaffarabad,BS,4 Years,0,08-08-2025,Statistics
"Shaheed Benazir Bhutto University, Nawab Shah",Nawab Shah,BS,4 Years,18000,06-10-2025,Statistics
University Of Okara,Okara,BS,4 Years,52000,18-07-2025,Statistics
Islamia College University,Peshawar,BS,4 Years,62000,16-09-2025,Statistics
Shaheed Benazir Bhutto Women University,Peshawar,BS,4 Years,29513,28-09-2025,Statistics
University Of Peshawar,Peshawar,BS,4 Years,71000,23-09-2025,Statistics
University Of Balochistan,Quetta,BS,4 Years,36000,11-08-2025,Statistics
Pir Mahar Ali Shah Arid Agriculture University,Rawalpindi,BS,4 Years,45650,08-08-2025,Statistics
Rawalpindi Women University,Rawalpindi,BS,4 Years,33065,03-09-2025,Statistics
University Of Sahiwal,Sahiwal,BS,4 Years,45823,31-07-2025,Statistics
University Of Sargodha,Sargodha,B.Sc.,4 Years,30000,15-12-2025,Statistics
Government College Women University,Sialkot,BS,4 Years,25000,22-01-2026,Statistics
University Of Sialkot,Sialkot,BS,4 Years,121000,01-11-2024,Statistics
The Begum Nusrat Bhutto Women University,Sukkur,BS,4 Years,43000,04-06-2025,Statistics
Women University Swabi,Swabi,BS,4 Years,45760,06-02-2023,Statistics
University Of Swat,Swat,BS,4 Years,19730,12-10-2023,Statistics
Sindh Agriculture University,Tando Jam,BS,4 Years,25000,30-09-2025,Statistics
Shifa Tameer-e-millat University,Islamabad,BS,4 Years,0,12-08-2022,Statistics
Forman Christian College,Lahore,B.Sc. [Hons],4 Years,358200,30-11-2025,Statistics
Lahore Garrison University,Lahore,BS,4 Years,174635,30-11--0001,Statistics
Minhaj University,Lahore,BS,4 Years,103500,31-10-2025,Statistics
"National College Of Business Administration And Economics, Lahore",Lahore,BIS,4 Years,144000,26-02-2023,Statistics
The Superior University,Lahore,BS,4 Years,0,31-01-2026,Statistics
The University Of Lahore ( Main Campus ),Lahore,BS,4 Years,0,14-09-2024,Statistics
Institute Of Southern Punjab,Multan,BS,4 Years,0,31-01-2025,Statistics
University Of Wah,Wah Cantt,BS,4 Years,80000,20-09-2023,Statistics
"The Islamia University Of Bahawalpur, Ahmadpur East Campus",Ahmadpur East,BS,4 Years,45565,30-06-2024,Statistics
University Of Sargodha (lyallpur Campus),Faisalabad,BS,4 Years,0,30-09-2016,Statistics
"Government College University Lahore, Kala Shah Kaku Campus",Kala Shah Kaku,BS,4 Years,0,11-12-2025,Statistics
"Federal Urdu University Of Arts  Science & Technology, Karachi",Karachi,B.Sc. [Hons],4 Years,22250,29-11-2024,Statistics
Arid Institute Of Management Sciences,Lahore,BS,4 Years,0,29-10-2021,Statistics
Comsats University Islamabad( Lahore Campus ),Lahore,BS,4 Years,112200,29-12-2025,Statistics
University Of Gujrat (lahore Campus),Lahore,BS,4 Years,0,25-08-2018,Statistics
"The Islamia University Of Bahawalpur, Liaqatpur Campus",Liaqatpur,BS,4 Years,45565,30-06-2025,Statistics
University Of Makran,Panjgur,BS,4 Years,8053,25-10-2024,Statistics
The Islamic University Of Bahawalpur[rahimyar Khan Campus],Rahim Yar Khan,BS,4 Years,45565,30-06-2025,Statistics
"Shaheed Benazir Bhutto Women University Peshawar, Sub Campus",Swabi,BS,4 Years,0,10-10-2013,Statistics
National College Of Business Administration & Economics ( Rahim Yar Khan Campus ),Rahim Yar Khan,BS,4 Years,0,03-11-2024,Statistics
"The University Of Lahore, Sub Campus",Sargodha,BS,4 Years,0,08-02-2025,Statistics
Government Degree College For Women[dmr],Bahawal Pur,BS,4 Years,3500,07-10-2025,Statistics
Government S E College,Bahawal Pur,BS,4 Years,0,26-09-2014,Statistics
Government College For Boys( Shab Qadar),Charsadda,BS,4 Years,0,20-09-2012,Statistics
Government Postgraduate College,Charsadda,BS,4 Years,0,27-08-2018,Statistics
Government Post Graduate College,D.g.khan,BS,4 Years,0,30-11--0001,Statistics
