Institute,City,Degree,Duration,Fee,Deadline,Subject
The Islamia University Of Bahawalpur,Bahawal Pur,B.Sc. [Engg.],4 Years,53415,30-06-2025,Telecommunication
University Of Science & Technology,Bannu,BS,4 Years,44300,23-08-2019,Telecommunication
Government College University,Faisalabad,BS,4 Years,63400,18-09-2024,Telecommunication
Air University,Islamabad,BE,4 Years,112050,25-07-2025,Telecommunication
Mehran University Of Engineering & Technology,Jamshoro,BE,4 Years,38600,18-08-2025,Telecommunication
University Of Sindh,Jamshoro,BS,4 Years,25000,14-09-2025,Telecommunication
Dawood University Of Engineering And Technology,Karachi,BE,4 Years,32000,31-07-2024,Telecommunication
Ned University Of Engineering & Technology,Karachi,BE,4 Years,46670,20-05-2025,Telecommunication
Hazara University,Mansehra,BS (HONS),4 Years,41300,01-09-2025,Telecommunication
"University Of Engineering & Technology ,mardan",Mardan,B.Sc. [Engg.],4 Years,48825,15-08-2025,Telecommunication
"Quaid-e-awam University Of Engineering, Sciences & Technology",Nawab Shah,BE,4 Years,20000,31-05-2025,Telecommunication
Balochistan University Of It & Management Sciences,Quetta,BS,4 Years,48415,20-08-2025,Telecommunication
Sukkur Iba University,Sukkur,BE,4 Years,120000,07-02-2026,Telecommunication
"University Of Engineering &  Technology, Taxila",Taxila,BE,4 Years,102400,22-03-2026,Telecommunication
Al-khair University [ajk],Islamabad,BE,4 Years,0,01-01-1970,Telecommunication
Karachi Institute Of Economics & Technology,Karachi,B.Sc. [Engg.],4 Years,117600,06-01-2024,Telecommunication
Sir Syed University Of Engineering & Technology,Karachi,BS,4 Years,96000,19-07-2024,Telecommunication
Pimsat Institute Of Higher Education [lhr],Lahore,BS,4 Years,0,30-11--0001,Telecommunication
Preston University [pesh],Peshawar,BS,4 Years,0,20-06-2016,Telecommunication
"Bahria University, H-11 Campus",Islamabad,BS,4 Years,121550,24-07-2025,Telecommunication
Isra University [khi],Karachi,B.Sc.,4 Years,150000,09-11-2018,Telecommunication
Preston University [lhr],Lahore,BS,4 Years,0,20-06-2016,Telecommunication
"National College Of Business Administration & Economics, Layyah Capmus",Layyah,BS,4 Years,0,20-12-2014,Telecommunication
Pimsat - Institute Of Higher Education,Karachi,BS(TECHNOLOGY),4 Years,0,06-02-2016,Telecommunication
Army Public College Of Management & Sciences,Rawalpindi,B.Sc. [Engg.],4 Years,0,06-08-2015,Telecommunication
Institute Of Advance Technology,Islamabad,BS,4 Years,0,01-01-1970,Telecommunication
National Institute Of Information Technology,Islamabad,BS,4 Years,0,01-01-1970,Telecommunication
Sir Syed Institute Of Technology,Islamabad,BE,4 Years,0,01-01-1970,Telecommunication
Biztek Institute Of Business & Technology,Karachi,BS,4 Years,0,23-02-2012,Telecommunication
Fast Institute Of Computer Science,Karachi,B.Sc. [Engg.],4 Years,0,01-01-1970,Telecommunication
Usman Institute Of Technology,Karachi,BE,4 Years,215200,22-09-2021,Telecommunication
"Bahauddin Zakariya University, Lahore Campus",Lahore,BS,4 Years,32000,30-11--0001,Telecommunication
