Institute,City,Degree,Duration,Fee,Deadline,Subject
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,48115,30-06-2025,Tourism Hospitality
University Of Science & Technology,Bannu,BS,4 Years,16400,20-09-2025,Tourism Hospitality
Ghazi University,D.g.khan,BS,4 Years,0,04-07-2025,Tourism Hospitality
Gomal University,D.i. Khan,BS,4 Years,0,09-01-2026,Tourism Hospitality
Government College Women University,Faisalabad,BS,4 Years,30200,31-07-2025,Tourism Hospitality
Karakuram International University,Gilgit,BS,4 Years,0,10-08-2025,Tourism Hospitality
University Of Gujrat,Gujrat,BS,4 Years,90150,13-09-2024,Tourism Hospitality
University Of Haripur,Haripur,BS,4 Years,19748,08-09-2025,Tourism Hospitality
"Bahria University, E-8 Campus",Islamabad,BS,4 Years,0,18-12-2025,Tourism Hospitality
National Skills University,Islamabad,BS,4 Years,40600,13-09-2025,Tourism Hospitality
"National University Of Modern Languages, Islamabad",Islamabad,BS,4 Years,0,30-11--0001,Tourism Hospitality
National University Of Science & Technology,Islamabad,BS,4 Years,174050,25-01-2026,Tourism Hospitality
Quaid-e-azam University,Islamabad,BS,4 Years,54565,29-07-2025,Tourism Hospitality
Kohat University Of Science & Technology,Kohat,BS,4 Years,33000,15-09-2025,Tourism Hospitality
University Of Kotli,Kotli,BS,4 Years,0,15-09-2022,Tourism Hospitality
University Of The Punjab,Lahore,BS,4 Years,47540,25-09-2025,Tourism Hospitality
Hazara University,Mansehra,BA [HONS],4 Years,38980,01-09-2025,Tourism Hospitality
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,35000,18-08-2025,Tourism Hospitality
Multan University Of Science And Technology,Multan,AD,2 Years,0,16-11-2024,Tourism Hospitality
Multan University Of Science And Technology,Multan,AD,2 Years,0,24-01-2025,Tourism Hospitality
Kohsar University,Murree,BS,4 Years,0,26-02-2026,Tourism Hospitality
University Of Azad Jammu & Kashmir,Muzaffarabad,BS,4 Years,0,08-08-2025,Tourism Hospitality
University Of Okara,Okara,CERT,4 Years,52000,30-11--0001,Tourism Hospitality
Institute Of Management Sciences,Peshawar,AD,2 Years,155700,03-08-2023,Tourism Hospitality
The University Of Agriculture,Peshawar,BS,4 Years,47000,15-08-2025,Tourism Hospitality
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,BS,4 Years,40250,20-06-2025,Tourism Hospitality
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,BS (HONS),4 Years,0,20-08-2025,Tourism Hospitality
"Aror University Of Art, Architecture, Design And Heritage",Sukkur,BS,4 Years,54000,14-01-2026,Tourism Hospitality
"Aror University Of Art, Architecture, Design And Heritage",Sukkur,AD,2 Years,54000,14-01-2026,Tourism Hospitality
Women University Swabi,Swabi,BS,4 Years,42460,31-08-2021,Tourism Hospitality
University Of Swat,Swat,BS,4 Years,19730,12-10-2023,Tourism Hospitality
Hamdard University,Karachi,BS,4 Years,0,15-07-2023,Tourism Hospitality
Lahore Leads University,Lahore,BS,4 Years,0,04-09-2025,Tourism Hospitality
Institute Of Southern Punjab,Multan,BS,4 Years,0,31-01-2025,Tourism Hospitality
Mirpur University Of Science And Technology ( Pallandri Campus),Pallandri,BS,4 Years,0,15-08-2024,Tourism Hospitality
"Air University, H-11 Campus",Islamabad,BS,4 Years,108460,23-12-2025,Tourism Hospitality
Hamdard University - Islamabad Campus,Islamabad,AD,2 Years,0,15-07-2023,Tourism Hospitality
Foundation University Islamabad (sub Campus),Rawalpindi,BS,4 Years,110000,08-01-2026,Tourism Hospitality
College Of Tourism & Hotel Management,Bahawal Pur,AD,2 Years,0,31-10-2020,Tourism Hospitality
University Of Home Economics,Lahore,BS,4 Years,0,11-09-2024,Tourism Hospitality
"College Of Tourism & Hotel Management, Faisalabad",Faisalabad,AD,2 Years,0,31-10-2020,Tourism Hospitality
College Of Tourism And Hotel Management,Islamabad,AD,2 Years,0,02-10-2021,Tourism Hospitality
College Of Tourism And Hotel Management,Karachi,AD,2 Years,0,31-10-2020,Tourism Hospitality
College Of Tourism And Hotel Management,Lahore,AD,2 Years,0,18-07-2023,Tourism Hospitality
College Of Tourism And Hotel Management,Multan,AD,2 Years,0,31-10-2020,Tourism Hospitality
College Of Tourism & Hotel Management,Rahim Yar Khan,AD,2 Years,0,31-10-2020,Tourism Hospitality
"College Of Tourism And Hotel Management, Rawalpindi",Rawalpindi,AD,2 Years,0,26-12-2020,Tourism Hospitality
Nfc Institute Of Engineering & Fertilizer Research,Faisalabad,BS,4 Years,0,22-07-2025,Tourism Hospitality
Institute For Art And Culture,Lahore,BS,4 Years,0,03-09-2025,Tourism Hospitality
Brains Institute,Peshawar,AD,2 Years,0,30-12-2022,Tourism Hospitality
