Institute,City,Degree,Duration,Fee,Deadline,Subject
Faisalabad Medical University,Faisalabad,B.Sc. [Hons],4 Years,0,15-12-2025,Vision Sciences
"Shaheed Zulfiqar Ali Bhutto Medical University, Pims",Islamabad,BS,4 Years,0,22-10-2025,Vision Sciences
University Of Azad Jammu & Kashmir,Muzaffarabad,BS,4 Years,0,08-08-2025,Vision Sciences
Isra University/hospital,Hyderabad,BS,4 Years,0,15-12-2023,Vision Sciences
Ibadat International University Islamabad,Islamabad,BS,4 Years,120600,10-09-2023,Vision Sciences
Sir Syed Case Institute Of Technology,Islamabad,BS,4 Years,0,13-01-2026,Vision Sciences
The University Of Lahore ( Main Campus ),Lahore,BS,4 Years,197000,03-01-2026,Vision Sciences
Abasyn University,Peshawar,BS,4 Years,0,01-02-2026,Vision Sciences
Gandhara University,Peshawar,BS,4 Years,0,25-10-2025,Vision Sciences
Abasyn University (sub Campus),Islamabad,BS,4 Years,0,28-12-2025,Vision Sciences
The University Of Lahore ( Islamabad Campus ),Islamabad,OD,5 Years,0,11-10-2019,Vision Sciences
Isra University [khi],Karachi,B.Sc. [Hons],4 Years,125000,30-12-2025,Vision Sciences
Government College For Women [gulberg],Lahore,BS,4 Years,0,15-05-2024,Vision Sciences
College Of Medical Technology/pims,Islamabad,BS,4 Years,0,18-09-2025,Vision Sciences
Kmu Institute Of Medical Sciences,Kohat,BS,4 Years,0,18-10-2024,Vision Sciences
Pakistan Institute Of Community Ophthalmology,Peshawar,BS,4 Years,0,21-11-2020,Vision Sciences
Pakistan Institute Of Rehabilitation Sciences,Islamabad,BS,4 Years,0,20-03-2022,Vision Sciences
Rehman Medical Institute,Peshawar,BS,4 Years,0,13-09-2025,Vision Sciences
