Institute,City,Degree,Duration,Fee,Deadline,Subject
Abbottabad University Of Science And Technology,Abbottabad,BS,4 Years,28500,26-08-2025,Zoology
Women University Azad Jammu & Kashmir,Bagh,BS,4 Years,43110,01-09-2025,Zoology
Cholistan University Of  Veterinary & Animal Sciences,Bahawal Pur,BS,4 Years,37500,15-08-2024,Zoology
The Government Sadiq College Women University,Bahawal Pur,BS,4 Years,31340,28-01-2026,Zoology
The Government Sadiq College Women University,Bahawal Pur,AD,2 Years,0,30-08-2024,Zoology
The Islamia University Of Bahawalpur,Bahawal Pur,BS,4 Years,47115,30-06-2025,Zoology
Kalam Bibi International Women Institute,Bannu,BS,4 Years,0,18-09-2025,Zoology
University Of Science & Technology,Bannu,BS,4 Years,16400,20-09-2025,Zoology
The University Of Buner,Buner,BS,4 Years,0,15-08-2025,Zoology
University Of Malakand,Chakdara,BS,4 Years,20000,15-09-2025,Zoology
Bacha Khan University,Charsadda,BS,4 Years,37000,22-09-2025,Zoology
University Of Chitral,Chitral,BS,4 Hours,0,30-10-2023,Zoology
Ghazi University,D.g.khan,BS,4 Years,21300,04-07-2025,Zoology
University Of Education [ D.g. Khan Campus ],D.g.khan,BS,4 Years,20214,02-09-2025,Zoology
Gomal University,D.i. Khan,BS,4 Years,46600,31-07-2025,Zoology
Gomal University,D.i. Khan,AD,2 Years,0,31-07-2025,Zoology
Fata University,Darra Adam Khail,BS,4 Years,0,23-10-2024,Zoology
Government College University,Faisalabad,BS,4 Years,28200,12-01-2026,Zoology
Government College Women University,Faisalabad,BS,4 Years,33100,31-07-2025,Zoology
University Of Agriculture,Faisalabad,BS,4 Years,60000,28-07-2025,Zoology
University Of Education [ Faisalabad Campus ],Faisalabad,BS,4 Years,20214,02-09-2025,Zoology
Karakuram International University,Gilgit,BS,4 Years,0,10-08-2025,Zoology
University Of Gujrat,Gujrat,BS,4 Years,68010,15-08-2025,Zoology
University Of Gwadar,Gwadar,BS,4 Years,0,08-08-2025,Zoology
University Of Haripur,Haripur,BS,4 Years,20113,26-01-2026,Zoology
Government College University Hyderabad,Hyderabad,BS,4 Years,11000,15-09-2025,Zoology
Quaid-e-azam University,Islamabad,BS,4 Years,54565,29-07-2025,Zoology
University Of Sindh,Jamshoro,BS,4 Years,15200,14-09-2025,Zoology
University Of Jhang,Jhang,BS,4 Years,0,15-09-2025,Zoology
University Of Karachi,Karachi,BS,4 Years,18500,28-11-2025,Zoology
Khushal Khan Khattak University,Karak,BS,4 Years,34000,19-01-2026,Zoology
Shah Abdul Latif University,Khair Pur,BS,4 Years,24250,22-09-2025,Zoology
Kohat University Of Science & Technology,Kohat,BS,4 Years,37700,15-09-2025,Zoology
The University Of Management Sciences & Information Technology,Kotli,BS,4 Years,0,10-09-2016,Zoology
University Of Kotli,Kotli,BS,4 Years,0,15-08-2025,Zoology
Government College University Lahore,Lahore,B.Sc. [Hons],4 Years,52000,11-12-2025,Zoology
Kinnaird College For Women,Lahore,BIM,4 Years,90200,04-07-2025,Zoology
Lahore College For Women University,Lahore,BS,4 Years,57470,25-09-2025,Zoology
University Of Education,Lahore,BS (HONS),4 Years,20214,09-01-2026,Zoology
University Of The Punjab,Lahore,B.Sc. [Hons],4 Years,47540,25-09-2025,Zoology
Virtual University Of Pakistan,Lahore,BS,4 Years,21800,30-09-2025,Zoology
The University Of Lakki Marwat,Lakki Marwat,BS,4 Years,17100,25-09-2024,Zoology
University Of Layyah,Layyah,BS,4 Years,0,17-07-2023,Zoology
University Of Loralai,Loralai,BS,4 Years,11300,18-08-2025,Zoology
Punjab University Of Technology  [ Rasul],Mandi Baha-ud-din,BS,4 Years,0,25-09-2025,Zoology
Hazara University,Mansehra,B.Sc. [Hons],4 Years,38980,01-09-2025,Zoology
"Abdul Wali Khan University, Mardan",Mardan,BS,4 Years,55000,18-08-2025,Zoology
Women University Mardan,Mardan,BS,4 Years,41400,28-01-2026,Zoology
University Of Mianwali,Mianwali,BS,4 Years,0,03-10-2025,Zoology
Mirpur University Of Science And Technology,Mir Pur (ajk),BS,4 Years,0,15-10-2024,Zoology
"Bahauddin Zakariya University, Multan",Multan,BS,4 Years,27150,15-09-2025,Zoology
Muhammad Nawaz Sharif University Of Agriculture,Multan,BS,4 Years,25200,29-09-2025,Zoology
The Women University,Multan,BS,4 Years,25750,23-09-2024,Zoology
University Of Education [ Multan Campus ],Multan,BS,4 Years,20214,02-09-2025,Zoology
University Of Azad Jammu & Kashmir,Muzaffarabad,BS,4 Years,0,08-08-2025,Zoology
Baba Guru Nanak University,Nankana Sahib,BS,4 Years,21350,19-09-2025,Zoology
University Of Narowal,Narowal,BS,4 Years,30000,19-02-2026,Zoology
University Of Okara,Okara,BS (HONS),4 Years,46000,18-07-2025,Zoology
Islamia College University,Peshawar,BS,4 Years,62000,16-09-2025,Zoology
Shaheed Benazir Bhutto Women University,Peshawar,BS,4 Years,29513,28-09-2025,Zoology
University Of Peshawar,Peshawar,BS,4 Years,71000,23-09-2025,Zoology
Sardar Bahadur Khan Women University,Quetta,BS,4 Years,8040,15-09-2025,Zoology
University Of Balochistan,Quetta,BS,4 Years,36000,11-08-2025,Zoology
Khawaja Fareed University Of Engineering & Information Technology,Rahim Yar Khan,BS,4 Years,40250,05-01-2026,Zoology
"Unversity Of The Poonch, Rawala Kot",Rawala Kot,BS,4 Years,46000,20-08-2025,Zoology
Pir Mahar Ali Shah Arid Agriculture University,Rawalpindi,BS,4 Years,45650,08-08-2025,Zoology
Rawalpindi Women University,Rawalpindi,BS,4 Years,33065,03-09-2025,Zoology
University Of Sargodha,Sargodha,BS,4 Years,30000,15-12-2025,Zoology
Government College Women University,Sialkot,BS,4 Years,25000,22-01-2026,Zoology
University Of Sialkot,Sialkot,BS,4 Years,115000,01-11-2023,Zoology
University Of Sialkot,Sialkot,AD,2 Years,0,01-11-2024,Zoology
University Of Swabi,Swabi,BS,4 Years,51270,16-09-2025,Zoology
Women University Swabi,Swabi,BS (HONS),4 Years,45760,12-09-2025,Zoology
The University Of Veterinary & Animal Sciences,Swat,BS,4 Years,18000,30-09-2025,Zoology
University Of Swat,Swat,BS,4 Years,30900,12-10-2023,Zoology
"Shaheed Benazir Bhutto University, Sheringal",Upper Dir,BS,4 Years,30010,10-10-2025,Zoology
University Of Chakwal,Chakwal,BS,4 Years,0,11-08-2025,Zoology
Shaheed Benazir Bhutto University [chitral],Chitral,BS,4 Years,0,10-09-2016,Zoology
Qurtuba University Of Science & Technology [di Khan],D.i. Khan,BS,4 Years,0,25-08-2025,Zoology
Muslim Youth University,Islamabad,BS,4 Years,0,29-10-2025,Zoology
Jinnah University For Women,Karachi,B.Sc. [Hons],4 Years,29000,15-10-2025,Zoology
Lahore Garrison University,Lahore,BS,4 Years,174635,30-11--0001,Zoology
Minhaj University,Lahore,BS,4 Years,147500,18-05-2024,Zoology
The University Of Lahore ( Main Campus ),Lahore,BS,4 Years,167000,31-01-2026,Zoology
University Of Central Punjab,Lahore,AD,2 Years,0,20-09-2024,Zoology
University Of Central Punjab,Lahore,BS,4 Years,154375,20-09-2024,Zoology
University Of Management And Technology,Lahore,BS,4 Years,212250,31-07-2024,Zoology
University Of South Asia,Lahore,BS,4 Years,0,05-11-2022,Zoology
Grand Asian University Sialkot,Sialkot,AD,2 Years,0,21-09-2024,Zoology
Grand Asian University Sialkot,Sialkot,BS,4 Years,0,21-09-2024,Zoology
"The Islamia University Of Bahawalpur, Ahmadpur East Campus",Ahmadpur East,BS,4 Years,47115,30-06-2024,Zoology
University Of Education ( Attock Campus ),Attock,BS,4 Years,20214,02-09-2025,Zoology
The Islamia University Of Bahawalpur[sub Campus],Bahawal Nagar,BS,4 Years,47115,30-06-2025,Zoology
Hazara University ( Batagram Campus ),Batagram,BS,4 Years,38980,01-09-2025,Zoology
"University Of Agriculture Faisalabad, Sub Campu",Burewala,BS,4 Years,0,28-07-2025,Zoology
University Of Agriculture Faisalabad[sub Campus],Depal Pur,BS,4 Years,60000,28-07-2025,Zoology
University College Of Education,Faisalabad,BS,4 Years,0,14-07-2023,Zoology
University Of Sargodha ( Women Campus Faisalabad ),Faisalabad,BS,4 Years,0,14-10-2017,Zoology
University Of Sargodha (lyallpur Campus),Faisalabad,BS,4 Years,0,30-09-2017,Zoology
"Kohat University Of Science And Technology, (sub Campus)",Hangu,BS,4 Years,56800,15-09-2025,Zoology
College Of Veterinary And Animal Sciences,Jhang,BS (HONS),4 Years,22750,12-09-2025,Zoology
University Of Education [ Jauharabad Campus ],Joharabad,BS,4 Years,20214,02-09-2025,Zoology
"Federal Urdu University Of Arts  Science & Technology, Karachi",Karachi,B.Sc. [Hons],4 Years,34400,10-01-2025,Zoology
Government College University Faisalabad (layyah Campus),Layyah,BS,4 Years,0,04-09-2023,Zoology
"The Islamia University Of Bahawalpur, Liaqatpur Campus",Liaqatpur,BS,4 Years,47115,30-06-2025,Zoology
University Of Sargodha ( Mandi Baha-ud-din Campus ),Mandi Baha-ud-din,BS,4 Years,0,30-09-2016,Zoology
University Of Sargodha ( Mianwali Campus ),Mianwali,BS,4 Years,0,24-09-2018,Zoology
University College Of Education,Multan,BS,4 Years,0,14-07-2023,Zoology
University Of Gujrat (narowal Campus,Narowal,BS,4 Years,0,17-10-2017,Zoology
University Of Education,Okara,BS (HONS),4 Years,9400,21-09-2015,Zoology
University Of Veterinary And Animal Sciences [ Ravi Campus],Pattoki,BS (HONS),4 Years,22750,12-09-2025,Zoology
The Islamic University Of Bahawalpur[rahimyar Khan Campus],Rahim Yar Khan,BS,4 Years,47115,30-06-2025,Zoology
University Of Gujrat (rawalpindi Campus),Rawalpindi,BS,4 Years,0,26-07-2018,Zoology
University Of Swat (sub Campus Shangla),Shangla,BS,4 Years,30900,12-10-2023,Zoology
"Shaheed Benazir Bhutto Women University Peshawar, Sub Campus",Swabi,BS,4 Years,0,02-09-2014,Zoology
University Of Swat ( Women Campus ),Swat,BS,4 Years,30900,12-10-2023,Zoology
"Gomal University, Tank Campus",Tank,BS,4 Years,0,09-01-2026,Zoology
University Of Agriculture Faisal Abad[toba Tek Singh Campus],Toba Tek Singh,BS,4 Years,0,28-07-2025,Zoology
University Of Education [ Vehari Campus ],Vehari,BS,4 Years,20214,02-09-2025,Zoology
Shaheed Benazir Bhutto University (sub Campus),Wari,BS,4 Years,0,10-10-2025,Zoology
"Riphah International University, Faisalabad Campus",Faisalabad,BS,4 Years,80000,18-10-2025,Zoology
Qurtuba University Of Science & Information Technology,Peshawar,BS,4 Years,0,08-11-2025,Zoology
"The University Of Lahore, Sub Campus",Sargodha,BS,4 Years,0,08-02-2025,Zoology
Government Postgraduate College ( Mandian),Abbottabad,BS,4 Years,0,30-11--0001,Zoology
Government S E College,Bahawal Pur,BS,4 Years,0,26-09-2014,Zoology
Government Postgraduate College,Bannu,BS,4 Years,0,31-08-2013,Zoology
Government Postgraduate College,Charsadda,BS,4 Years,0,27-08-2018,Zoology
Government Degree College,Chitral,BS,4 Years,0,07-09-2012,Zoology
Government Post Graduate College,D.g.khan,BS,4 Years,0,30-11--0001,Zoology
Government Boys College,Daulatpur,BS,4 Years,0,06-10-2025,Zoology
Government College For Women [madina Town],Faisalabad,BS,4 Years,0,30-11--0001,Zoology
Government Post Graduate College Of Science,Faisalabad,BS,4 Years,0,30-09-2020,Zoology
Government Post Graduate College [samanabad],Faisalabad,BS,4 Years,0,23-09-2023,Zoology
Government Postgraduate Islamia College,Faisalabad,BS,4 Years,0,04-10-2014,Zoology
"Uaf Community Collge, Jhang Road",Faisalabad,BS,4 Years,0,28-07-2025,Zoology
Government Post Graduate College For Women [satellite Town],Gujranwala,BS,4 Years,0,10-09-2024,Zoology
Government Post Graduate College[satellite Town],Gujranwala,BS (HONS),4 Years,0,02-10-2025,Zoology
Government Post Graduate Islamia College,Gujranwala,BS,4 Years,0,08-10-2025,Zoology
Government Zubeda Girls College,Hyderabad,BS,4 Years,0,30-01-2026,Zoology
"Islamabad Model College For Girls,g-10/4 ( Postgraduate)",Islamabad,BS,4 Years,0,07-09-2025,Zoology
Government Post Graduate College,Jhang,BS (HONS),4 Years,0,30-09-2025,Zoology
Government Girls Degree College[sector 11-i North Karachi],Karachi,BS,4 Years,0,31-12-2025,Zoology
Government Postgraduate College,Kohat,BS,4 Years,0,20-08-2014,Zoology
Apwa Degree College For Women[jail Road],Lahore,CERT,4,3500,02-10-2024,Zoology
Government College For Women [gulberg],Lahore,BS,4 Years,0,15-05-2024,Zoology
Government College For Women[gulberg],Lahore,BS,4 Years,0,28-10-2022,Zoology
Government College Of Science[wahdat Road],Lahore,BS,4 Years,0,14-09-2024,Zoology
Government College [baghbanpura],Lahore,BS,4 Years,0,05-11-2022,Zoology
Government Dyal Singh College[laxmi Chowk],Lahore,CERT,4 Years,3500,31-10-2022,Zoology
Government Islamia College [civil Lines],Lahore,BS,4 Years,0,25-09-2023,Zoology
Government Islamia Post Graduate College For Women,Lahore,BS,4 Years,0,17-09-2019,Zoology
Government Islamia Post Graduate College For Women [cooper Road],Lahore,BS,4 Years,0,21-09-2023,Zoology
Government Post Graduate College For Women [samanabad],Lahore,BS,4 Years,0,28-10-2021,Zoology
Government Queen Marry College,Lahore,BS,4 Years,0,15-07-2024,Zoology
Queen Marry College,Lahore,BS (HONS),4 Years,0,03-10-2020,Zoology
University Of Home Economics,Lahore,BS,4 Years,0,25-07-2025,Zoology
Government Post Graduate College,Mandi Baha-ud-din,BS,4 Years,0,26-10-2020,Zoology
Government Postgraduate College,Mansehra,BS,4 Years,0,22-08-2015,Zoology
Emerson University Multan,Multan,BS,4 Years,0,15-08-2025,Zoology
Government College,Muzafargarh,BS,4 Years,0,05-10-2021,Zoology
Government College For Boys,Peshawar,BS,4 Years,0,30-08-2017,Zoology
Government College Peshawar,Peshawar,BS,4 Years,0,31-08-2019,Zoology
Government Degree College For Bys[hayatabad],Peshawar,BS,4 Years,0,31-08-2018,Zoology
Government Frontier College For Women,Peshawar,BS,4 Years,0,30-08-2014,Zoology
Government Superior Science College,Peshawar,BS,4 Years,0,20-08-2016,Zoology
Government College [quet],Quetta,BS,4 Years,0,05-04-2025,Zoology
Government Girls College,Quetta,BS,4 Years,0,20-04-2025,Zoology
Government Science College,Quetta,BS,4 Years,0,23-10-2016,Zoology
Khawaj Farid Government Post Graduate College,Rahim Yar Khan,BS,4,0,10-10-2020,Zoology
Government Post Graduate College[asghar Mall ],Rawalpindi,BS,4 Years,0,17-08-2025,Zoology
Government Postgraduate College For Women[satellite Town],Rawalpindi,BS,4 Years,0,08-09-2013,Zoology
Nisar Shaheed College,Risalpur,BS,4 Years,0,08-09-2019,Zoology
Government Post Grduate College For Women,Sahiwal,BS,4 Years,0,10-11-2022,Zoology
Government Murray College,Sialkot,BS,4 Years,15000,18-08-2023,Zoology
Government Postgraduate College For Women,Sialkot,BS,4 Years,0,30-11--0001,Zoology
Government Post Graduate College,Swabi,BS,4 Years,0,05-09-2015,Zoology
Government S.m. College,Tando Allah Yar,BS,4 Years,0,30-01-2026,Zoology
Government Degree College,Tando Jan Mohammad,BS,4,0,15-01-2026,Zoology
Government Degree College,Timergara,BS,4 Years,0,08-10-2021,Zoology
"Riphah Community College, Abbotabad Campus",Abbottabad,BS,4 Years,0,31-08-2023,Zoology
Heritage College,Arif Wala,BS,4 Years,0,21-10-2017,Zoology
King College Of Health Sciences,Bahawal Pur,BS (HONS),4 Years,0,30-11-2016,Zoology
"Riphah International College, Bahawlpur",Bahawal Pur,AD,2 Years,0,31-10-2022,Zoology
Kalarkahar Science College,Chakwal,BS,4 Years,0,23-09-2018,Zoology
Edison College,Faisalabad,BS,4 Years,0,07-08-2017,Zoology
Faisalabad College For Women[main Samanabad Road],Faisalabad,BS,4 Years,0,04-08-2017,Zoology
Informatics Group Of Colleges,Faisalabad,AD,2 Years,36000,07-01-2023,Zoology
"Kips College, Boys, Jail Road",Faisalabad,BS,4 Years,0,15-10-2019,Zoology
"Kips College, Girls, Jail Road",Faisalabad,BS,4 Years,0,15-10-2019,Zoology
Layallpur Institute Of Management & Sciences ( Lims ),Faisalabad,BS,4 Years,0,14-10-2017,Zoology
Shifa College For Women,Faisalabad,BS,4 Years,0,16-11-2019,Zoology
"Superior College , Girls",Faisalabad,BS,4 Years,0,27-12-2021,Zoology
Aspire College,Gujranwala,BS,4 Years,0,31-10-2021,Zoology
"Concorida Colleges, Gujranwala",Gujranwala,BS,4 Years,0,30-09-2019,Zoology
Royal Gorup Of Colleges,Gujranwala,BS,4 Years,0,31-10-2020,Zoology
Mukabbir Colelge,Gujrat,BS,4 Years,0,22-12-2022,Zoology
"Iqra Degree College, Havelian",Havelian,AD,2 Years,0,04-12-2021,Zoology
Icon College,Jaranwala,BS,4 Years,0,24-10-2020,Zoology
Millat College,Jhang,BS,4 Years,0,01-11-2018,Zoology
"Litra Valley College, Jango",Jhelum,BS (HONS),4 Years,0,22-09-2017,Zoology
"Concordia Colleges, Kasur",Kasur,BS,4 Years,0,30-09-2019,Zoology
Aspire College,Lahore,BS,4 Years,0,24-10-2020,Zoology
Central Park College Of Allied Health Sciences,Lahore,BS,4 Years,0,30-09-2019,Zoology
Concordia Colleges,Lahore,BS,4 Years,0,28-10-2020,Zoology
Gulab Devi Educational Complex,Lahore,BS,4 Years,0,30-11--0001,Zoology
Informatics Group Of Colleges,Lahore,BS,4 Years,0,31-07-2024,Zoology
Jinnah Memorial College Of Information Technology,Lahore,BS,4 Years,0,15-10-2020,Zoology
P S E College,Lahore,BS,4 Years,0,27-08-2019,Zoology
Punjab Group Of Colleges,Lahore,BS,4 Years,0,13-12-2022,Zoology
"Riphah International College, Lahore",Lahore,AD,2 Years,0,01-11-2024,Zoology
Fgk College,Layyah,BS,4 Years,0,27-10-2018,Zoology
Legend College,Multan,BS,4 Years,0,03-12-2022,Zoology
Multan Postgraduate College,Multan,BS,4 Years,0,30-09-2025,Zoology
Pakistan College Of Science And Commerce,Multan,BS,4 Years,0,14-01-2022,Zoology
The Educators College,Multan,BS,4 Years,0,11-12-2021,Zoology
The Next College,Multan,BS,4 Years,0,30-10-2020,Zoology
"Misali Zakriya Graduate College, Dinpur",Muzafargarh,BS,4 Years,0,04-12-2021,Zoology
Punjab College,Muzafargarh,BS,4 Years,0,02-08-2024,Zoology
Central Science College,Peshawar,BS,4 Years,0,28-12-2024,Zoology
Vertex College Of Science And Technology,Peshawar,AD,2 Years,0,27-09-2018,Zoology
Islamia College,Pir Mehal,BS,4 Years,0,02-01-2019,Zoology
Aligarh College,Rahim Yar Khan,BS,4 Years,0,15-12-2021,Zoology
N I C C A S Postgraduate College,Rahim Yar Khan,BS,4 Years,0,27-09-2019,Zoology
Comand College,Sahiwal,BS,4 Years,0,03-10-2019,Zoology
Kings College Of Health Sciences,Sahiwal,BS (HONS),4 Years,0,30-11-2016,Zoology
"The Readers Group Of Colleges, Boys",Sargodha,BS,4 Years,0,16-10-2020,Zoology
"National Institute Of Education, Khema",Timergara,BS,4 Years,0,21-09-2023,Zoology
Islamia College,Toba Tek Singh,BS,4 Years,0,02-01-2019,Zoology
South Punjab Institute Of Science & Technology,D.g.khan,BS,4 Years,0,30-10-2017,Zoology
"International Institute Of Science, Arts And Technology",Gujranwala,BS,4 Years,0,05-10-2025,Zoology
Gulab Devi Post Graduate Medical Institute,Lahore,BS,4 Years,0,30-11--0001,Zoology
Kaims International Institute,Multan,BS,4 Years,0,31-07-2019,Zoology
National Institute Of Computer And Advanced Studies,Rahim Yar Khan,BS,4 Years,0,31-08-2023,Zoology
Inama Institute Of Natural And Management Sciences,Rawalpindi,BS,4 Years,0,15-10-2017,Zoology
Abd Ul Wali Khan University Mardan ( Buner Campus ),Buner,BS,4 Years,0,15-08-2016,Zoology
